当时的	43-67461-S
当权	43-67524-S
当涂	43-67625-S
当演员	43-67686-S
当然	43-67747-S
当真	43-67844-S
当选	43-68053-S
当量	43-68099-S
当量剂量	43-68141-S
当铺	43-67983-S,43-68216-S
当阳	43-68286-S
当雄	43-68350-S
当面	44-0-S
彔	23-52497-S
彔 彔	23-52497-B
录	64-42044-S
录供	64-42104-S
录像	64-42163-S
录像带	64-42224-S
录像机	64-42284-S
录共	64-42347-S
录取	64-42406-S
录影带	64-42458-S
录影机	64-42527-S
录用	64-42605-S
录音	64-42657-S
录音带	64-42707-S
录音机	64-42761-S
彖	23-52532-S
彖 彖	23-52532-B
彖辞	23-52634-S
彖辭 彖辞	23-52634-B
彗	23-52704-S
彗 彗	23-52704-B
彗星	23-52732-S
彗星 彗星	23-52732-B
彘	23-52772-S
彘 彘	23-52772-B
彙 汇	23-52800-B
彙報 汇报	23-52839-B
彙整 汇整	23-52911-B
彙映 汇映	23-53009-B
彙注 汇注	23-53105-B
彙編 汇编	23-53163-B
彙總 汇总	23-53228-B
彙集 汇集	23-53300-B
彝	23-53366-S,23-53413-S
彝 彝	23-53366-B,23-53413-B
彝族	23-53450-S
彝族 彝族	23-53450-B
彝良	23-53497-S
彝良 彝良	23-53497-B
彟	23-53561-S
彟 彟	23-53561-B
形	23-53607-S
形 形	23-53607-B
形上	23-53659-S
形上 形上	23-53659-B
形于色	23-54873-S
形体	23-55692-S
形像	23-53707-S
形像 形像	23-53707-B
形势	23-53754-S
形勢 形势	23-53754-B
形变	23-55505-S
形声	23-53820-S
形声 形声	23-53820-B
形声字	23-55344-S
形容	23-53971-S
形容 形容	23-53971-B
形容詞 形容词	23-54034-B
形容词	23-54034-S
形容辞	23-54089-S
形容辭 形容辞	23-54089-B
形式	23-54144-S
形式 形式	23-54144-B
形式主义	23-54212-S
形式主義 形式主义	23-54212-B
形形色色	23-54283-S
形形色色 形形色色	23-54283-B
形影不离	23-54390-S
形影不離 形影不离	23-54390-B
形态	23-54556-S
形态发生素	23-54620-S
形意拳	23-54478-S
形意拳 形意拳	23-54478-B
形態 形态	23-54556-B
形態發生素 形态发生素	23-54620-B
形成	23-54697-S
形成 形成	23-54697-B
形成层	23-54755-S
形成層 形成层	23-54755-B
形於色 形于色	23-54873-B
形旁	23-54964-S
形旁 形旁	23-54964-B
形状	23-55085-S
形狀 形状	23-55085-B
形神	23-55133-S
形神 形神	23-55133-B
形而上学	23-55239-S
形而上學 形而上学	23-55239-B
形聲字 形声字	23-55344-B
形變 形变	23-55505-B
形象	23-55560-S
形象 形象	23-55560-B
形跡 形迹	23-55614-B
形迹	23-55614-S
形體 形体	23-55692-B
彤	23-55744-S
彤 彤	23-55744-B
彥 彦	23-55784-B
彦	23-55784-S
彧	23-55827-S
彧 彧	23-55827-B
彩	23-55869-S
彩 彩	23-55869-B
彩排	23-55947-S
彩排 彩排	23-55947-B
彩旗	23-55996-S
彩旗 彩旗	23-55996-B
彩电	23-56310-S
彩电视	23-56353-S
彩画	23-56041-S
彩畫 彩画	23-56041-B
彩票	23-56089-S
彩票 彩票	23-56089-B
彩色	23-56150-S
彩色 彩色	23-56150-B
彩虹	23-56202-S
彩虹 彩虹	23-56202-B
彩蚌	23-56244-S
彩蚌 彩蚌	23-56244-B
彩電 彩电	23-56310-B
彩電視 彩电视	23-56353-B
彪	23-56407-S
彪 彪	23-56407-B
彪形大汉	23-56464-S
彪形大漢 彪形大汉	23-56464-B
彪炳	23-56544-S
彪炳 彪炳	23-56544-B
彫 雕	23-56596-B
彫刻	23-56627-S
彫刻 彫刻	23-56627-B
彫刻品 雕刻品	23-56688-B
彫刻家 雕刻家	23-56742-B
彫楹碧檻 雕楹碧槛	23-56795-B
彫版 雕版	23-56865-B
彬	23-56923-S
彬 彬	23-56923-B
彬县	23-57047-S
彬彬有礼	23-56964-S
彬彬有禮 彬彬有礼	23-56964-B
彬縣 彬县	23-57047-B
彬馬那 彬马那	23-57103-B
彬马那	23-57103-S
彭	23-57154-S
彭 彭	23-57154-B
彭亨	23-57190-S
彭亨 彭亨	23-57190-B
彭养鸥	23-57995-S
彭勃	23-57253-S
彭勃 彭勃	23-57253-B
彭博通訊社 彭博通讯社	23-57294-B
彭博通讯社	23-57294-S
彭县	23-57870-S
彭定康	23-57376-S
彭定康 彭定康	23-57376-B
彭山	23-57444-S
彭山 彭山	23-57444-B
彭州市	23-57511-S
彭州市 彭州市	23-57511-B
彭德怀	23-57600-S
彭德懷 彭德怀	23-57600-B
彭泽	23-57669-S
彭泽县	23-57735-S
彭澤 彭泽	23-57669-B
彭澤縣 彭泽县	23-57735-B
彭真	23-57813-S
彭真 彭真	23-57813-B
彭縣 彭县	23-57870-B
彭阳	23-57928-S
彭陽 彭阳	23-57928-B
彭養鷗 彭养鸥	23-57995-B
彰	23-58052-S
彰 彰	23-58052-B
彰化	23-58085-S
彰化 彰化	23-58085-B
彰善瘅恶 彰善癉惡	23-58150-B
彰善癉惡	23-58150-S
彰彰	23-58314-S
彰彰 彰彰	23-58314-B
彰明	23-58384-S
彰明 彰明	23-58384-B
彰明較著 彰明较著	23-58459-B
彰明较著	23-58459-S
彰显	23-58703-S
彰武	23-58547-S
彰武 彰武	23-58547-B
彰武县	23-58619-S
彰武縣 彰武县	23-58619-B
彰顯 彰显	23-58703-B
影	23-58751-S
影 影	23-58751-B
影像	23-58806-S
影像 影像	23-58806-B
影像会议	23-58848-S
影像处理	23-58981-S
影像會議 影像会议	23-58848-B
影像档	23-58922-S
影像檔 影像档	23-58922-B
影像處理 影像处理	23-58981-B
影儿	23-59055-S
影兒 影儿	23-59055-B
影印	23-59094-S
影印 影印	23-59094-B
影印本	23-59180-S
影印本 影印本	23-59180-B
影响	23-59946-S
影响力	23-60049-S
影坛	23-59237-S
影壇 影坛	23-59237-B
影子	23-59313-S
影子 影子	23-59313-B
影子內閣 影子内阁	23-59363-B
影子内阁	23-59363-S
影射	23-59431-S
影射 影射	23-59431-B
影星	23-59476-S
影星 影星	23-59476-B
影片	23-59521-S
影片 影片	23-59521-B
影碟	23-59567-S
影碟 影碟	23-59567-B
影碟机	23-59605-S
影碟機 影碟机	23-59605-B
影視 影视	23-59660-B
影视	23-59660-S
影踪	23-59716-S
影蹤 影踪	23-59716-B
影迷	23-59762-S
影迷 影迷	23-59762-B
影院	23-59811-S
影院 影院	23-59811-B
影音	23-59867-S
影音 影音	23-59867-B
影響 影响	23-59946-B
影響力 影响力	23-60049-B
彲	23-60112-S
彲 彲	23-60112-B
彳	23-60149-S
彳 彳	23-60149-B
彴	23-60191-S
彴 彴	23-60191-B
彷	23-60254-S
彷 仿	23-60221-B
彷 彷	23-60254-B
彷彿 仿佛	23-60288-B
彷徨	23-60349-S
彷徨 彷徨	23-60349-B
彸	23-60467-S
彸 彸	23-60467-B
役	23-60500-S
役 役	23-60500-B
彻	24-29335-S
彻夜	24-29405-S
彻夜不眠	24-29453-S
彻头彻尾	24-29757-S
彻底	24-29533-S
彻悟	24-29595-S
彻查	24-29658-S
彻西	24-29717-S
彻骨	24-29914-S
彼	23-60657-S
彼 彼	23-60657-B
彼一时此一时	23-60704-S
彼一時此一時 彼一时此一时	23-60704-B
彼岸	23-60796-S
彼岸 彼岸	23-60796-B
彼得	23-60861-S
彼得 彼得	23-60861-B
彼得前书	23-60905-S
彼得前書 彼得前书	23-60905-B
彼得后书	23-61084-S
彼得堡	23-61001-S
彼得堡 彼得堡	23-61001-B
彼得後書 彼得后书	23-61084-B
彼得格勒	23-61180-S
彼得格勒 彼得格勒	23-61180-B
彼得罗维奇	23-61241-S
彼得羅維奇 彼得罗维奇	23-61241-B
彼得里皿	23-61321-S
彼得里皿 彼得里皿	23-61321-B
彼拉多	23-61384-S
彼拉多 彼拉多	23-61384-B
彼此	23-61480-S
彼此 彼此	23-61480-B
彽	23-61534-S
彽 彽	23-61534-B
彿 佛	23-61570-B
彿雷澤爾 佛雷泽尔	23-61601-B
往	23-61667-S
往 往	23-61667-B
往事	23-61761-S
往事 往事	23-61761-B
往事如風 往事如风	23-61825-B
往事如风	23-61825-S
往來 往来	23-61936-B
往前	23-62009-S
往前 往前	23-62009-B
往古	23-62061-S
往古 往古	23-62061-B
往后	23-62348-S
往复	23-62406-S
往岁	23-62606-S
往常	23-62124-S
往常 往常	23-62124-B
往年	23-62227-S
往年 往年	23-62227-B
往往	23-62296-S
往往 往往	23-62296-B
往後 往后	23-62348-B
往復 往复	23-62406-B
往日	23-62454-S
往日 往日	23-62454-B
往时	23-62547-S
往昔	23-62502-S
往昔 往昔	23-62502-B
往時 往时	23-62547-B
往来	23-61936-S
往歲 往岁	23-62606-B
往泥裡踩 往泥里踩	23-62670-B
往泥里踩	23-62670-S
往脸上抹黑	23-62749-S
往臉上抹黑 往脸上抹黑	23-62749-B
往跡 往迹	23-62854-B
往返	23-62912-S
往返 往返	23-62912-B
往还	23-62984-S
往迹	23-62854-S
往還 往还	23-62984-B
征	23-63037-S,24-22725-S,24-22891-S
征 征	23-63037-B
征人	23-63118-S
征人 征人	23-63118-B
征伐	23-63240-S
征伐 征伐	23-63240-B
征兆	24-22943-S
征兵	24-23032-S
征募	24-23095-S
征勦	23-63296-S
征勦 征勦	23-63296-B
征发	24-23525-S
征召	24-23142-S
征名责实	24-23191-S
征地	23-63379-S
征地 征地	23-63379-B
征塵 征尘	23-63433-B
征士	24-23335-S
征夫	23-63496-S
征夫 征夫	23-63496-B
征实	24-23390-S
征尘	23-63433-S
征帆	23-63591-S
征帆 征帆	23-63591-B
征彸	23-63642-S
征彸 征彸	23-63642-B
征戍	23-63703-S
征戍 征戍	23-63703-B
征战	23-63747-S
征戰 征战	23-63747-B
征收	23-63803-S
征收 征收	23-63803-B
征敛	23-63877-S
征敛无度	23-63929-S
征斂 征敛	23-63877-B
征斂無度 征敛无度	23-63929-B
征旆	23-64013-S
征旆 征旆	23-64013-B
征服	23-64087-S
征服 征服	23-64087-B
征服者	23-64145-S
征服者 征服者	23-64145-B
征求	24-23450-S
征用	23-64200-S
征用 征用	23-64200-B
征程	23-64259-S
征程 征程	23-64259-B
征税	24-23581-S
征稿	24-23631-S
征聘	24-23709-S
征衣	23-64322-S
征衣 征衣	23-64322-B
征衫	23-64393-S
征衫 征衫	23-64393-B
征討 征讨	23-64462-B
征詢 征询	23-64528-B
征讨	23-64462-S
征询	23-64528-S
征象	24-23782-S
征途	23-64602-S
征途 征途	23-64602-B
征集	24-23832-S
征馬 征马	23-64678-B
征駕 征驾	23-64756-B
征马	23-64678-S
征驾	23-64756-S
徂	23-64862-S
徂 徂	23-64862-B
径	24-4664-S
径向	24-4692-S
径庭	24-4747-S
径流	24-4803-S
径直	24-4844-S
径自	24-4887-S
径赛	24-4960-S
径路	24-5114-S
径迹	24-5031-S
径道	24-5158-S
待	23-64898-S,23-64931-S
待 待	23-64898-B,23-64931-B
待业	23-65093-S
待宵草	23-65031-S
待宵草 待宵草	23-65031-B
待業 待业	23-65093-B
待考	23-65184-S
待考 待考	23-65184-B
待解	23-65255-S
待解 待解	23-65255-B
待遇	23-65317-S
待遇 待遇	23-65317-B
徇	5-21790-S,23-65393-S
徇 徇	23-65393-B
徇私枉法	23-65428-S
徇私枉法 徇私枉法	23-65428-B
徇私舞弊	23-65532-S
徇私舞弊 徇私舞弊	23-65532-B
很	23-65615-S
很 很	23-65615-B
很不	23-65675-S
很不 很不	23-65675-B
很多	23-65720-S
很多 很多	23-65720-B
很多时	23-65790-S
很多時 很多时	23-65790-B
很大	23-65840-S
很大 很大	23-65840-B
很好	23-65883-S
很好 很好	23-65883-B
很好看	23-65921-S
很好看 很好看	23-65921-B
很少	23-65983-S
很少 很少	23-65983-B
很快	23-66036-S
很快 很快	23-66036-B
很想	23-66078-S
很想 很想	23-66078-B
很遗憾	23-66145-S
很遺憾 很遗憾	23-66145-B
徉	23-66214-S
徉 徉	23-66214-B
徊	23-66257-S
徊 徊	23-66257-B
律	23-66311-S
律 律	23-66311-B
律吕	23-66336-S
律呂 律吕	23-66336-B
律师	23-66386-S
律师事务所	23-66425-S
律師 律师	23-66386-B
律師事務所 律师事务所	23-66425-B
律政司	23-66498-S
律政司 律政司	23-66498-B
律法	23-66576-S
律法 律法	23-66576-B
律詩 律诗	23-66624-B
律诗	23-66624-S
後 后	23-66697-B
後世 后世	23-66759-B
後人 后人	23-66810-B
後代 后代	23-66860-B
後來 后来	23-66946-B
後來居上 后来居上	23-66996-B
後備軍 后备军	23-67184-B
後兩者 后两者	23-67238-B
後勤 后勤	23-67299-B
後勤學 后勤学	23-67342-B
後半 后半	23-67405-B
後半場 后半场	23-67450-B
後半葉 后半叶	23-67534-B
後周 后周	23-67602-B
後唐 后唐	23-67679-B
後嗣 后嗣	23-67756-B
後壁鄉 后壁乡	23-67837-B
後天 后天	23-67912-B
後媽 后妈	23-67976-B
後年 后年	23-68027-B
後怕 后怕	23-68081-B
後悔 后悔	23-68171-B
後排 后排	23-68218-B
後掩蔽 后掩蔽	23-68264-B
後撤 后撤	23-68324-B
後方 后方	23-68391-B
後晉 后晋	23-68460-B
後期 后期	24-0-B
後果 后果	24-56-B
後梁 后梁	24-112-B
後段 后段	24-191-B
後母 后母	24-301-B
後涼	24-344-S
後涼 後涼	24-344-B
後漢 后汉	24-425-B
後漢書 后汉书	24-542-B
後燕 后燕	24-621-B
後現代主義 后现代主义	24-698-B
後盾 后盾	24-779-B
後秦 后秦	24-820-B
後綴 后缀	24-897-B
後續的解釋過程 后续的解释过程	24-952-B
後翅 后翅	24-1067-B
後者 后者	24-1122-B
後肢 后肢	24-1166-B
後臺 后台	24-1209-B
後衛 后卫	24-1307-B
後裔 后裔	24-1370-B
