zhi2	1-15203-S,1-68967-S,3-69230-S,4-43736-S,5-14528-S,5-16632-B,5-22940-S,6-2591-B,6-3964-B,6-52957-S,6-53002-S,6-64216-S,7-21052-S,7-41103-S,7-64080-S,8-6907-S,9-17006-S,9-28584-S,9-29995-S,9-64593-S,10-44917-S,10-59713-S,11-38340-S,12-15569-S,12-52427-S,12-57939-S,13-58491-S,14-35117-S,14-64403-S,15-2192-S,15-10692-S,15-47345-S,15-55148-S,15-64520-B,15-64636-B,15-66270-S,16-3542-S,16-26190-S,16-26892-S,17-52974-S,17-66856-S,18-43929-B,19-13898-S,19-41763-S,19-42509-S,20-12155-S,20-13251-S,20-14567-S,20-41046-S,20-58249-S,21-10494-S,22-35020-S,22-38243-S,23-5283-S,23-24170-S,24-4844-S,24-15505-S,24-38558-S,25-62688-B,26-56051-S,27-6351-S,27-38322-S,27-40087-S,28-43264-S,29-2889-B,29-11142-S,29-31435-B,30-9545-S,30-20281-S,30-30468-S,31-19726-S,31-37967-S,32-29975-S,32-33096-S,32-51242-S,32-63715-S,32-65971-S,33-45329-B,34-677-S,34-6730-S,34-13567-S,34-25237-B,34-34146-S,34-34673-S,34-60041-B,35-33830-S,35-38408-S,35-60677-S,35-61887-B,36-9385-S,36-54502-S,38-44549-S,38-44682-S,40-12828-S,40-51523-S,41-8712-S,41-32647-S,41-38603-S,41-42957-S,41-52025-S,41-58146-S,42-26465-S,42-29232-S,42-49484-S,43-21633-S,43-27869-S,43-31161-S,43-51323-S,45-20350-B,46-2943-S,46-61145-S,46-64573-S,47-26003-B,47-26911-S,47-27013-S,47-30503-B,47-33258-S,48-15576-S,48-17746-S,48-37701-S,49-46155-S,49-59915-S,50-31447-B,50-31823-S,50-37778-S,51-50624-S,51-66782-S,51-68031-B,55-34799-S,55-46754-B,56-43187-S,56-54167-S,57-27260-S,57-51963-S,58-35412-S,59-37431-S,59-44436-S,59-60687-S,60-27460-S,60-32265-S,60-36804-B,60-50429-B,60-53963-B,61-15617-S,61-33174-S,61-36932-S,61-43335-S,62-3190-S,62-64534-S,63-22977-S,65-45531-S,65-50703-S,65-63890-S,66-17672-S,67-10450-S,68-1132-S,68-5085-S,69-11090-S,70-513-S,70-2628-S
zhi2 ban1	6-4901-B
zhi2 biao3	45-40827-S
zhi2 bo1	45-22298-B
zhi2 chang2	45-23525-B,52-9177-S
zhi2 chang3	51-68275-B
zhi2 cheng1	51-68858-B
zhi2 chi3	45-20884-B
zhi2 chi4 mu4	45-23434-B
zhi2 da2	45-25171-B
zhi2 dao4	45-20603-B
zhi2 dao4 xian4 zai4	45-20642-B
zhi2 de5	1-69009-S,6-4215-B
zhi2 de5 cheng1 zan4	6-4721-B
zhi2 de5 jing4 pei4	6-4444-B
zhi2 de5 qing4 xing4	6-4334-B
zhi2 de5 xin4 lai4	6-4269-B
zhi2 de5 zhu4 yi4	6-4536-B
zhi2 de5 zhu4 yi4 de5 shi4	6-4623-B
zhi2 dian3 li3	21-10553-S
zhi2 ding4 li3	2-50208-S,22-38302-S
zhi2 fa3	15-65290-B
zhi2 fa3 ru2 shan1	15-65338-B
zhi2 fan3 ying4 dui1	16-26942-S
zhi2 fei1	45-25366-B
zhi2 fen1 xi1	30-20324-S
zhi2 fen4	51-68119-B
zhi2 gan3 ran3	36-3779-S
zhi2 gang1 kong3	37-28100-S
zhi2 gong1	30-4465-S,51-68327-B
zhi2 gong1 cheng2	6-53071-S
zhi2 guan1	6-53147-S,45-23888-B
zhi2 hang2	45-23644-B
zhi2 he2 duan3 ju4 qi3 luo4 fei1 ji1	15-55205-S
zhi2 hua4	45-24612-B
zhi2 ji1	52-44972-S
zhi2 ji2	51-68937-B
zhi2 jian4	45-24681-B
zhi2 jiang1	45-22565-B
zhi2 jiao3	45-24001-B
zhi2 jiao3 chi3	45-24299-B
zhi2 jiao3 qi4	45-24223-B
zhi2 jiao3 san1 jiao3	45-24049-B
zhi2 jiao3 san1 jiao3 xing2	45-24130-B
zhi2 jiao3 zuo4 biao1	45-24376-B
zhi2 jie1	45-21659-B,67-67235-S
zhi2 jie1 bin1 yu3	45-22085-B
zhi2 jie1 jing4 zheng1	45-21990-B
zhi2 jie1 shu4 ju4	45-21849-B
zhi2 jie1 shui4	45-21934-B
zhi2 jie1 xiao4 ying4	61-19246-S
zhi2 jie1 xuan3 ju3	45-22163-B
zhi2 jie1 ying3 xiang3	45-21757-B
zhi2 jie2	45-21366-B,45-21610-B
zhi2 jie2 liao3 dang4	45-21415-B
zhi2 jie3	30-20405-S
zhi2 jing4	45-21146-B,50-7972-S,50-47828-S
zhi2 jue1 jue1	45-22234-B
zhi2 jue2	45-23786-B
zhi2 jue2 xing4	45-23829-B
