han4 bai2 yu4	39-50663-B
han4 ban1	36-56456-B
han4 bao3 bao1	39-48967-B
han4 bing4	50-60366-S
han4 bu4 zhi1 e4 han4 ji1	69-7875-S
han4 can1 shu1	49-7064-S
han4 cheng2 yu3	28-50088-S
han4 da4 xue2	34-28971-S
han4 dou4	50-60454-S
han4 dui4 yin1	34-17458-S
han4 er4 shu1	49-6883-S,49-7550-S
han4 fu2 yin1	49-7468-S
han4 fu4	25-6729-B
han4 gang3	6-27079-S
han4 gong1	11-7972-S,44-46920-S
han4 guo2	36-56272-B,64-10253-S
han4 guo3	50-60255-S
han4 hen4	25-57903-B
han4 ji1	69-7875-S
han4 ji4	33-21917-S,33-24119-S,35-32883-S,69-45663-S
han4 jie1	40-44530-B
han4 jun4	58-48979-S
han4 lin2 li2	17-24462-S
han4 mao2	36-56515-B
han4 mu3	33-65978-S
han4 nei4 si1 bao3	49-6963-S
han4 niu2 chong1 dong4	36-56606-B
han4 qi2	29-65525-S
han4 quan2	50-60169-S,61-55226-S
han4 ran2	25-6781-B
han4 ran2 bu4 gu4	25-6841-B
han4 ru2 yu3	28-49993-S,39-8106-S
han4 ru2 yu3 xia4	36-56328-B
han4 san1 shu1	49-6803-S
han4 shan1	36-56921-B
han4 shi2 zhu4	56-6180-S
han4 shi4	35-47808-S
han4 si1	51-49801-S
han4 si1 dun4	49-7405-S
han4 ta1 bing4 du2	39-48183-B
han4 tan3 bing4 du2	39-48628-B
han4 wei4	28-2862-B
han4 wei4 zhe3	28-2919-B
han4 xi1	64-32815-B
han4 xian4	36-56875-B
han4 xun4	49-7669-S
han4 ye4	36-56568-B
han4 yi1 shu1	49-6724-S,49-7183-S
han4 yong3	25-6668-B
han4 yu3 shui3 ping2 kao3 shi4	39-51086-B
han4 zai1	31-17054-B
han4 zhu1	36-56770-B
han4 zhu1 zi5	36-56818-B
han4 · Ben3 ren2	49-6537-S
han4 · Huo4 jin1 si1	49-6625-S
han5	47-28260-S
hang	1-50461-S,1-52787-S,2-41732-S,2-41900-S,2-53837-S,2-54078-S,2-58315-S,2-60533-S,2-64206-S,2-64593-S,2-67811-S,2-81256-S,3-61438-S,4-195-S,4-13453-S,6-17166-S,7-31980-S,8-57893-S,10-37991-S,10-38497-S,10-39377-S,11-21193-S,12-36384-S,12-51439-S,12-68775-B,13-57942-S,13-60498-S,15-7771-S,15-17939-S,16-50289-S,17-56902-S,17-63709-S,17-64073-B,19-21257-S,20-59707-S,21-51580-S,21-54683-S,21-57142-S,22-3556-S,24-26508-S,24-67906-S,24-69852-S,25-58125-S,26-7020-S,27-3443-S,28-17934-S,29-45329-S,31-9671-S,31-11745-S,32-66554-S,33-14590-S,34-1092-B,35-28330-S,36-22814-S,37-4307-B,37-33175-S,39-2542-S,45-23644-S,50-44540-S,51-63055-S,53-24742-S,53-33628-B,53-56561-S,54-3723-S,55-49830-S,56-30580-B,59-5368-S,61-27488-S,61-49559-S,61-54788-S,62-2549-S,62-12359-S,62-62554-S,64-28791-S,65-39819-S,66-40879-S,67-66767-S,68-11762-S,68-28172-B,69-16043-S
hang Gong hui	69-28427-S
hang ban	53-34770-B
hang ban biao	53-34889-B
hang bang	28-17986-S
hang biao	53-34118-B
hang biao deng	53-34186-B
hang cheng	53-34951-B
hang chu zhuang yuan	56-34861-S
hang chuan	53-36171-B
hang ci	53-34334-B
hang cun kuan	64-28894-S
hang dan	10-23214-S
hang dao	3-7280-S,53-36481-B
hang dao dan	11-52932-S,21-51624-S
hang duan	53-34440-B
hang fu	19-21414-S
hang gao ge	23-28297-S
hang ge ye	12-30483-S
hang hai	10-57103-S,53-34586-B
hang hai jia	53-34653-B
hang hai zhe	53-34715-B
hang hang chu zhuang yuan	56-34861-B
hang he tai kong shu	15-5023-S
hang hui	53-34049-B
hang ji	53-36310-B
hang jia	56-32163-B,64-29005-S
hang jian	19-6493-S,56-35417-B
hang ju	19-21358-S,51-3886-S,51-6048-S
hang ka	64-28830-S
hang kong	15-11417-S,31-9593-S,39-6513-S,53-35022-B,65-15734-S
hang kong gang	53-35709-B
hang kong gong si	11-19681-S,15-6931-S,37-30144-S,51-5136-S,51-60661-S,53-35201-B
