years slip away	22-48329-S
years that has vanished	3-65946-S
years to nurture a tree	44-53411-S
years 成语 saw	10-50849-S
yeast	49-1097-B,49-10166-S,63-43899-B,63-43926-B,63-43995-B,63-44041-B,71-13276-B
yecheng place in xinjiang	54-51562-S
yedoensis	35-17755-S
yedoensis pearly everlasting reed	54-20489-S
yee 1945 	13-12853-S
yee ching or flossie wong staal 1947 hong kong american virologist	71-16753-S
yekaterinburg	54-51359-B
yell	12-9012-S,12-9184-B,12-20083-S,12-30915-S,13-16856-S,13-17431-S,14-5634-S,14-32897-S
yell to urge on an animal	12-30629-S,12-30965-S
yelling sound made by person	12-9667-B
yellow	31-60358-S,34-7947-S,34-7947-S,38-43899-S,38-58036-S,55-4335-S,64-17876-S,68-44817-B,71-16692-B,71-21269-S,71-22375-B
yellow and withered	40-65604-B
yellow back	69-53162-S
yellow battle ax 成语 saw	44-39629-S
yellow card	71-21526-B
yellow color	41-11810-B,50-16036-S,71-26418-S
yellow complexion	55-4335-S
yellow crane tower in wuhan city built in 223	71-25597-S
yellow croaker fish	71-23186-B,71-25240-B
yellow earth of china	71-17602-S
yellow eel	70-47769-S
yellow emperor	40-28804-S,61-1490-S,71-19648-B,71-19697-S
yellow emperor 黃帝 黄帝 and four of his sons zhuan xu 顓頊 颛顼	3-49838-S
yellow emperor 黄帝	61-1555-S
yellow enzyme	71-23959-B
yellow fever	71-21335-B
yellow fever virus	71-21394-B
yellow fish filet	48-62679-S,48-62764-S
yellow flower cosmetic powder used on women s forehead in former times	53-61775-B
yellow green	55-13195-B
yellow gum	71-22203-B
yellow loam	16-6797-B
yellow mountains	71-18049-B
yellow or fatty bone marrow	71-24941-B
yellow oriole oriolus chinensis	71-25693-B
yellow pages	71-24722-B
yellow quartz	54-11152-B
yellow quartz sio2	71-20317-S
yellow quartz sio2 as a semiprecious stone	71-20428-S
yellow race	71-22143-B
yellow red	71-23507-B
yellow river	2-51979-S,10-31991-S,37-18597-S,37-21093-S
yellow river basin	71-20720-S
yellow river can t get you clean	60-45420-S
yellow river or huang he	71-20539-B
yellow river oratorio 1939 by xian xinghai 冼星海	71-20598-B
yellow river 成语 saw	1-72767-S
yellow rock	60-7959-S
yellow sandy soil typical of north china	71-17519-S
yellow sea	9-41284-S,63-5011-S,71-21168-B
yellow seeds	64-26805-S
yellow springs	71-20840-S,71-26321-S
yellow tail	70-46264-B
yellow turbans	71-19575-S
yellow turbans peasant uprising at the end of later han from 184	71-19079-S,71-19195-S,71-19324-S,71-19453-B
yellow water	71-20317-B
yellow weasel mustela sibirica	71-25864-B,71-26164-B
yellow wine	53-61525-S
yellow wine mulled rice wine	71-23894-B
yellowcake	71-24830-B
yeltsin 1931 2007 first post communist president of russia 1991 1999	54-51225-S
yeltsin name	54-51225-B
yelü dashi 1087 1143	51-40713-S
yemelyan ivanovich pugachov 1742 1775	31-47415-B
yemen	3-21726-B,65-65906-S
yen	31-5357-B
yen daughter of pai ping ping	44-40017-S
yen japanese currency	8-7411-B
yen unit of currency	31-5265-S,31-6317-S,31-6382-S
yenching university	41-28488-S
yerevan capital of armenia	15-60417-B
yersinia pestis	71-49800-B
yes	13-49611-S,13-54615-B,31-37688-B,31-37875-B
yes man	4-5939-S
yes man sb who agrees with anything	18-27661-B
yes or no	31-37730-B
yesou puyan or humble words of a rustic elder	64-3028-B
yesterday	9-19322-S,9-21135-S,31-36854-B,31-36886-B,31-36930-B
yesterday and today	4-22812-B
yesterday evening	31-36972-B
yet	4-24468-B,4-24511-B,4-24555-B,4-64505-B,11-27977-B,21-6819-B,21-7513-S,21-7566-S,25-50428-S,32-55920-S,32-57275-S,32-58910-S,40-66009-B,61-44264-S,63-9342-B,63-9342-S
yet again	11-41555-B
yet come	31-41777-S
yet dispatched	32-56645-S,32-58671-S
yet done	32-32452-S
yet married	32-57463-S
yet not	51-34842-B
yet not a smile 成语 saw	4-62822-S
yet over	32-57318-S
yet ready of plans	8-21629-S
yet studied	43-19956-S,43-29555-S,43-29785-S
yeti	67-15728-B
yew former prime minister of singapore	33-1016-S
yi	4-47399-S,5-3189-S,26-30953-S,31-27238-S,33-49912-S,39-18733-S,51-16453-S,71-56525-S
yi 1017 1073	13-11974-S
yi 1033 1107	47-29885-S
yi 1608 1695	23-39647-S
yi 1727 1814	60-30134-S
yi 179 251	12-25104-S
yi 1856 1922	61-7546-S
yi 1901 1972	66-28410-S
yi 974 1020	34-27296-S
yi an place in heilongjiang	5-24412-S
yi autonomous county in yunnan	20-18721-S,31-49756-S,49-10849-S
yi autonomous county 寧洱哈尼族彝族自治縣 宁洱哈尼族彝族自治县	20-18553-S,20-18885-S,31-49569-S,31-49923-S
yi autonomous prefecture in central yunnan	34-30838-S
yi city in guizhou	53-25045-S,53-25102-S
yi county in anhui	71-43523-B
yi county in hebei	31-28218-B
yi county in jinzhou 錦州 锦州	51-14153-B
yi dynasty	33-2632-S
yi ethnic group	23-53413-B,23-53450-B
yi gate of 大梁	17-69184-S
yi jianlian 1987 	31-27849-B
yi nationality	43-54690-S
yi or lee dynasty 1392 1910	33-3840-S,33-3913-S
yi people autonomous prefecture in sichuan	38-39046-S
yi prefecture level city in guizhou	62-68654-S,62-68819-S
yi prefecture 遵義 遵义	4-21145-S
yi seong gye 1335 1408 founder and first king of korean yi dynasty	33-2632-B
yi vice premiers of the prc state council	12-69683-S
yi 周敦頤 周敦颐	17-59471-S
yi 溥儀 溥仪	19-55319-S
yi4 qi5	51-13357-S
yibin district district in sichuan	19-50606-S
yibin prefecture level city in sichuan	19-50535-B,19-50699-B
yibo 1908 2007	55-17983-S
yichang county in hubei	19-49733-B
yichang district district in hubei	19-49554-S
yichang prefecture level city in hubei	19-49481-B,19-49649-B
yicheng area in shandong	21-48673-S
yicheng city in hubei	19-49218-S
yicheng place in shanxi	51-23999-S
yichuan place in henan	4-48647-S
yichuan place in shaanxi	19-49416-S
yichun city in heilongjiang	4-49525-S
yichun city 宜春市	56-49565-S,56-49643-S
yichun district district in jiangxi	19-49876-S
yichun prefecture level city in jiangxi	19-49803-B,19-49971-B
yichun 宜春	1-57798-S,1-57866-S,18-3624-S,18-3690-S,19-50395-S,19-50459-S,34-57381-S,34-57460-S,54-47833-S,54-47897-S,59-19968-S,59-20049-S,64-31044-S,64-31108-S,67-60606-S,67-60671-S,70-13069-S,70-13143-S
yiddish language	25-29916-B
yiduo 1899 1946	51-56485-S
yield	4-68650-S,16-60355-S,21-20170-S,33-60813-S,39-877-S,39-27696-S,43-32422-B,43-68099-B,58-8794-B,58-8829-S,59-13544-S,59-13700-S,59-13949-S,59-21246-S,62-59285-S,62-69359-S
yield after making a show of resistance	10-58009-S
yield of investment	32-56324-S,34-33105-B
yield to weight ratio	36-10351-B
yielding	23-36670-B,24-9829-B,33-43804-B,70-18501-S
yields success	36-43354-S,39-33050-S,39-33298-S
yifeng county in yichun 宜春	19-50395-B,19-50459-B
yifu	42-36396-S
yihuang county in fuzhou 撫州 抚州	19-50842-B,19-50915-B
yijian 958 997	55-39235-S
yijinhuo luo qi place in inner mongolia	4-52350-S
yijun place in shaanxi	19-49157-S
yilan city and county in northeast taiwan	19-50244-B
yilan county in northeast taiwan	19-50318-B
yilan place in heilongjiang	5-25720-S
yili basin around urumqi in xinjiang	4-50755-S
yili province to qing china in exchange for compensation payment and unequal treaty rights	29-45849-S
yiliang place in yunnan	19-50180-S,23-53497-S
yiling barbarian mound	17-69238-B
yilong place in sichuan	6-54534-S
yima city in henan	51-14504-S
yimen place in yunnan	31-28328-S
yimou chinese film director	23-41600-S
yin	4-5067-S,11-17657-S,21-11513-S,35-65636-S,58-35198-S,65-50965-S,66-23681-S
yin 1470 1523	13-51362-S
yin and yang	3-24295-B,66-23523-S,66-25698-B
yin and yang school of philosophy	66-25745-S
yin county in zhejiang	63-32460-B
yin dynasty	8-12328-S
yin mountains in inner mongolia	66-23905-B
yin the negative principle of yin and yang	66-23523-B
yin yang symbol	17-59378-B
yin yang vital breath	36-26808-S
yin 唐寅 1470 1523	13-50196-S
yinan place in shandong	37-2634-S
yinchuan city	64-26127-B,64-26176-B
ying	25-58764-S,54-1430-S,63-22191-B
ying 1898 1941	68-21726-S
ying 1947 	50-56978-S
ying 1963 	33-5154-S
ying character in the water margin	42-36567-S
ying county in shanxi	25-61076-B
ying jeou 1950 	69-41179-S
ying of wu	37-5286-S
ying tung fok 1913 2006	67-43576-S
ying zheng 260 210 bc	18-62425-B
ying zhua fan zi quan eagle claw martial art	71-1758-B
ying 晏嬰 晏婴 or yanzi 晏子 500 bc	31-44447-S
ying 沈瑩 沈莹	52-59951-S
ying 郢 郢 contains inadvertent words hold up the candle that minister of yan 燕 puzzles out to mean brilliant prospects	63-22219-S
yingchao 1904 1992	63-33423-S
yingcheng city in hubei	25-59135-S
yingchuan	10-32091-S
yingde county level city in qingyuan 清远	54-3403-B,54-3480-B
yingde 英德	54-4168-S
yingjiang place in yunnan	45-2204-S
yingjing place in sichuan	39-28061-S
yingjisha place in xinjiang	54-1863-S
yingko town in taiwan	70-58321-S
yingkou city 營口市 营口市	47-62650-S,51-31111-S,51-31198-S,57-16810-S,70-49163-S,70-49260-S
yingkou prefecture level city in liaoning province 遼寧省 辽宁省 in northeast china	41-30865-B,41-30989-B
yingkou 營口 营口	17-29144-S,17-29263-S,55-5349-S,55-5434-S
yinglong	55-55025-S
yingqin 1890 1987	5-2478-S
yingru 1913 1989	33-5566-S
yingshan place in hubei	54-3265-S
yingshan place in sichuan	41-31162-S
yingshang county in anhui	47-40919-B
yingtan city 鷹潭市 鹰潭市	32-28194-S,32-28277-S
yingtan prefecture level city in jiangxi	71-1597-B,71-1672-B
yingtan 鷹潭 鹰潭	59-43459-S,59-43540-S,69-16106-S,69-16180-S
yingxian wooden pagoda or sakyamuni pagoda near datong in shanxi province	22-59776-S
yingzhou	40-15493-B
yining	23-39702-S
yining city in xinjiang	4-48295-S,4-48361-S
yinjiang tujiazu miaozu zizhixian place in guizhou	11-20521-S
yinwu 737 792	68-10237-S
yinxu	35-66014-B
yinxu 殷墟 in modern henan province	35-65889-S
yinzhou district of tieling city 鐵嶺市 铁岭市	64-26236-B,64-26323-B
yiren	34-41594-S
yishan 1902 1978	55-16418-S
yishan place in guangxi	19-49353-S
yisheng	54-7271-S
yishui place in shandong	37-2696-S
yitong manchurian autonomous county in siping 四平	4-51531-B,4-51690-B,4-52001-B
yitong manchurian autonomous county 伊通滿族自治縣 伊通满族自治县	4-51830-S,4-52099-S
yitong nature reserve in yitong manchurian autonomous county 伊通滿族自治縣 伊通满族自治县	4-52099-B
yitong river in siping 四平	4-51617-B
yitong township	4-52289-B
yitong volcanic area in yitong manchurian autonomous county 伊通滿族自治縣 伊通满族自治县	4-51830-B
yiwu county level city in jinhua 金华	51-13525-B,51-13596-B
yiwu place in xinjiang	4-48054-S
yixin 1833 1898	18-7998-S,25-4489-S
yixing city in jiangsu	19-50118-S
yixiu 1889 1910	50-55372-S
yiyang county in shangrao 上饒 上饶	23-24913-B,23-24986-B
yiyang district district in hunan	45-2860-S
yiyang place in henan	19-50781-S
yiyang prefecture level city in hunan	45-2789-B,45-2953-B
yiyuan place in shandong	37-2760-S
yizhang place in hunan	19-50055-S
yizheng city in jiangsu	6-54285-S
yizhuang town in beijing municipality	4-1528-B
yizu autonomous county in sichuan	21-39623-S,69-43386-S,69-43460-S
yizu autonomous county in yunnan	11-1308-S,20-19532-S,21-39092-S,31-54107-S,39-56015-S,60-41767-S
yizu miaozu autonomous county in yunnan	47-0-S
yizu zizhixian place in yunnan	31-54868-S
ymca international christian youth movement	67-55367-B
yo	13-56440-B,47-49107-S
yo ma 1955 	69-34755-S
yo yo	47-49107-S
yo yo ma 1955 	69-34755-B
yoda norimoto	5-25555-B
yoga	42-61251-B,42-61288-B
yogic meditation	33-45540-S
yogurt	6-58025-B,63-42429-B,63-44584-B,63-44624-B,63-44675-B
yogurt banquet	63-44716-S,67-17516-S,67-17589-S
yokan	51-461-B
yoke	11-27503-S,11-60441-S,42-71-S,50-63875-B,52-16332-B,61-1710-B,61-4958-S
yoke one has to endure	10-46044-B
yoke placed on the horns	34-27147-S
yokes	61-31475-S
yoking horses	61-1189-S
yokohama	35-9081-B
yokohama city in japan	35-9125-B
yokohama tire company	35-9182-B
yokosuka port and navy base in the tokyo bay	35-10501-B
yolk	11-25710-S,11-25863-S,55-61063-S,55-61166-S
yolk sac ectodermal cells attaching fetus to uterus before the development of the placenta	11-25908-B
yollig taxin or yelü dashi 1087 1143	51-40713-B
yom kippur or day of atonement jewish holiday	60-4779-B
yom kippur war of october 1973 between israel and her arab neighbors	60-4870-S
yoma	53-66801-S,66-2527-S
yoma mountain range of south central myanmar burma	9-65200-S
yomiuri shimbun japanese newspaper	59-6702-B
yonder	63-17676-B
yong	13-1406-S,63-31740-S,66-61745-S
yong 1011 1077	63-20215-S
yong 987 1053	33-49973-S
yong an city in fujian	36-50134-S
yong nam north korean deputy premier and foreign minister	64-11746-S
yongbyon site of north korean nuclear reactor	20-19814-B
yongchang place in gansu	36-51574-S
yongcheng place in henan	36-49936-S
yongchuan	36-50660-B
yongchuan district district in sichuan	36-50706-S
yongchun place in fujian	36-51641-S
yongchun singing spring fist chinese martial art	58-11933-B
yongde place in yunnan	36-51196-S
yongdeng place in gansu	36-52302-S
yongding county in longyan 龍岩 龙岩	36-50447-B
yongding county level city in longyan 龍岩 龙岩	36-50273-B
yongding river to the west of beijing	36-50360-S
yongdingmen	36-50535-B
yongfeng county in ji an 吉安	36-52688-B,36-52755-B
yongfu place in guangxi	36-52481-S
yonghap south korean news agency	51-60906-B,68-11638-B
yonghe in shanxi	36-49406-B
yonghuai 1909 1968	63-24627-S
yongji city in shanxi	36-52043-S
yongji county in jilin prefecture 吉林	36-49153-B,36-49320-B
yongji district district in jilin	36-49227-S
yongjia city and prefecture in zhejiang	36-49570-B
yongjia county in zhejiang	36-49693-B
yongjia prefecture in zhejiang	36-49766-B
yongjiang river 甬江 through ningbo 宁波	43-36631-S
