nuclear technology	33-57825-B,33-61575-B
nuclear test	15-37859-S,17-24048-S,33-59264-B,33-62086-S,33-62133-S,33-62191-B,36-38316-S,58-13011-B
nuclear test ban treaty	47-894-B
nuclear test reactor	33-62247-B
nuclear test site	33-62322-B
nuclear threshold	33-63218-B
nuclear transformation	33-62716-B
nuclear transmutation	33-62716-B
nuclear underground burst	15-37739-B
nuclear underwater burst	36-38196-B
nuclear vulnerability	33-58135-B
nuclear warfare	33-57706-B
nuclear warhead	33-57465-B,33-57513-B,33-57755-B
nuclear waste	33-57409-B
nuclear weapon	26-19727-S,33-58498-B,33-58544-B
nuclear weapon accident	33-58600-B
nuclear weapon exercise	33-58852-B
nuclear weapon free zone	40-54805-B
nuclear weapon institute in beijing	10-26980-B
nuclear weapon maneuver	33-59052-B
nuclear weapon material	33-58940-B
nuclear weapon safety	33-58767-B
nuclear weapon states	32-34982-B
nuclear weapon states nnws	67-65713-S
nuclear weapons	26-20301-S,34-18264-S,39-713-S,44-28495-S
nuclear weapons manufacturing program	33-59140-B
nuclear winter	33-55416-B
nuclear yield	33-60813-B
nuclearize	40-54725-S
nucleic acid	33-63104-B,71-4988-S
nucleic acid refer to the double helix dna as opposed to single chain 單鏈 单链 rna	67-2106-S
nucleoid of prokaryotic cell	4-62672-B
nucleolus within nucleus of cell	33-55268-B
nucleosome	33-57086-B
nucleosynthesis	33-56263-B
nucleotide	33-61763-B,33-61806-B
nucleotide a	52-45494-S
nucleotide c	52-20168-S
nucleotide g	70-49478-S
nucleotide in nucleic acid	71-4988-B
nucleotide t	52-25670-S
nucleotide u	21-16096-S
nucleotides adenine a 腺嘌呤 paired with thymine t 胸腺嘧啶 in dna	71-5219-S
nucleus	11-32094-S,33-55090-B,33-56979-B,33-57596-B,33-63676-S,36-32053-S,36-33974-S,43-47089-S,63-60696-S
nucleus of cell	33-55268-S,49-33037-B
nuclide	29-50275-S,33-61362-B
nude	52-32368-S
nude body	17-54915-B
nude photograph	57-3255-B
nudism	17-54973-B,57-3343-B
nudist	57-3403-B
nuisance	11-63906-S,18-36539-S,57-62317-B
nuisance to sb	50-44933-S,50-45125-S
nujiang lisu autonomous prefecture	24-52909-B
nujiang river in tibet and yunnan	24-53041-S
nujiang river of south tibet and northwest yunnan	24-52825-B
nuke	20-62060-S
nullify	5-6552-S
numb	1-67015-B,44-15806-B,44-16292-B,71-14122-B,71-14615-B
numb of limbs	63-42652-S
number	2-912-S,2-78235-S,3-13368-S,6-21557-S,6-38038-S,6-65002-S,10-58153-S,11-31972-S,14-497-S,14-17228-S,15-56580-S,15-68825-S,16-26621-S,16-55926-B,16-56076-B,16-56133-S,17-19428-S,18-120-S,18-781-S,20-5005-S,20-11691-S,20-55362-S,20-55444-S,21-4176-S,21-14886-S,21-20015-S,22-27799-S,22-59585-S,26-10998-S,26-49957-S,26-57549-S,26-57549-S,30-15501-S,30-19440-B,30-19756-S,30-20699-B,30-23508-B,30-23554-B,30-24468-S,31-835-S,33-63676-S,35-20704-S,35-36855-S,44-470-S,46-34237-B,48-8199-S,49-5314-S,49-5314-S,49-24871-S,49-46404-S,50-21214-B,50-21214-S,53-8979-S,53-34334-S,53-34770-S,53-34770-S,54-42690-S,55-52584-S,55-55154-S,55-55412-B,56-57375-S,57-56873-S,59-31843-S,59-60221-S,61-9559-S,62-27324-S,65-23146-S,65-63738-S,65-66477-S,65-66615-S,66-44552-S,66-65943-S,67-37659-S,68-19461-S,68-23627-S,69-14715-S,69-42395-S
number a or b in microsoft dos and windows system	45-11686-S
number also written 奇數 奇数	14-18423-S
number and a half	10-54408-S
