槍擊案 枪击案	34-44808-B
檢控 检控	35-13016-B
檢控官 检控官	35-13091-B
檢控方 检控方	35-13160-B
檢束 检束	35-13257-B
檢查 检查	35-13325-B
檢查員 检查员	35-13378-B
檢查哨 检查哨	35-13434-B
檢查站 检查站	35-13507-B
檢校 检校	35-13564-B
檢毒盒 检毒盒	35-13632-B
檢毒箱 检毒箱	35-13689-B
檢波 检波	35-13749-B
檢測 检测	35-13811-B
檢測儀 检测仪	35-13854-B
檢測器 检测器	35-13913-B
檢漏 检漏	35-13965-B
檢疫 检疫	35-14024-B
檢索 检索	35-14081-B
檢舉 检举	35-14143-B
檢視 检视	35-14239-B
檢討 检讨	35-14324-B
檢證 检证	35-14373-B
檢錄 检录	35-14466-B
檢閱 检阅	35-14552-B
檢驗 检验	35-14610-B
檢點 检点	35-14674-B
檣 樯	35-14756-B
檨	35-14790-S
檨 檨	35-14790-B
檩	35-10995-S
檬	35-14818-S
檬 檬	35-14818-B
檮	35-14847-S
檮 檮	35-14847-B
檯 台	35-14890-B
檯燈 台灯	35-14926-B
檳 槟	35-14981-B
檳城 槟城	35-15057-B
檳子 槟子	35-15119-B
檳州 槟州	35-15213-B
檳榔 槟榔	35-15270-B
檳榔嶼 槟榔屿	35-15341-B
檴	35-15407-S
檴 檴	35-15407-B
檸 柠	35-15436-B
檸檬 柠檬	35-15465-B
檸檬水 柠檬水	35-15506-B
檸檬浮霉狀菌 柠檬浮霉状菌	35-15562-B
檸檬片 柠檬片	35-15664-B
檸檬茶 柠檬茶	35-15725-B
檸檬酸 柠檬酸	35-15781-B
檸檬酸循環 柠檬酸循环	35-15840-B
檸檬雞 柠檬鸡	35-15965-B
檻 槛	35-16024-B,35-16133-B
檻花籠鶴 槛花笼鹤	35-16175-B
檻車 槛车	35-16250-B
櫂	35-16299-S
櫂 櫂	35-16299-B
櫃 柜	35-16326-B
櫃子 柜子	35-16374-B
櫃檯 柜台	35-16422-B
櫃邊 柜边	35-16484-B
櫌	35-16538-S
櫌 櫌	35-16538-B
櫓 橹	35-16567-B
櫚 榈	35-16601-B
櫛 栉	35-16632-B
櫛比 栉比	35-16672-B
櫜	35-16742-S
櫜 櫜	35-16742-B
櫝 椟	35-16776-B
櫞 橼	35-16817-B
櫟 栎	35-16854-B
櫥 橱	35-16895-B
櫥櫃 橱柜	35-16941-B
櫥窗 橱窗	35-17022-B
櫧 槠	35-17073-B
櫨 栌	35-17110-B
櫪 枥	35-17162-B
櫫 橥	35-17215-B
櫬 榇	35-17255-B
櫱 蘖	35-17309-B
櫱枝 蘖枝	35-17374-B
櫳 栊	35-17419-B
櫸 榉	35-17460-B
櫸木 榉木	35-17499-B
櫹	35-17536-S
櫹 櫹	35-17536-B
櫺 棂	35-17588-B
櫻 樱	35-17619-B
櫻桃 樱桃	35-17649-B
櫻桃園 樱桃园	35-17690-B
櫻花 樱花	35-17755-B
櫻花草 樱花草	35-17844-B
欃	35-17898-S
欃 欃	35-17898-B
欄 栏	35-17949-B
欄圈 栏圈	35-18039-B
欄杆 栏杆	35-18089-B
欄柵 栏栅	35-18139-B
欄目 栏目	35-18181-B
權 权	35-18253-B
權利 权利	35-18298-B
權利聲明 权利声明	35-18353-B
權力 权力	35-18431-B
權力紛爭 权力纷争	35-18478-B
權力鬥爭 权力斗争	35-18550-B
權勢 权势	35-18622-B
權威 权威	35-18672-B
權威性 权威性	35-18749-B
權宜 权宜	35-18828-B
權杖 权杖	35-18871-B
權柄 权柄	35-18915-B
權益 权益	35-18960-B
權能 权能	35-19013-B
權衡 权衡	35-19054-B
權證 权证	35-19113-B
權重 权重	35-19167-B
權鑰 权钥	35-19210-B
權限 权限	35-19262-B
欐	35-19345-S
欐 欐	35-19345-B
欑	35-19371-S
欑 欑	35-19371-B
欒 栾	35-19400-B
欒城 栾城	35-19460-B
欒川 栾川	35-19527-B
欖 榄	35-19594-B
欖角 榄角	35-19622-B
欙	35-19689-S
欙 欙	35-19689-B
欞 棂	35-19717-B
欠	35-19771-S
欠 欠	35-19771-B
欠佳	35-19821-S
欠佳 欠佳	35-19821-B
欠妥	35-19889-S
欠妥 欠妥	35-19889-B
次	35-19985-S
次 次	35-19985-B
次一个	35-20046-S
次一個 次一个	35-20046-B
次之	35-20107-S
次之 次之	35-20107-B
次亚硫酸钠	35-20188-S
次亞硫酸鈉 次亚硫酸钠	35-20188-B
次品	35-20286-S
次品 次品	35-20286-B
次声波	35-20357-S
次声波 次声波	35-20357-B
次大陆	35-20417-S
次大陸 次大陆	35-20417-B
次女	35-20502-S
次女 次女	35-20502-B
次子	35-20549-S
次子 次子	35-20549-B
次官	35-20591-S
次官 次官	35-20591-B
次序	35-20658-S
次序 次序	35-20658-B
次数	35-20704-S
次數 次数	35-20704-B
次文化	35-20777-S
次文化 次文化	35-20777-B
次方	35-20831-S
次方 次方	35-20831-B
次日	35-20890-S
次日 次日	35-20890-B
次氯酸	35-20941-S
次氯酸 次氯酸	35-20941-B
次溴酸	35-21016-S
次溴酸 次溴酸	35-21016-B
次生	35-21082-S
次生 次生	35-21082-B
次生林	35-21142-S
次生林 次生林	35-21142-B
次生災害 次生灾害	35-21214-B
次生灾害	35-21214-S
次第	35-21322-S
次第 次第	35-21322-B
次等	35-21386-S
次等 次等	35-21386-B
次級 次级	35-21444-B
