掌玺官	28-14560-S
掌璽大臣 掌玺大臣	28-14442-B
掌璽官 掌玺官	28-14560-B
掌管	28-14651-S
掌管 掌管	28-14651-B
掌聲 掌声	28-14711-B
掌骨	28-14757-S
掌骨 掌骨	28-14757-B
掎	28-14841-S
掎 掎	28-14841-B
掏	28-14867-S,28-61358-S
掏 掏	28-14867-B
掐	28-14912-S
掐 掐	28-14912-B
掐断	28-14988-S
掐斷 掐断	28-14988-B
排	28-15041-S,28-15128-S
排 排	28-15041-B,28-15128-B
排他	28-15172-S
排他 排他	28-15172-B
排偶	28-15214-S
排偶 排偶	28-15214-B
排入	28-15308-S
排入 排入	28-15308-B
排出	28-15374-S
排出 排出	28-15374-B
排列	28-15417-S
排列 排列	28-15417-B
排列次序	28-15525-S
排列次序 排列次序	28-15525-B
排印	28-15603-S
排印 排印	28-15603-B
排卵	28-15661-S
排卵 排卵	28-15661-B
排名	28-15703-S
排名 排名	28-15703-B
排场	28-15753-S
排場 排场	28-15753-B
排外	28-15843-S
排外 排外	28-15843-B
排射	28-15902-S
排射 排射	28-15902-B
排尿	28-15961-S
排尿 排尿	28-15961-B
排屋	28-16006-S
排屋 排屋	28-16006-B
排山倒海	28-16053-S
排山倒海 排山倒海	28-16053-B
排律	28-16151-S
排律 排律	28-16151-B
排挡	28-16222-S
排挡速率	28-16261-S
排挤	28-16331-S
排擋 排挡	28-16222-B
排擋速率 排挡速率	28-16261-B
排擠 排挤	28-16331-B
排放	28-16384-S
排放 排放	28-16384-B
排斥	28-16446-S
排斥 排斥	28-16446-B
排档	28-16532-S
排档速率	28-16584-S
排檔 排档	28-16532-B
排檔速率 排档速率	28-16584-B
排比	28-16654-S
排比 排比	28-16654-B
排气	28-16708-S
排气孔	28-16753-S
排气管	28-16828-S
排氣 排气	28-16708-B
排氣孔 排气孔	28-16753-B
排氣管 排气管	28-16828-B
排水	28-16885-S
排水 排水	28-16885-B
排水沟	28-16978-S
排水渠	28-16925-S
排水渠 排水渠	28-16925-B
排水溝 排水沟	28-16978-B
排水管	28-17030-S
排水管 排水管	28-17030-B
排水量	28-17097-S
排水量 排水量	28-17097-B
排污管	28-17163-S
排污管 排污管	28-17163-B
排泄	28-17213-S,28-17312-S
排泄 排泄	28-17213-B
排泄物	28-17363-S
排泻	28-17479-S
排泻物	28-17523-S
排洩 排泄	28-17312-B
排洩物 排泄物	28-17363-B
排涝	28-17422-S
排湾族	28-17576-S
排澇 排涝	28-17422-B
排瀉 排泻	28-17479-B
排瀉物 排泻物	28-17523-B
排灣族 排湾族	28-17576-B
排炮	28-17626-S
排炮 排炮	28-17626-B
排版	28-17695-S
排版 排版	28-17695-B
排球	28-17740-S
排球 排球	28-17740-B
排空	28-17784-S
排空 排空	28-17784-B
排箫	28-17839-S
排簫 排箫	28-17839-B
排練 排练	28-17878-B
排练	28-17878-S
排行	28-17934-S
排行 排行	28-17934-B
排行榜	28-17986-S
排行榜 排行榜	28-17986-B
排解	28-18078-S
排解 排解	28-18078-B
排遣	28-18135-S
排遣 排遣	28-18135-B
排長 排长	28-18203-B
排长	28-18203-S
排队	28-18332-S
排除	28-18262-S
排除 排除	28-18262-B
排隊 排队	28-18332-B
排难解纷	28-18376-S
排難解紛 排难解纷	28-18376-B
排雷	28-18506-S
排雷 排雷	28-18506-B
排風口 排风口	28-18554-B
排风口	28-18554-S
排骨	28-18612-S
