face	2-45556-S,2-45600-S,2-45918-S,2-45977-S,6-15824-S,8-46220-S,12-61824-S,12-68261-S,13-46279-S,14-59606-S,17-68293-S,17-68440-S,18-49900-S,18-49900-S,20-46157-S,20-48233-S,20-56010-S,23-54873-S,23-62749-S,24-52432-S,24-52537-S,24-65072-S,25-15960-S,26-41942-S,26-41942-S,26-48225-S,27-26394-S,27-28190-S,28-62971-S,28-63031-S,29-16671-S,29-16778-S,29-16778-S,29-16955-S,29-16955-S,32-47135-S,37-54287-S,37-54338-S,39-41686-S,39-54226-S,40-49086-S,40-61310-S,42-48732-S,44-0-S,44-32691-S,44-44330-S,45-27280-S,45-32341-S,45-41573-S,46-18752-S,48-4849-S,50-38862-S,50-39100-S,50-39100-S,51-30099-B,51-39098-S,52-52191-B,52-52219-B,52-52259-S,52-52308-S,52-52487-B,52-52532-S,52-52664-B,52-52744-B,52-55987-S,53-58500-S,54-64492-S,55-8739-S,55-20268-S,55-20268-S,56-47007-B,57-27320-S,57-27956-S,57-41522-S,59-7950-S,60-48931-S,61-30462-S,61-44692-S,61-46224-S,64-49280-S,65-480-S,65-40767-S,67-21582-S,67-47540-S,67-47978-S,67-61123-S,68-891-B,68-1049-S,68-1288-S,68-1348-S,68-1801-S,68-1850-S,68-1987-B,68-2089-B,68-2137-S,68-2287-S,68-2413-S,68-3365-S,68-3483-S,68-3564-S,68-3643-S,68-3702-B,68-4157-B,68-4307-B,68-39398-S,69-47308-S,69-51423-S,70-10552-S,70-32006-S,70-32006-S,70-32006-S,71-43670-S,71-52242-S,71-52376-S
face a challenge	25-59815-B
face about	61-28639-S
face against sb and show no mercy 成语 saw	11-52620-S,61-30250-S
face an attack	61-45427-S
face an attack and meet it	25-59815-B
face and let it dry by itself	13-57103-S
face as in losing face	68-1850-B,70-10552-B
face changing	59-11312-B
face childbirth	52-61362-S
face cream	69-29644-B
face danger bravely	2-35456-S
face dangers	8-11660-S
face dangers calmly	57-29958-S
face dangers with assurance	52-58825-S
face esp remembered	68-2336-B
face flannel or towel	68-2196-B
face for his prognostication	45-27646-S
face in one s hands	28-63031-S
face in profile	6-20088-B
face in public derog 	27-28576-S
face into the winde	68-20879-S
face lift	51-21766-S
face light up with delight 成语 saw	14-7954-B
face mask	70-32006-B
face meeting	68-3297-S
face of a blemish	46-19607-S
face of a cliff	34-23087-S,34-23382-S
face of a corpse	68-2196-S
face of a crisis	33-11937-S
face of adversity or pain	28-0-S
face of authority	25-6841-S
face of death	52-58825-S
face of difficulties	61-44692-S
face of hardships and danger	29-31872-S
face of impossible odds	48-57976-S
face of superior strength	61-62965-S
face of the earth	55-15928-S,55-16020-S
face of the elderly	51-34746-S
face of wind	61-46027-S,61-46115-S
face on it	46-26333-S
face one other	20-48233-S
face or old gentleman s calligraphy	8-40597-S
face painting in beijing opera etc	44-44330-B
face piece e g diving suit	68-2873-B
face powder	48-47146-S,69-29444-B
face saving	25-38346-S
face seems good 成语 saw	55-52848-S
face squarely	35-39105-S
face the enemy	20-50763-S
face the sun	61-30462-S
face thirst and dig a well 成语 saw	52-60441-S
face to face	20-48233-S,20-56010-S,45-27280-B,57-41522-B,61-46224-B,67-21582-B,68-1049-S,68-2137-B,68-2413-S,68-3564-S
face to face meeting	68-3297-B
face to the ground	68-2521-B
face until it is swollen	26-48362-S
face up to	35-39105-S
face upwards	4-39837-S
face usually mocking	20-42897-S
face value	24-23191-S,41-6890-S,68-1132-B
face value of a bond	46-64573-B
faced	7-48187-S,25-44004-S,52-52384-S
faced scholar	44-48045-S
faced with a current crisis	27-67201-B
faced with a problem	68-2948-S
faced with grim reality	2-28312-S
faced with problems	68-3030-S
faced 成语 saw	35-58736-S
faces	3-20745-S,24-65072-S
facet	68-1348-B
faceted	16-53313-S,30-62844-S
facial appearance	45-36126-S
facial cleansing	37-54942-B
facial expression	56-44544-B,68-3761-B
facial feature	68-1348-B
facial features	3-48904-B,68-2027-B,68-2633-B
facial hair	70-27715-B
facial makeup in operas	52-52598-S
facial skin disease	44-5273-B
facilitate	5-13791-B,5-28681-B,5-29277-S,5-31122-B
facilities	7-56413-S,45-12715-S,58-1652-B,58-2046-B
facilities for evil deeds	65-31388-S
facility	6-41211-S,7-62497-S,11-59850-S,33-62005-S,43-27425-S,65-55008-S
facing	32-47135-B,32-48840-B,35-35938-S,68-1225-B,69-9541-S
facing a wall	12-62705-B,12-62774-B
facing back	32-47833-B
facing death	52-56312-B,52-58764-B
facing disaster	52-62749-B
facing execution	52-56073-B
facing forwards	32-47607-B
facing imminent catastrophe	17-29674-B
facing left	12-62843-B
facing north	12-62475-B
facing one another	45-27280-B
facing one s home	52-62585-B
facing right	12-62633-B
facing separation	52-56124-B
facing the fire	12-63472-S
facing the goalmouth	52-62585-S
facing the sky 成语 saw	14-52530-S
facing the street	52-62186-B
facing the street serving as a store	52-62237-S
facing the sun	32-49233-S
facing the wind	61-46599-B
facing torture and execution	30-38177-B
facing us	43-66144-S
facing you	9-18007-S
facsimile	6-37855-B
fact	1-29980-S,3-30121-S,3-30175-S,3-30175-S,8-3920-S,12-21577-S,12-53164-S,20-11902-B,20-12338-S,20-15802-S,20-15802-S,45-43861-S,58-20384-S
fact that	3-30121-S
faction	2-77443-S,3-4302-S,3-5549-S,4-49395-S,5-35505-S,11-47184-S,11-66579-S,19-22289-S,22-36017-B,23-45049-S,29-57233-B,30-51191-S,32-62129-S,34-2413-S,36-18542-S,38-350-B,38-729-B,38-1273-B,39-19721-S,42-49123-S,43-63299-S,50-3633-S,55-12433-S,62-17745-S,65-22328-B,66-20946-B
faction in taiwanese politics	32-62129-S
faction in the late qing	37-49813-S
faction leader	71-45612-B
faction of northern warlords	10-33295-S
faction of northern warlords 1912 c 1920	44-63938-S
faction of the northern warlords	45-20507-S
factionalism	38-958-B
factions	8-14062-S,30-17690-S
facto	3-30175-S,3-30175-S,55-55525-S
facto marriage	3-30414-S
factor	5-54369-S,6-64702-S,7-57657-S,13-62980-S,14-59977-B,14-60016-B,14-61818-B,26-9164-B,34-13909-B,57-27035-S,68-48390-S
factor changing the situation	43-63720-S
factor in arithmetic	59-59845-S
factor leading to an effect	60-16416-S
factor of an integer	14-60484-B
factorial of a number	65-63738-S
factories and mines	23-7984-B
factories etc	42-47709-S
factories that acquired notoriety in 2007 for slave labor	71-32093-B
factorization	14-60088-B
factors	42-53712-S,49-52905-S
factors in the numerator and denominator	49-4276-S
factors of production	43-27243-B
factory	8-1232-S,10-23703-S,21-55317-B,23-7386-B,23-7727-B,23-7785-B,23-7844-S,33-42690-S,37-1539-S,49-25730-S,57-4223-S,57-4444-B,58-1878-S,63-39690-S,65-55008-S
factory building	23-7844-B
factory director	23-8204-B
factory history	23-7525-B
factory of finished goods	8-39565-S
factory or engineering operation	65-33866-S
factory owner	23-7476-B
factory owners	23-7727-B
factory price	8-39641-B
factory regulations	23-8149-B
factory site	23-7626-B
factory waste etc	28-17213-S
factory worker	23-7785-B
facts	29-24062-S,35-54869-S,39-65717-S,45-43664-S,45-63634-S,64-7204-S,68-45759-S
facts and reason things out	29-29425-S
facts of an injustice	8-14284-B
facts speak louder than words 成语 saw	3-30289-B
facts 成语 saw	20-11970-S,38-54625-S
facula	7-9600-B
faculty	19-19715-B,49-1294-B
faculty of sinology	39-49302-B
fade	28-13518-S,55-13283-B,57-8332-B,57-8378-B,60-13580-S,68-891-B
fade away	38-29877-B,38-32759-S,66-48248-S
fade out	66-48171-S
faded	54-38065-B
fagus sylvatica	34-24978-B,34-25963-B
fahai	37-32308-B
fahd of saudi arabia	37-34685-S
fahrenheit	54-34487-B,54-34531-S,69-835-B
fai	15-18981-S
fail	1-74820-B,2-34236-B,5-54933-S,17-64154-S,17-65509-S,17-65653-S,27-69869-B,46-21289-S,46-21462-S,69-36642-S
fail admission to next year s course	43-50533-S,43-51088-S
fail completely	1-10181-S
fail for lack of a final effort	9-50432-S
fail in imperial exam	12-58218-S
fail safe procedures	53-3067-B
fail the imperial exams	54-50044-S
fail to	32-59161-B
fail to appreciate sb s kindness	2-30434-B
fail to be loyal to one s love	59-31500-S
fail to grasp the main points	2-8947-B
fail to keep one s promise	52-18252-B
