pao cai	37-37253-B
pao cha	37-37211-B
pao che	60-36216-B
pao chu	27-27355-B
pao chui	1-38542-S
pao da wen zi	17-26443-S
pao dan	19-1542-S,40-30338-B
pao dao	39-28568-S,60-36417-B
pao dian	60-36565-B
pao fa	26-67755-S
pao fan	37-37317-B
pao fei	27-28352-B
pao gen	9-5144-B
pao gen r	9-5237-B
pao gen wen di	9-5303-B
pao guang	27-27299-B
pao hao	47-8784-S
pao hong	40-30510-B,46-16371-B
pao huang	27-28249-B
pao huo	40-30451-B
pao ji	40-30387-B,46-16172-B
pao jian	46-16321-B,47-45553-S
pao jiang hu	60-35923-B
pao jing bao	60-36152-B
pao kai	27-28454-B
pao kong	27-28113-B
pao lei	60-35674-B
pao lei yuan	60-35743-B
pao li	27-28514-B
pao lian	27-28190-B
pao long tao	60-36708-B
pao ma	60-36665-B
pao mao	27-28406-B
pao mo	5-0-S,37-37073-B,60-17156-S
pao mo jing ji	37-37142-B
pao qi	27-27806-B
pao qian	40-30563-B
pao que	27-27409-B
pao sa	27-27712-B,27-27851-B
pao she	27-27549-B
pao she ti	27-27656-B
pao she wu	27-27600-B
pao shen r	60-36014-B
pao shou	27-27453-B,46-16116-B
pao shu	69-26549-S
pao ta	40-30295-B
pao tai	46-16236-B
pao tang er de	60-35615-B
pao ting	46-16277-B
pao tong	37-37029-B
pao tou lou mian	27-28576-B
pao tui er	60-36095-B
pao wei	60-35510-B
pao wei r	60-35558-B
pao wu xian	27-27915-B
pao xia	27-27221-B
pao xian	60-18519-S
pao xiao	13-21217-B,13-21262-B
pao xie	60-36618-B
pao ya	71-55710-B
pao ying	17-2526-S,37-36955-B,49-35613-S
pao yun dong yuan	65-19878-S
pao zhen	14-20432-S,22-28610-S,45-845-B
pao zhen bing du	14-20511-S,45-923-B
pao zheng	50-47385-S
pao zhi	27-27756-B
pao zhuan yin yu	27-27976-B
pao1	27-27154-B,37-36817-B,52-35015-B
pao1 chu1	27-27355-B
pao1 fei4	27-28352-B
pao1 guang1	27-27299-B
pao1 huang1	27-28249-B
pao1 kai1	27-28454-B
pao1 kong1	27-28113-B
pao1 li2	27-28514-B
pao1 lian3	27-28190-B
pao1 mao2	27-28406-B
pao1 qi4	27-27806-B
pao1 que4	27-27409-B
pao1 sa3	27-27712-B,27-27851-B
pao1 she4	27-27549-B
pao1 she4 ti3	27-27656-B
pao1 she4 wu4	27-27600-B
pao1 shou4	27-27453-B
pao1 shu4	69-26549-S
pao1 tong2	37-37029-B
pao1 tou2 lou4 mian4	27-28576-B
pao1 wu4 xian4	27-27915-B
pao1 xia4	27-27221-B
pao1 zhi4	27-27756-B
pao1 zhuan1 yin3 yu4	27-27976-B
pao2	9-4929-B,10-20385-B,13-21187-B,16-50476-S,22-61282-B,31-3694-S,40-30703-B,44-30615-S,56-50263-B,60-25771-S,65-19497-S,68-6517-B,71-55671-B
pao2 gen1	9-5144-B
pao2 gen1 r5	9-5237-B
pao2 gen1 wen4 di3	9-5303-B
pao2 xiao1	13-21217-B
pao2 xiao4	13-21262-B
pao2 ya2	71-55710-B
pao3	2-83398-S,3-27618-S,13-23133-S,18-7522-S,24-48621-S,25-50503-S,26-49201-S,28-25254-S,33-17266-S,44-55828-S,46-405-S,53-22339-S,60-970-S,60-18450-S,60-27889-S,60-27965-S,60-35466-B,61-65514-S,62-20560-S
pao3 bian4	60-36340-B
pao3 biao3	60-36521-B
pao3 bu4	60-35809-B
pao3 bu4 zhe3	60-35873-B
pao3 che1	60-36216-B
pao3 dao4	39-28568-S,60-36417-B
pao3 dian4	60-36565-B
pao3 fa3	26-67755-S
pao3 jiang1 hu2	60-35923-B
pao3 jing3 bao4	60-36152-B
pao3 lei3	60-35674-B
pao3 lei3 yuan2	60-35743-B
pao3 long2 tao4	60-36708-B
pao3 ma3	60-36665-B
pao3 shen2 r5	60-36014-B
pao3 tang2 er5 de5	60-35615-B
pao3 tui3 er5	60-36095-B
pao3 wei4	60-35510-B
pao3 wei4 r5	60-35558-B
pao3 xian4	60-18519-S
pao3 xie2	60-36618-B
pao3 yun4 dong4 yuan2	65-19878-S
pao4	1-23668-S,9-59793-S,10-45272-S,11-25667-S,14-44480-S,17-29393-S,26-46012-S,26-47417-S,28-17626-S,29-53349-S,29-53474-S,34-42310-S,36-28765-S,36-42629-S,36-44842-S,37-36891-B,38-27324-S,40-22419-S,40-23616-S,40-23764-S,40-30191-B,41-25099-S,45-811-B,46-16004-B,47-8712-S,52-11827-S,52-14795-S,52-51556-S,52-51626-S,53-52396-S,53-58193-S,55-48092-S,61-52351-S,62-22912-S,63-46075-S,63-62139-S,63-63403-S,65-40019-S,67-32493-S,68-8799-S,69-37273-S,70-13391-S,70-49821-S
pao4 bing1	40-30236-B,46-16037-B
pao4 bing4	59-25777-S
pao4 cai4	37-37253-B
pao4 cha2	37-37211-B
pao4 chui2	1-38542-S
pao4 da3 wen2 zi5	17-26443-S
pao4 dan4	19-1542-S,40-30338-B
pao4 fan4	37-37317-B
pao4 hao4	47-8784-S
pao4 hong1	40-30510-B,46-16371-B
pao4 huo3	40-30451-B
pao4 ji1	40-30387-B,46-16172-B
pao4 jian4	46-16321-B,47-45553-S
pao4 mo4	5-0-S,37-37073-B,60-17156-S
pao4 mo4 jing1 ji4	37-37142-B
pao4 qian1	40-30563-B
pao4 shou3	46-16116-B
pao4 ta3	40-30295-B
pao4 tai2	46-16236-B
pao4 ting3	46-16277-B
pao4 ying3	17-2526-S,37-36955-B,49-35613-S
pao4 zhen3	14-20432-S,22-28610-S,45-845-B
pao4 zhen3 bing4 du2	14-20511-S,45-923-B
pao4 zheng4	50-47385-S
pei	4-405-S,4-34450-S,5-10105-B,5-61249-S,6-4444-S,6-46120-S,6-65371-S,8-59002-S,10-18434-S,10-40075-S,11-61778-S,13-16611-B,15-66031-B,17-44527-S,17-68145-S,18-5129-S,18-54161-S,19-26052-S,19-61402-S,22-22039-B,23-64013-S,24-18725-S,25-38820-S,27-62089-S,27-63647-S,28-61199-S,29-39432-S,30-11090-S,30-66919-B,30-69784-B,33-51550-B,34-571-S,35-23783-S,37-18065-B,42-48419-B,45-31795-S,46-32175-S,48-52594-S,49-27665-S,49-54068-S,52-19754-B,55-11839-S,57-903-S,57-2976-B,58-4291-S,58-22228-S,58-39968-S,58-40024-S,58-64145-S,59-57522-B,60-24959-S,61-32109-B,61-48960-S,62-65690-S,63-37075-B,63-46405-B,64-42889-B,65-64275-S,66-5679-S,66-23048-B,67-41042-B,68-46233-S,71-63045-S
pei ban	66-23102-B
pei bei	63-37383-B
pei ben	59-57674-B
pei can	63-39037-B
pei ceng	2-79282-S,7-31196-S,16-50105-S,52-19782-B,62-65794-S
pei chang	59-57569-B
pei chang jin	59-57615-B
pei cheng	63-38485-B
pei dai	5-10207-B,5-10284-B
pei dui	63-37911-B,71-5050-S,71-5386-S
pei dui r	63-38019-B
pei duo ke lei	25-1797-S
pei fang	63-38201-B
pei fang fa	63-38326-B
pei fu	5-10342-B
pei gen	15-66231-B
pei gu	34-16113-S
pei gu quan	60-25017-S
pei he	63-37495-B
pei jia	63-37454-B,66-23189-B
pei jian	5-10157-B,63-37175-B
pei jian gua gou	63-37260-B
pei jing fa	69-58128-S
pei jing ye	69-58033-S
pei jue	63-38630-B
pei ke	35-27175-S
pei kuan	59-57714-B
pei la	16-7777-S
pei lan	5-10445-B
pei lei	15-52577-S
pei li	59-57779-B
pei liao	63-38133-B
pei lin	30-38930-S
pei liu li	68-46305-S
pei lu:	8-59071-S
pei luo	30-39018-S
pei ou	63-37331-B
pei qi	62-65734-S
pei qu	35-11644-S
pei quan	29-39483-S
pei ren	45-31851-S
pei shen tuan	17-38738-S,66-23228-B
pei sheng zhi	12-52427-S
pei shi	63-38986-B
pei shou	63-37717-B
pei shu	63-38074-B
pei si	22-18023-S
pei song	63-38688-B
pei song di zhi	63-38734-B
pei song fei	63-38863-B
pei song zhe	61-4774-S,63-38806-B
pei tai	52-19896-B
pei tai fa sheng	52-19991-B
pei tai xue	52-19936-B
pei tao	63-37807-B
pei ti	63-39079-B
pei tong	66-23145-B
pei tu	15-66187-B
pei wu	45-31947-S
pei xian	57-1031-S
pei xiu	15-66078-B
pei xun	15-66375-B,62-14138-S
pei yang	15-66439-B,49-32784-S
pei yang ji	15-66528-B
pei yang min	15-66666-B
pei yang qi	49-32852-S
pei yang ye	15-66587-B
pei yao	63-38570-B
pei yin	63-38932-B
pei yong	63-38430-B
pei yu	15-66325-B,34-23760-S
pei yuan	57-967-S
pei zang	66-23279-B
pei zang pin	66-23377-B
pei zhang	52-49148-S
pei zhi	15-66270-B,63-38527-B
pei zhong	10-15616-S
pei zhu	52-19857-B
pei zi	12-46287-S,63-37863-B,66-53859-S
pei zuo ye	45-17224-S
pei1	13-16611-B,33-51550-B,52-19754-B,63-46405-B
pei1 ceng2	2-79282-S,7-31196-S,16-50105-S,52-19782-B
pei1 tai1	52-19896-B
pei1 tai1 fa1 sheng1	52-19991-B
pei1 tai1 xue2	52-19936-B
pei1 zhu1	52-19857-B
pei2	5-61249-S,10-18434-S,15-66031-B,17-68145-S,18-5129-S,19-26052-S,19-61402-S,24-18725-S,34-571-S,46-32175-S,49-27665-S,55-11839-S,57-2976-B,58-22228-S,58-64145-S,59-57522-B,64-42889-B,66-23048-B,71-63045-S
pei2 ban4	66-23102-B
pei2 ben3	59-57674-B
pei2 chang2	59-57569-B
pei2 chang2 jin1	59-57615-B
pei2 duo1 ke4 lei1	25-1797-S
pei2 gen1	15-66231-B
pei2 jia4	66-23189-B
pei2 kuan3	59-57714-B
pei2 la1	16-7777-S
pei2 li3	59-57779-B
pei2 shen3 tuan2	17-38738-S,66-23228-B
pei2 tong2	66-23145-B
pei2 tu3	15-66187-B
pei2 xiu1	15-66078-B
pei2 xun4	15-66375-B,62-14138-S
pei2 yang3	15-66439-B,49-32784-S
