dào	1-22057-S,1-61085-S,1-66964-S,1-72558-S,1-76455-S,2-21947-S,3-7280-S,3-42795-S,4-3709-S,4-16103-S,4-16202-S,4-16279-S,4-17332-S,5-17227-S,5-30407-S,5-46835-S,5-49503-S,5-55092-B,6-10164-S,6-14211-S,6-23368-S,6-41390-S,6-41853-S,6-44572-S,6-46239-S,7-3279-S,7-4851-S,7-25719-S,7-31070-S,7-46354-S,7-65112-S,9-9255-B,9-63269-S,10-34046-S,11-35667-S,11-44141-S,11-60273-S,11-68916-S,12-5458-S,12-12856-S,12-34912-S,12-52179-S,13-15868-S,13-18065-S,13-31869-S,13-63251-S,14-5634-S,14-21407-S,14-54614-S,15-24874-S,15-38004-S,15-45295-S,15-52354-S,16-9095-S,16-12412-S,16-50022-S,17-36449-S,17-71677-S,18-19278-S,19-2968-S,19-3409-S,19-55856-S,20-43253-S,21-10948-S,21-15166-S,21-16400-S,21-35038-S,22-17958-S,22-28098-S,22-36355-B,22-53034-S,23-23627-S,23-44861-S,23-50245-S,24-5158-S,24-6268-S,24-6920-S,24-17794-S,24-48823-S,24-49002-S,24-63809-S,24-64159-S,24-66092-S,25-9744-S,25-10673-S,25-11347-B,25-25118-S,25-25494-S,25-29330-S,25-39135-S,25-43128-S,25-47875-S,25-50294-S,26-15932-S,26-40675-S,26-58846-S,26-59145-S,26-64839-S,27-49155-S,28-25162-S,28-37545-S,29-25228-S,29-40362-S,29-46382-S,29-61440-S,30-25497-S,30-34634-S,31-10008-S,31-15096-S,31-41777-S,32-58297-S,33-24490-S,33-44723-S,34-23382-S,34-51786-S,35-45378-S,36-30982-S,36-45068-S,36-47079-S,36-58323-S,37-9465-S,37-9588-S,37-21467-S,37-59085-S,38-22873-S,38-29546-S,38-64995-S,39-1910-S,39-18427-S,39-28568-S,39-29504-S,40-62702-S,41-16875-S,41-26189-S,41-34095-B,42-36865-S,42-52851-S,43-29895-S,43-33099-S,43-36720-S,44-46680-S,45-6418-B,45-20603-S,45-38113-S,45-45118-S,46-30638-S,46-51583-S,46-61833-S,47-24321-S,47-35515-B,47-35717-B,47-47538-S,47-59855-S,48-17869-S,48-27255-S,48-46956-S,49-817-S,49-27732-S,49-63335-S,50-48048-B,51-24283-B,51-56854-S,51-69706-S,52-22917-S,52-28093-S,52-44557-S,52-44705-S,52-56269-S,53-2929-S,53-36481-S,54-303-S,54-11997-S,54-33652-S,56-36682-S,56-49494-S,57-27780-S,57-29615-S,57-66821-S,58-28663-S,58-32565-S,58-33747-S,58-40976-S,58-54238-S,58-55628-S,59-44988-S,60-7089-S,60-14290-S,60-33754-S,60-36417-S,60-59925-S,60-60355-S,60-62030-S,61-7970-S,61-15672-S,61-29699-S,61-34639-S,61-35202-S,61-49068-S,61-57267-S,62-13583-S,62-15081-S,62-26869-S,62-35699-S,62-48435-S,62-49380-B,62-52544-S,62-52737-S,62-66181-S,62-67312-S,63-18942-S,63-24543-S,63-50872-S,64-1093-S,65-4959-S,65-30492-S,65-42896-S,65-56834-S,65-61564-S,65-63698-S,66-25256-S,66-26798-S,66-42588-S,67-102-S,67-13709-S,67-49458-S,67-49995-S,68-670-S,68-3940-S,68-27885-S,68-40451-S,68-42400-S,69-705-S,69-4271-S,69-14036-S,69-14261-S,70-51070-S,71-4411-S,71-12834-S,71-23578-S
dào 5r	41-16940-S
dào bié	62-49835-B
dào biāo zhì fú	55-52274-S
dào bái	62-51599-B
dào bèi rú liú	5-59971-B
dào bèi shǒu	5-60085-B
dào bèi shǒu 5r	5-60165-B
dào bù	6-42131-S
dào bù shí yí	62-49468-B
dào bǎn	45-6520-B
dào bǎn zhě	45-6608-B
dào chà	62-50704-B
dào cháng chéng fēi hǎo hàn	1-72640-S
dào chéng	47-35750-B
dào chéng gōng	69-34384-S
dào chù	9-10134-B
dào chā mén	5-57530-B
dào chē	5-61501-B,60-61450-S,65-30075-S
dào chōu le yī kǒu qì	5-57344-B
dào chōu yī kǒu qì	5-57258-B
dào chūn hán	5-58232-B
dào chǎng	9-9486-B,54-31284-S,62-50006-B
dào cì	5-55625-B
dào cí	25-11509-B,25-11564-B
dào cāng	60-62124-S
dào cǎi	5-56104-B,14-10110-S
dào cǎo	47-36018-B
dào cǎo rén	47-36057-B
dào cǐ	9-9822-B
dào cǐ chù	9-9870-B
dào de	62-44728-S
dào duō zhù	24-9306-S
dào duǎn	58-33789-S,58-44834-S
dào dá	9-10192-B
dào dá dà tīng	9-10243-B
dào dá mù dì dì gēng néng gěi rén lè qù	6-65579-S
dào dé	2-34770-S,7-56571-S,32-40099-S,62-50753-B
dào dé jiā	62-50814-B
dào dé jīng	62-50958-B
dào dé rèn shi	62-51038-B
dào dé sù zhì	62-50864-B
dào dì	62-49955-B
dào dòng zú zì zhì xiàn	62-15161-S
dào dǎ yī pá	5-57061-B
dào dǎo dàn	23-50315-S
dào dǐ	9-9555-B,35-54441-S
dào fàn zi	3-43167-S
dào fàng	5-57736-B
dào fèn	5-59714-B
dào fù zhé	64-1165-S
dào fú	62-50273-B
dào fēi chē	5-42624-S
dào fěi	45-6480-B
dào fū	38-65122-S
dào guà	5-57439-B
dào guàn	5-58954-B,62-51903-B
dào guò 5r	5-61773-B
dào guāng	62-49655-B
dào guāng dì	62-49729-B
dào guǒ wéi yīn	5-58479-B
dào gū	62-50230-B
dào gǔ	47-35931-B
dào huáng hé xīn bù sǐ	1-72767-S
dào huì	5-49607-S,61-57333-S
dào huí fǔ	26-49604-S
dào huān yíng	17-71764-S
dào hán	36-64390-S
dào hè	62-52080-B
dào hé	24-44570-S
dào hù	10-16527-S
dào hù zhì	10-16630-S
dào hǎo chù	25-5161-S
dào jiào	62-51187-B
dào jiào tú	62-51263-B
dào jiè miàn	7-71027-S
dào jié	5-59375-B
dào jiù yuán	4-17558-S
dào jiā	53-32854-S,62-50494-B
dào jiāng	3-42975-S,7-53023-S
dào jiāng qū	3-43066-S,7-53114-S
dào jiǎo	24-12369-S
dào jìn tóu de guāng liàng	66-42628-S
dào jù	62-49791-B
dào jī	60-61396-S
dào jī nèi yà	60-7166-S
dào jī quǎn shēng tiān	1-1662-S
dào kāi	5-61994-B
dào kōng	5-59439-B
dào kǎ sī zú	62-49896-B
dào kǒu	3-55249-S,66-25296-S
dào kǔ shuǐ	5-60392-B
dào le	9-9327-B,45-64980-S
dào lián jiē	55-52403-S
dào liè chē	5-42415-S
dào liè fēi chē	5-42514-S
dào liú	5-58742-B,11-54620-S
dào lái	9-9438-B,17-38441-S
dào lì	5-59521-B
dào lì xiàng	5-59620-B
dào líng	28-33509-S
dào lóng	3-42070-S,45-6748-B
dào lù	62-52123-B
dào lù gōng chéng	62-52169-B
dào lǎo	37-63678-S,44-48490-S
dào lǎo xué dào lǎo	37-63678-S
dào lǐ	29-29425-S,32-40149-S,62-51460-B
dào mào àn rán	62-52002-B
