used in personal name	31-17717-B
used in phonetic spellings	21-12424-S
used in phonetic transcription xine	14-25871-B
used in place names	15-64228-S,16-7311-B,16-7404-B
used in psychology meaning the whole is more than the sum of its parts	33-65584-S,33-66177-S
used in rare japanese place names such as 袮宜町 minorimachi and 袮宜田 minorita	56-52399-B
used in rendering tibetan and mongolian sounds	14-37580-S
used in sacrifice	42-37642-S,52-50057-S
used in shandong place names	17-69373-S
used in speech	42-39546-S
used in speeches	32-60530-S
used in state worship	48-35918-S
used in studying blood	42-62057-S,42-62153-S
used in taiwan	8-21503-S,48-38562-S,51-120-S,60-16486-S
used in titles of news articles	61-59555-S
used in trad chinese medicine	4-4807-S
used in traditional chinese medicine	27-34308-S,33-31149-S,35-1610-S,44-47495-S,52-46758-S,53-49344-S,54-56692-S,55-48219-S,56-18553-S,66-11455-S,71-44126-S
used in traditional phonetics to indicate value of rhyme	68-17732-S
used in transliterating buddhist books	69-56934-B
used in treating asthma	37-14372-S
used in tv or computer monitor	31-32319-S,68-50051-S
used in western classical music	18-5820-S
used instead of reign name by the nationalist government	36-19773-B
used interchangeably with 人才	4-10590-B
used interchangeably with 人材	4-9911-B
used interchangeably with 錄	64-48945-B
used name	30-43477-S
used narrowly for 籀文	17-30240-B
used of christian god	65-34940-S
used of company or school etc	65-31719-S
used of items to be censored	4-67354-S
used of old people	58-55878-B
used of typhoon	44-25246-S
used on a balance	46-15218-S
used on address line after name	29-39787-S
used on coats of arms	47-37016-S
used on dragonboat festival	69-24970-S
used on expedition	23-64013-S
used on letterhead or website	51-62794-S
used on roof of palaces	42-57580-S
used on women s forehead in former times	53-61775-S
used only in mainland china	23-65093-S
used phrase	25-51060-S
used throughout the pre han period	48-41567-S,48-41671-S,48-41752-S
used to	25-50786-B,51-17875-S,51-18382-S
used to administer drugs	71-40432-S
used to advance one s career	16-24770-S
used to aerate granary	36-29732-S
used to be	4-23224-S,23-62124-S
used to beat clothes in washing	34-20755-S
used to belittle sb	3-51262-S
used to certain food	12-26481-S
used to convey basic meaning	46-46497-S
used to define a species	34-58234-S
used to describe the girth of a tree trunk	12-34246-S
used to distinguish it from 劉宋 刘宋 song of southern dynasties 420 479	60-29569-B
used to distinguished two different kinds of bacteria	68-5256-S
used to do formerly	23-62124-S
used to exaggerate certain adjectives	7-70152-S
used to fix photos	71-3337-S
used to gag free speech	41-11022-S
used to halt troops	64-24692-S
used to leaven bread	40-45059-S,44-32624-S,60-16594-S
used to light cigarette etc	49-22683-S
used to manufacture bakelite	63-41615-S,63-41713-S
used to mark night watches	32-8856-S
used to mark time	71-37621-S
used to move animals along	13-26273-S
used to power clockwork	44-30350-S
used to produce high frequency radio waves	62-17241-S
used to produce microwaves	46-35604-S
used to protect troops	21-52683-S
used to reduce fever	46-42203-S
used to represent an unreadable character	55-53645-S
used to restrain and punish criminals in china	33-39709-S
used to separate items in a list	68-32985-S
used to separate western names or words	65-47130-S
used to serve dimsum 點心 点心 such as jiǎozi 餃子 饺子	48-44105-S
used to show rank	55-15046-S
used to something and it seems inevitable	51-18512-S
used to sow discord 成语 saw	58-36899-S
used to sth	62-65245-S
used to treat benign prostate hypertrophy in men	64-39681-S
used to treat high blood pressure	24-32275-S,31-50890-S
used to treat underactive thyroid	43-40871-S
used today	23-2922-S
used together with 難以 难以	4-59984-S
used up	33-38791-B,43-34206-S,43-34668-B
used with negative	54-55949-S
used with negative to conclude	65-29825-B
used with negative to mean totally irrelevant	27-68938-S,27-69095-S
used with negatives	32-17116-S,32-17315-S
useful	15-51019-S,32-36610-B,43-34719-S,48-27125-B,68-19789-B
usefulness	29-62708-B,43-35903-B
useless	1-65809-B,2-19446-B,2-19446-S,2-22668-B,20-10236-B,23-9517-S,30-64868-B,36-16519-B,37-11336-B,40-47265-S,40-47343-S,40-57417-B,47-57979-B,52-6176-B,57-34764-S,60-2178-B,64-27180-S
useless in practice cf zhao kuo 趙括 赵括 leading an army of 400	49-21294-S
useless person	23-8342-B,23-9338-B,47-47026-B
useless remnant	48-62861-S
useless scoundrel	19-15936-B
useless thing	66-9116-S
useless weakling	47-56528-B,52-51463-B
