of 襇 裥	57-10293-S
of 西邊 西边	57-23313-S
of 覈銷 核销	33-63150-S
of 覺 觉	57-37338-S
of 覽 览	57-37497-S
of 觀 观	57-40922-S
of 討底 讨底 to enquire	57-62985-S
of 詞典 词典	61-36483-S
of 認人 认人	58-19883-S
of 認死理 认死理	58-20839-S
of 說 说	58-33913-S
of 說書 说书 storytelling	52-635-S
of 諫 谏	58-43428-S
of 謠 谣	58-58012-S
of 識 识	71-64307-S
of 譯 译	58-4441-S
of 讀 读	58-33980-S
of 變 变	16-39857-S
of 變樣 变样	59-9946-S
of 讓 让	59-4033-S
of 讕 谰	14-44943-S
of 谷歌	47-36764-S
of 豏 馅	59-19398-S
of 豐 丰	59-18639-S
of 豐采 丰采 or 風采 风采	59-20682-S
of 豜	59-24384-S
of 貌	44-58911-S
of 貝殼 贝壳	59-30005-S
of 貳 贰	23-25147-S,23-25393-S
of 賜予 赐予	59-56962-S
of 賣 卖	16-37787-S
of 賴 赖	68-42524-S
of 贊 赞	59-56731-S
of 贊嘆 赞叹	60-3664-S
of 走	60-15262-S
of 走味	60-10611-S
of 起名	60-16350-S
of 趑	60-30661-S
of 跡 迹	60-50389-S
of 蹤跡 踪迹	60-50754-S,60-50812-S
of 蹦	60-50918-S
of 蹦達 蹦达	60-51245-S
of 蹦高	60-51448-S
of 身份	60-55674-S
of 輒 辄	61-13753-S
of 輕 轻	61-5898-S
of 輪胎 轮胎	52-19085-S
of 輻射 辐射	22-33848-S
of 轀 辒	61-19748-S
of 轄 辖	53-32012-S,64-52082-S
of 轉 转	61-4906-S
of 轉軸 转轴	61-28939-S
of 轉鈴 转铃	61-29946-S
of 辭令 辞令	58-9046-S
of 迎頭 迎头	61-46296-S
of 迪	23-20068-S
of 迫	23-20104-S
of 追根究底	61-58694-S
of 逗笑	62-4348-S
of 逗趣兒 逗趣儿	70-29244-S
of 這裡 这里	62-6099-S
of 這邊 这边	62-6247-S
of 這麼 这么	61-49721-S,61-49777-S
of 造	53-38930-S
of 逼	6-19346-S
of 逾	60-48451-S
of 遊 游	26-66235-S
of 遊玩 游玩	62-37095-S
of 過得去 过得去	62-45287-S
of 達 达	62-33498-S
of 遙 遥	63-14216-S
of 遞 递	62-2835-S
of 遲 迟	62-35573-S
of 邊 边	61-42984-S
of 邙	53-49723-S
