wu2 ji4 yu2 shi4	40-56130-B
wu2 jia1 ke3 gui1	40-49938-B
wu2 jia4	40-46746-B
wu2 jia4 zhen1 zhu1	40-46872-B
wu2 jia4 zhi1 bao3	40-46799-B
wu2 jian1	57-38832-S
wu2 jian4	40-63334-B
wu2 jiang4 pai2	40-50085-B
wu2 jin3 you3	49-47105-S
wu2 jin4 ji4	44-55024-S
wu2 jing1	55-16324-B
wu2 jing1 da3 cai3	40-59150-B,40-59265-B
wu2 ju1 wu2 shu4	40-53957-B
wu2 ju4	15-53195-S
wu2 jue2 ren2 zhi1 lu4	17-50257-S
wu2 jun1 de5	40-61135-B
wu2 jun1 xing4	40-61083-B
wu2 kao4	7-69294-S,40-46343-S,40-46578-S
wu2 ke3	40-47697-B
wu2 ke3 fei1 yi4	40-48067-B
wu2 ke3 feng4 gao4	40-47822-B
wu2 ke3 jiu4 yao4	40-47895-B
wu2 ke3 nai4 he2	40-47734-B
wu2 ke3 ren3	24-43266-S
wu2 ke3 zhi4 yi2	40-47984-B
wu2 kong3 bu4 zuan1	40-49606-B
wu2 kui4	13-62847-S,28-7229-S,40-52527-B,43-65252-S
wu2 lai2 zhe3	9-21785-S
wu2 lai4	40-59108-B,40-62222-B
wu2 lan4	20-19187-S
wu2 lei4	32-34243-S
wu2 lei4 fa3	32-34321-S
wu2 li3	40-56946-B,40-58373-B
wu2 li3 qu3 nao4	40-57001-B
wu2 li4	40-47207-B
wu2 li4 zhui1	59-35994-S
wu2 li4 zhui1 zhi1 di4	59-36120-S
wu2 lian2 jie1	40-62643-B
wu2 liang4	9-48776-S
wu2 liao2	40-60592-B
wu2 liao2 lai4	44-55141-S
wu2 lu4	60-11844-S
wu2 lu4 ke3 zou3	40-62269-B
wu2 lu:4	40-52604-S
wu2 lun2 ci4	58-26363-S
wu2 lun4	40-61803-B
wu2 lun4 he2 chu4	40-62076-B
wu2 lun4 he2 ren2	40-61953-B
wu2 lun4 he2 shi2	40-62014-B
wu2 lun4 he2 shi4	40-61882-B
wu2 lun4 ru2 he2	40-62147-B
wu2 mao2	40-55761-B
wu2 mi3 zhi1 chui1	21-60253-S
wu2 ming2	40-48134-B
wu2 ming2 xiao3 zu2	40-48184-B
wu2 ming2 ying1 xiong2	40-48544-B
wu2 ming2 zhan4 shi4 mu4	40-48296-B
wu2 ming2 zhan4 si3	40-48390-B
wu2 ming2 zhi3	40-48488-B
wu2 nai4	40-49445-B
wu2 neng2	23-3934-S,40-60703-B
wu2 neng2 wei2 li4	40-60766-B
wu2 nong2 yao4	40-62544-B
wu2 pang2 dai4	59-40996-S
wu2 piao3 miao3	55-53401-S
wu2 pin3	40-48666-B
wu2 qi1 tu2 xing2	40-54606-B
wu2 qi2	22-43165-S
wu2 qi2 bu4 you3	40-49341-B
wu2 qi2 ci2	29-37873-S
wu2 qi2 shi4	53-66451-S
wu2 qian2 li4	12-21950-S
wu2 qing2	8-23656-S,11-52620-S,40-52113-B,61-30250-S
wu2 qing2 wu2 yi4	40-52184-B
wu2 qiong2	8-4202-S,40-58653-B
wu2 qiong2 xiao3	40-58719-B
wu2 qiong2 yuan3 dian3	40-58810-B
wu2 qu3 sheng4 xi1 wang4 zhe3	40-47561-B
wu2 quan2	40-55548-B
wu2 quan2 niu2	45-17560-S
wu2 quan3 zi3	55-47627-S
wu2 que1	19-38287-S,40-60440-B
wu2 ren2	40-46068-B,45-16023-S
wu2 ren2 dao4	25-47875-S
wu2 ren2 jia4 shi3	40-46185-B
wu2 ren2 qu1	40-46121-B
wu2 ren2 yan1	33-26608-S,39-7372-S,54-18048-S
wu2 rong2 zhi4 yi2	40-50000-B
wu2 ruo4 bing1	23-43572-S
wu2 se4	40-60995-B
wu2 shang4	40-45887-B,53-18696-S
wu2 shen2 lun4	40-58258-B
wu2 shen2 lun4 zhe3	40-58310-B
wu2 sheng1	25-6187-S,40-60640-B,70-53951-S
wu2 sheng1 ming4	40-57212-B
wu2 shi2	32-31208-S
wu2 shi4	40-45929-B,40-61471-B,45-27907-S,54-40514-S
wu2 shi4 chu4	1-14500-S
wu2 shi4 sheng1 fei1	40-45983-B
wu2 shu2 shou3	41-15665-S
wu2 shu4	2-4492-S,40-53957-S,40-54465-B
wu2 shuang1	43-65101-S
wu2 shuang1 qi1	40-64113-B
wu2 si1	17-6657-S,40-58416-B
wu2 suo3 bu4 bao1	40-52854-B
wu2 suo3 bu4 mai4	40-53365-B
wu2 suo3 bu4 neng2	40-53300-B
wu2 suo3 bu4 wei2	40-53009-B
wu2 suo3 bu4 yong4 qi2 ji2	40-53106-B
wu2 suo3 bu4 zai4	40-52944-B
wu2 suo3 bu4 zhi1	40-53236-B
wu2 suo3 shi4 cong2	40-53763-B
wu2 suo3 shi4 shi4	40-53454-B
wu2 suo3 wei4	40-53688-B
wu2 suo3 wen2	1-14325-S
wu2 suo3 yong4 xin1	69-8637-S
wu2 suo3 you3	1-14127-S
wu2 suo3 zhang3	1-14389-S
wu2 suo3 zhi1	1-14213-S
wu2 suo3 zuo4 wei2	40-53583-B
wu2 tang2	40-59363-B
wu2 ti2	40-64353-B
wu2 tian1	40-56070-S
wu2 tian1 ri4	31-62024-S
wu2 tiao2 jian4 tou2 xiang2	40-54871-B
wu2 tong2	34-15430-B
wu2 tong2 ke1	34-15599-B
wu2 tong2 mu4	34-15512-B
wu2 wan2 fu1	70-8275-S
wu2 wang3 ge2 fa3	40-59490-B
wu2 wei1 bu4 zhi4	40-51264-B
wu2 wei2	40-56204-B
wu2 wei2 xian4	40-56377-B
wu2 wei3 xiong2	40-50156-B
wu2 wei3 yuan2	40-50207-B
wu2 wei4	17-26742-S,40-48615-B
wu2 wen2	71-37209-S
wu2 wo3	40-52785-B
wu2 wu4	40-61752-B
wu2 xia2	39-57326-S,40-54530-B,40-57162-B,44-38150-S
wu2 xia2 gui3	31-10238-S
wu2 xia4	40-47008-S
wu2 xian4	10-59078-S,40-59598-B,40-63616-B,55-3229-S
wu2 xian4 dian4	40-59712-B
wu2 xian4 dian4 bo1	40-59975-B
wu2 xian4 dian4 hua4	40-60065-B
wu2 xian4 dian4 jie1 shou1 ji1	40-59766-B
wu2 xian4 dian4 shou1 fa1 ji1	40-59861-B
wu2 xian4 feng1 guang1 zai4 xian3 feng1	40-63881-B
wu2 xian4 qi1	40-63812-B
wu2 xian4 wang3 lu4	40-59640-B
wu2 xian4 xiao3	40-63736-B
wu2 xian4 zhi4	40-63669-B
wu2 xiao3	40-49224-S
wu2 xiao3 bu3	2-18131-S
wu2 xiao4	40-54336-B
wu2 xiao4 dan4	41-34619-S
wu2 xie2	40-62897-B
wu2 xie4 ke3 ji1	40-52668-B
wu2 xin1	32-30707-S
wu2 xing2	40-50723-B
wu2 xing2 mao4 yi4	40-50885-B
wu2 xing2 shu1 chu1	40-50958-B
wu2 xing2 zhong1	40-50815-B
wu2 xing4	40-51467-B
wu2 xing4 fan2 zhi2	40-51523-B
wu2 xu1	40-64073-B,40-64226-B
wu2 xu4	40-50407-B
wu2 xun4 se4	36-16661-S
wu2 ya2	19-18458-S
wu2 yan1	40-56451-B
wu2 yan1 mei2	40-56571-B
wu2 yan1 tan4	40-56513-B
wu2 yan4	58-18561-S,59-39167-S,59-39437-S
wu2 yang3	40-55802-B
wu2 yang4	19-30831-S,40-51883-B
wu2 ye4 xian2 san3	40-55088-B
wu2 ye4 you2 min2	40-55024-B
wu2 yi1 shi1	44-54922-S,54-46354-S
wu2 yi1 wu2 kao4	40-46343-B
wu2 yi2	1-20639-S,40-57568-B,58-17145-S
wu2 yi2 wen4	36-16582-S
wu2 yi3	58-18644-S
wu2 yi3 wu2 kao4	40-46578-B
wu2 yi4	32-31696-S,40-52184-S,40-52417-B,40-57468-B,40-58096-B,59-39742-S
wu2 yi4 shi2	40-52471-B
wu2 yin2	40-49177-B
wu2 yin2 san1 bai3 liang3	35-41079-S
wu2 ying3 wu2 zong1	40-51030-B
wu2 ying3 zong1	1-4070-S
wu2 yong1	36-3332-B
wu2 yong4	40-57417-B
wu2 yong4 chu4	36-16519-S
wu2 you1 wu2 lu:4	40-52604-B
wu2 yuan2	19-13391-S,40-54041-B,40-60156-B
wu2 yuan2 ze2	40-47505-B
wu2 yuan4 wu2 hui3	40-51599-B
wu2 zang4 shen1 zhi1 di4	35-58424-S
wu2 zhan4	32-32359-S
wu2 zhang1	67-3692-S
wu2 zhao4 jing1 ying2	40-56625-B
wu2 zhe5	31-4329-B
wu2 zhen1 zhu4 she4 qi4	40-63041-B
wu2 zheng1 bu4 xin4	40-51364-B
wu2 zheng1 yi4	40-56711-B
wu2 zheng4 fu3 zhu3 yi4	40-54206-B
wu2 zhi1	25-31755-S,40-58163-B
wu2 zhi1 jue2	40-58205-B
wu2 zhi3 hua4 ban4 gong1	40-59407-B
wu2 zhi3 jing4	36-52104-S
wu2 zhi4 xu4	40-58480-B
wu2 zhu3	7-68796-S
wu2 zhu3 yi4	55-53340-S
wu2 zhu4	40-47265-B
wu2 zhu4 gan3	40-47343-B,51-18180-S
wu2 zi4 bei1	40-49737-B
wu2 zong1	5-17278-S,40-51030-S
wu2 zu3	62-12666-S,68-58576-S
wu2 zu3 zhi1	45-17900-S
wu2 zui4	40-60478-B
wu2 zuo4 zuo5	40-46667-B
wu3	1-29360-S,1-31594-S,1-46679-S,1-58664-S,1-67151-S,2-43701-S,2-51476-S,3-32094-S,3-33756-S,3-39696-S,3-46749-B,3-71670-S,4-34796-S,4-41145-B,4-52755-B,4-65060-S,5-26050-B,5-48225-S,6-26437-S,7-23964-S,7-48581-S,7-48676-S,7-66360-S,9-42373-S,9-66363-S,10-43630-S,10-53920-B,13-62421-B,15-10292-S,16-36405-S,18-47395-S,18-60261-B,20-17844-S,22-13738-S,22-42358-S,22-62123-S,23-8258-B,23-58547-S,24-47306-B,25-57187-B,26-5083-S,26-10421-S,26-37237-S,27-10677-S,27-21018-S,28-1914-B,28-50385-S,28-53967-S,28-62923-B,30-28912-S,31-327-S,31-30138-S,31-44191-S,32-67045-S,33-58498-S,35-530-B,35-23307-S,35-26394-S,35-32128-S,35-34275-S,35-43569-B,37-61183-S,38-63670-S,39-46201-S,39-57674-B,40-3572-S,41-41020-S,42-888-B,42-6325-S,42-27749-S,42-48503-B,42-49197-S,43-12924-B,43-39398-S,43-54364-S,45-36947-S,46-28955-B,46-47083-S,47-65334-S,48-11774-S,48-12624-S,50-21100-S,52-8922-S,52-27625-S,52-58705-S,53-32053-B,53-32399-S,53-32641-S,53-53949-S,54-22253-S,54-59553-S,55-47388-S,60-45151-S,60-45701-S,60-47807-S,60-47858-S,61-49690-B,61-61494-S,62-26726-S,62-57163-S,63-19896-S,63-55641-S,63-56737-S,63-59624-S,64-40946-S,65-15927-S,66-38329-S,67-52247-S,68-49562-S,68-64673-S,69-31711-S,70-57021-B,71-2437-S,71-48729-S,71-62708-S
wu3 Zhan4 zheng1	43-39472-S
wu3 ba4	31-34409-S
wu3 bai3 guan1	30-28963-S
wu3 bai3 wan4	3-52051-B
wu3 bi3	3-52342-B
wu3 bi3 bian1 ma3	3-52694-B
wu3 bi3 shu1 ru4 fa3	3-52764-B
wu3 bi3 zi4 xing2	3-52408-B,3-52529-B
wu3 bi4	23-65532-S,41-32006-S,53-32512-B
wu3 bian1 xing2	3-55325-B,35-33646-S
wu3 bu4	53-32697-B
wu3 bu4 qu1	18-47444-S
wu3 cai3 bin1 fen1	3-50545-B
wu3 can1	10-54242-B
wu3 can1 hui4	10-54289-B
wu3 chang2	1-39604-S,3-50070-B
wu3 chu4	60-65079-S
wu3 ci4	1-38143-S
wu3 da3	35-46868-B
wu3 da3 pian1	35-46944-B
wu3 da4	10-43738-S
wu3 dai4	3-46822-B,48-11811-S
wu3 dai4 shi2 guo2	3-46892-B
wu3 dao3	36-21580-S,53-32816-B
wu3 dao4 jia1	53-32854-B
wu3 dao4 zheng4	33-12694-S
wu3 deng1 hui4 yuan2	3-51597-B
wu3 di4	1-38373-S,3-49838-B,19-35889-S
wu3 di4 Liu2 yu4	19-35960-S
wu3 du4	3-50402-B
wu3 fan4	10-54204-B
wu3 fen1 Mei3 jin1	3-47478-B
wu3 fen1 shu2	3-47397-B
wu3 fen1 zhi1 yi1	3-47334-B
wu3 fen1 zhong1	62-43235-S
wu3 ge4 xian4 dai4 hua4	48-11870-S
wu3 gong1	35-44408-B
wu3 gu3	3-52290-B
wu3 guan1	3-48904-B,35-45926-B
wu3 guang1 shi2 se4	3-47090-B
wu3 gui3	3-55948-B
wu3 hao4	3-51011-S,3-54421-B
wu3 hao4 dian4 chi2	3-54484-B
wu3 he4 liu4	12-30721-S
wu3 hou2 ci2	35-43849-B
wu3 hou4	10-54108-B,41-52276-S
wu3 hu2 shi2 liu4 guo2	3-53358-B
wu3 hu2 si4 hai3	3-51501-B
wu3 hua1 ba1 men2	3-53751-B
wu3 hua1 da4 bang3	3-53837-B
wu3 hua1 rou4	3-53933-B
wu3 hua1 yan1 zhu1 rou4	3-53989-B
wu3 huan2	3-51706-B
wu3 huan2 lu4	3-51763-B
wu3 hui4	10-21072-S,53-32592-B
wu3 hui4 wu3	53-32641-B
wu3 ji2	3-52851-B
wu3 ji4	9-19644-S,20-9526-S,53-32224-B
wu3 jiang4	35-46264-B,58-51543-S
wu3 jiao3	3-54739-B
wu3 jiao3 da4 lou2	3-54781-B
wu3 jiao3 da4 lou2 guan1 yuan2	3-54848-B
wu3 jiao3 xing1	3-54998-B
wu3 jiao3 xing2	3-54944-B
wu3 jiao4	10-54150-B,45-54763-S
wu3 jie2	47-65421-S
wu3 jin1	3-55379-B
wu3 jin1 dian4	3-55465-B
wu3 jing1	29-2440-S
wu3 jing3	35-48964-B
wu3 jing3 bu4 dui4	35-49010-B
wu3 ju3	35-43680-B
wu3 ju4	53-32104-B
wu3 jun1 ren2	61-61549-S
