xian4 qu1	38-45605-S
xian4 qu1 lu:4	39-3723-S
xian4 quan1	25-41892-S,50-14957-S,50-16363-B,50-24215-S
xian4 quan1 ban1	50-16437-B
xian4 qun2	32-41255-S
xian4 r5	67-48372-S,69-17939-B
xian4 r5 bing3	69-17996-B
xian4 ran3 se4 ti3	16-63042-S
xian4 ren2	42-251-S
xian4 ren4	42-49406-B
xian4 ru4	66-32033-B
xian4 shang4	42-26012-B,50-16248-B
xian4 shang4 cha2 xun2	50-16291-B
xian4 she4 ying3	2-68393-S,53-2223-S
xian4 shen1	42-26355-B,42-50986-B
xian4 shen1 xun4 zhi2	42-26465-B
xian4 sheng2	50-17437-B
