man kou ying cheng	39-35891-B
man kou zang hua	39-36308-B
man kou zhi hu zhe ye	39-35763-B
man lei	39-37569-B
man lei ji	25-50158-B
man li	56-22965-B
man lian sheng hua	39-40872-B
man ling yu	54-15163-S
man luo he ding li	71-27320-S
man ma	39-53113-B,58-59398-B
man man	25-49745-B,65-12716-S
man man chang ye	39-52859-B
man man chi	25-49785-B
man man dang dang	39-39701-B
man man deng deng	39-39786-B
man man tun tun	25-49859-B
man men	39-41525-B
man men chao zhan	39-41575-B
man mian	24-52432-S,31-36434-S,39-41686-B,71-27428-S
man mian chun feng	39-41770-B
man mu	39-40231-B,42-58917-S,44-18392-S
man ni nuo fu	27-25835-S
man ni ya	16-17356-S
man ning	39-38827-B
man pan	39-40126-B
man pao	25-50503-B
man qi	18-2443-S,39-39141-B
man qiang	39-40366-B
man qiang re chen	39-40439-B
man qu	59-21019-S
man qu mian	71-27242-S
man qun dao	19-33467-S
man ren	15-30822-S,22-18549-S,58-49246-S,64-4417-S
man shan bian ye	39-37941-B,39-52589-B
man shen	39-41260-B
man shen chen ai	39-41311-B
man sheng zhi wu	55-10649-B
man shi	39-38196-B,50-59078-S,50-59184-S
man shi jie	39-35405-B
man shou	39-38660-B
man shuo	25-50349-B,39-53154-B
man si	50-59260-S
man si tan	15-30892-S
man suan	39-38702-S
man tang	39-37149-B
man tang cai	39-37240-B
man tang guan	39-37372-B
man tang hong	39-37464-B
man teng teng	25-50711-B
man tian	39-37629-B,39-52210-B
man tian bian di	39-52309-B
man tian bian ye	39-52449-B
man tian fan xing	39-37673-B
man tian fei	39-37745-B
man tian xia	12-56930-S
man tiao si li	25-49923-B
man tou	69-19339-B
man tou da han	39-41859-B
man tun tun	25-48953-B,25-49859-S
man tuo luo	32-15232-B
man tūn tūn	25-49859-S
man xi wang de ba she bi dao da mu di di geng neng gei ren le qu	6-65579-S
man xiao	39-37830-B
man xin	39-38329-B
man xing	25-49293-B,25-50245-B
man xing bing	25-49592-B
man xing dao	25-50294-B
man xing ji bing	25-49483-B
man xing yun	40-16698-S
man xing zi	25-49403-B
man yan	5-15517-S,39-40299-B,55-10500-B,61-44485-S
man yan quan guo	55-10553-B
man yi	2-17654-S,5-14238-S,39-38411-B,39-39646-B,56-23009-B
man ying	25-23777-S,39-40084-B
man you	39-53233-B
man you qi jing ji	25-38510-S
man you you	25-49691-B
man yu	23-40480-S,31-11580-S,70-46924-B
man yu pian jian	6-32733-S
man yu zu	50-59397-S
man yuan	15-60883-B,39-36403-B
man yuan chun se	39-36527-B
man yue	39-38947-B
man yue ju	55-10851-B,55-10904-B
man zai	39-41373-B
man zai er gui	39-41436-B
man zheng	57-55397-S
man zhi	60-53133-S
man zhu yi	38-11749-S
man zi	22-34123-B,56-23089-B
man zou	25-50428-B
man zu	39-41194-B
man zu zi zhi xian	10-36108-S,21-36845-S,30-56738-S
man zui	39-36483-B
man zuo	39-38266-B
man zuo ji ran	39-36618-B
man1	68-48627-B
man2	1-29215-S,7-52149-S,15-60670-B,34-47023-B,35-23458-S,45-20225-S,45-59069-B,55-10411-B,55-33241-S,56-22898-B,58-59320-B,64-4363-S,66-48735-S,69-19303-B,70-28065-B,70-46876-B
man2 chan2	56-23431-B
man2 di3	56-23564-B
man2 gan4	56-23177-B
man2 han4	56-23305-B
man2 heng4	56-23375-B
man2 huang1	56-23495-B
man2 jing5	55-10798-B
man2 li4	56-22965-B
man2 ren2	64-4417-S
man2 tou5	69-19339-B
man2 yi2	56-23009-B
man2 yu2	70-46924-B
man2 yuan4	15-60883-B
man2 zheng1	57-55397-S
man2 zi5	56-23089-B
man3	2-17708-S,6-65502-S,8-64644-S,9-48649-S,15-24129-S,16-6496-S,16-21958-S,20-66992-S,21-19476-S,21-23189-B,29-8282-S,29-25342-S,29-30288-S,32-51384-S,39-15460-B,39-18611-S,39-35164-B,39-54127-S,40-18480-S,41-34425-S,51-7864-S,51-16271-S,53-8595-S,56-13041-B,57-0-S,57-1754-S,59-20875-S,59-20944-S,63-54581-S,65-17277-S,65-38581-S,69-7831-S
man3 bu4 zai4 hu5	39-35230-B
man3 cheng2 feng1 yu3	39-36991-B
man3 chong3	56-16863-B
man3 da3 man3 suan4	39-38702-B
man3 dang1 dang1	39-39701-S,39-39932-B
man3 deng1 deng1	39-39786-S,39-40006-B
man3 dian3	39-42022-B
man3 du1	9-55511-S
man3 duo4	39-40965-B
man3 e2	39-41954-B
man3 fan1	39-38121-B
