to [+ dat] lie in wait for, plot against.	27-4198-B
to [+ dat] persist in, urge.	27-4249-B
to [+ gen] give thanks for.	27-4286-B
to [+ inf] to long to.	27-4325-B
to [+ ne] shudder at, be horrified at.	27-4355-B
to [+ negative] care nothing for.	27-4401-B
to [-egi, -actus] put down, conquer, compel.	27-4472-B
to [crines] to cut hair.	27-4440-B
to [in adiutorium] to ones assistance, succor.	30-1226-S
to [stealthily] approach, submit to.	27-4524-B
to a bedroom.	21-658-S
to a boil, become hot.	30-1290-S
to a camp, military/ disciplined, orderly.	21-695-S
to a cause.	35-6447-S
to a certain extent.	27-4567-B
to a charge, enter in an account, impute to.	34-439-S
to a conclusion.	34-3584-S
to a condition, lessen.	29-4074-S
to a fortress, castellan.	22-6220-S
to a greater extent, rather, for preference.	18-6265-S
to a heap, accumulate, amass.	27-5468-S
to a higher tribunal / ecc. apostle.	2-2862-S
to a household / friendly, intimate.	6-5924-S
to a journey , a journey /money, prize-money.	21-760-S
to a master or mistress.	22-6267-S
to a standstill, keep at, hesitate.	28-4159-S
to a store-room /n. cellarer.	4-5511-S
to a thing being done / cure, rest.	1-2889-S
to abandon, defraud.	27-4600-B
to abandon, foresake.	27-4630-B
to abase.	27-4659-B
to abhor, hate, detest, abominate.	27-4677-B
to abide by strictly, continue steadfastly, continue.	38-3661-S
to abide, be left behind, sit up.	27-4721-B
to abide.	27-4763-B
to abound in.	27-4782-B
to absent oneself from.	1-295-S
to abuse, tread down, tread under foot.	27-4804-B
to abuse.	34-5122-S
to accompany.	27-4853-B
to accomplish, perfect, complete, achieve, effect.	27-4874-B
to accost.	27-4934-B
to accuse / complain of.	27-4956-B
to accuse falsely.	27-4990-B
to accuse, blame, find fault with.	27-5019-B,27-5061-B
to accustom oneself.	2-9405-S
to accustom, acclimate, become used to.	27-5103-B
to accustom, inure, habituate.	27-5155-B
to accustom, to accustom oneself.	2-9405-S
to acknowledge, confess / offer, promise.	27-5196-B
to acquire, arrive at, reach.	27-5248-B
to acquire, gain, get, obtain.	27-5288-B
to act a part.	27-5327-B
to act as a support.	27-5356-B
to act foolishly, play the fool, make an ass of one's self.	27-5386-B
to act.	27-5454-B
to action.	38-7593-S
to add something.	28-365-S
to add to a heap, accumulate, amass.	27-5468-B
to add together, sum up, make perfect, complete.	27-5514-B
to add, to turn towards, move towards, suggest.	27-5572-B
to add.	27-5628-B
to address, encourage.	27-5646-B
to address, encouragement.	27-5678-B
to adhere to, begin to cling to.	27-5715-B
to adhere, stick together.	27-5769-B
to adhere.	27-5829-B
to adjust, [+ abl.] settle.	27-5848-B
to adjust, adapt, accommodate oneself.	27-5884-B
to administer.	27-5933-B
to admire, contemplate, observe, look upon.	27-5956-B
to admit, receive.	27-6008-B
to adopt the monastic life.	38-5798-S
to adornment.	27-6035-B
to advance, go forward, appear, go forth, sally forth.	27-6057-B
to advance, march on, go, leave.	27-6119-B
to affect deeply.	27-6155-B
