jí dù	18-58496-B,34-34834-B
jí dōng	34-35167-B
jí dǎo	29-19130-B
jí fú kùn	59-56501-S
jí fú tú	1-28294-S
jí fā	1-20769-S
jí fāng chéng shì	1-17340-S
jí fēn huà	7-46245-S
jí fēng	7-52421-S,44-7614-B
jí fēng jìng cǎo	44-7683-B
jí fēng zhī jìng cǎo	44-7881-B
jí fēng ér shì	11-42837-B
jí guàn	48-43607-B
jí guān yuán	70-19734-S
jí guāng	34-34196-B
jí guǎn	1-35862-S,3-36537-S,7-6786-S,40-4336-S,44-26595-S,66-58703-B
jí guǎn lǐ	35-12100-S
jí gé	1-74820-S,11-42530-B
jí gé mìng	59-52967-S
jí gòng zhèn	33-56385-S
jí gōng	7-52246-S
jí gōng jìn lì	24-57735-B
jí gōng zī zhì	7-52325-S
jí gǔ	52-31347-B
jí huà	6-12805-S,16-58958-S,34-34359-B
jí huàn	24-38428-S
jí huì	66-58379-B,71-44971-S
jí huì yì	63-23708-S
jí huí zú zì zhì zhōu	31-20320-S
jí huǒ liǎo	24-32657-S
jí hé	1-9696-S,66-57004-B,71-42727-S
jí hé dé	16-2153-S
jí hé lùn	66-57066-B
jí hé tǐ	66-57127-B
jí hé wǔ qì	10-48480-S,44-57070-S
jí hē dé	16-2433-S
jí hū	17-31308-S
jí hǎo	34-34729-B
jí jiàn	17-59293-S
jí jié	66-58921-B
jí jiù	24-58936-B
jí jiù zhàn	24-58998-B
jí jiā	50-21727-S
jí jiāng	11-24429-B
jí jiāng lái lín	11-24514-B
jí jiǎo	34-35940-B
jí jiǔ diàn	3-50881-S
jí jì	8-37584-S
jí jìng	6-12958-S,34-35027-B
jí jí zhèn	66-60185-B
jí jù	24-57691-B,49-23954-B,66-59104-B
jí jī	11-42687-B
jí jū	66-57608-B
jí jūn guān	70-20052-S
jí jǐn	66-60066-B
jí kè	11-24155-B,16-16418-S
jí kè rén	16-16490-S
jí kè sī tǎn	16-16557-S
jí kè zú	16-16630-S
jí kān	66-56925-B
jí kě	11-24216-B
jí kǔ	44-7430-B
jí le	34-20697-S,34-34094-B
jí liàn jiē	60-22820-S
jí liào	66-58288-B
jí liè	12-39077-B
jí liú	24-59395-B
jí liǎo	25-13727-S,47-23525-S
jí luàn tóu yī	44-9959-S
jí là	34-36144-B
jí là de là jiāo jiàng	34-36186-B
jí láo gōng	16-49910-S
jí lè	12-39175-B
jí lè shì jiè	34-35223-B,57-18052-S
jí lì	2-519-S,12-39116-B,34-34290-B
jí lì hǎi xiá	54-1782-S
jí lì yà	66-7661-S
jí lín	12-40707-B
jí lín dà xué	12-40781-B
jí lín shì	12-40851-B
jí lín shěng	12-40969-B
jí lóng	12-41896-B
jí lóng pō	12-41957-B
jí lù	37-52863-S
jí lā tè bāng	12-1262-S
jí lā yī	54-9230-S
jí lǒng	66-58111-B
jí lǜ guāng jìng	6-12872-S
jí miè dào	54-303-S
jí mào	66-59550-B
jí máng	24-58293-B
jí mò	11-24260-B
jí mò shì	11-24339-B
jí mù nǎi	12-40491-B
jí mù sà ěr	12-40565-B
jí mù yuǎn wàng	34-35617-B
jí niǎo	25-33955-S
jí nà	66-58860-B
jí nán	34-34450-B
jí ní sī	12-39836-B
jí ní yà	5-3377-S,57-17179-S
jí ní yà zhōu	23-31556-S,57-17254-S
jí níng	66-57538-B
jí pài	24-59355-B
jí pí dòng wù	34-22346-B
jí pò	24-60202-B
jí pāi pāi	24-58868-B
jí pǔ	12-40180-B
jí pǔ chē	12-40444-B
jí pǔ sài rén	12-40385-B
jí pǔ sāi rén	12-40216-B
jí pǔ sī kuā	12-40310-B
jí qiáng guó	60-22407-S
jí qiè	24-57582-B
jí quán	2-66421-S,2-67883-S,7-51904-S,17-59600-S,66-58585-B
jí quán zhǔ yì	34-35329-B
jí quān	10-32580-S
jí qì	50-21605-S
jí qí	11-42332-B,34-34249-B
jí qún	66-59032-B
jí qīng tài zōng	44-60559-S
