san jiao zhou	1-42367-B,4-50102-S,29-14233-S,39-8829-S,42-45024-S,65-16311-S
san jiao zhu ti	1-42222-B
san jiao zhui	1-42665-B
san jiao zuo	1-41852-B,10-65769-S
san jie yi	34-2797-S
san jin	30-9434-B
san jing	10-42232-S
san jing yi	13-10784-S
san jiu tian	1-29671-B
san ju	30-7772-B
san ju qing suan na	3-38651-S
san jun	1-42972-B,6-28087-B,66-33600-S
san kai	30-10030-B
san lang	17-24535-S,27-51112-S
san leng jing	1-38844-B
san lian guan	1-39898-B
san lian shu dian	1-39820-B
san lin suan	52-45563-S
san lin suan xian gan	1-38747-B
san ling	31-22362-S
san lu: hua lin	1-36796-B
san lu: hua tie	1-36874-B
san lu: yang lin	1-37089-B
san lu: yi wan	1-37020-B
san lu: yi xi	1-36950-B
san lu:e	7-69782-S
san luan	30-6825-B
san lun che	1-43029-B
san lun che fu	1-43090-B
san luo	30-9587-B
san man	30-9111-B
san mei	1-35559-B
san men	30-8040-B
san min zhu yi	1-36440-B
san ming zhi	1-35313-B
san mu si	32-47262-S
san na	13-23061-S
san nian	1-34380-B
san qi er shi yi	2-24028-S
san qu	30-8514-B
san quan fen li	1-35941-B
san re	30-9170-B
san re pian	30-9326-B
san re qi	30-9217-B
san ren cheng hu	1-29980-B
san ri	10-42163-S
san se	1-40018-B
san se jin	1-40063-B
san se zi luo lan	1-40112-B
san sha	30-9022-B
san she	11-50059-S,30-7728-B,33-58073-S,61-19098-S,61-62965-S
san sheng	48-10492-S
san shi	1-29611-B,1-31259-B,8-53661-S,11-41420-B,30-7631-B,48-9926-S
san shi ba	1-31774-B
san shi er	1-31537-B
san shi hao	1-28164-S
san shi jie	48-9745-S
san shi jiu	1-31478-B
san shi liu	1-31833-B
san shi liu zi mu	1-31891-B
san shi nian lai	1-32122-B
san shi qi	1-31359-B
san shi san	1-31418-B
san shi si	1-32007-B
san shi tian	1-32065-B
san shi wu	1-31594-B
san shi wu yi	1-31652-B
san shi yi	1-31302-B,1-31717-B
san shi zi liao jie mian	7-12360-S
san shu	30-8650-B,49-6803-S
san shu xue	67-10093-S
san shui	30-8944-B
san si er hou xing	1-34661-B
san sui	30-9499-B
san suo jin she	1-39378-B
san tan zi	30-8349-B
san ti	30-10087-B
san ti wen ti	1-44714-B
san tian	1-33307-B
san tian liang tou	1-33352-B
san tiao	57-12652-S
san tong	1-43283-B
san tou ji	52-14040-S
san wan	1-40305-B
san wan qi qian	1-40350-B
san wang	30-6877-B
san wang luo	40-5102-S
san wei	1-39466-B,48-9871-S
san wei bo shi	1-30402-B
san wei kong jian	1-39520-B
san wen	30-8414-B
san wen shi	30-8459-B
san wen yu	1-34952-B
san wo si	27-64128-S
san wu liao	70-26286-S
san wù liào	70-26286-S
san xi	30-8107-B,30-9662-B
san xia	1-34134-B,65-16239-S
san xia ba	1-33918-B
san xia ku	1-33982-B
san xia shui ku	1-34052-B
san xia si	4-66995-S
san xian	1-34426-B
san xiang	1-44160-B,65-2232-S
san xiang quan neng	1-44247-B
san xiang shi	1-44316-B
san xiao ji jia ben	1-38659-B
san xin	30-7968-B
san xin er yi	1-34599-B
san xing	1-35367-B,67-10036-S
san xue	30-7681-B
san xue she	3-17609-S
san xun jiu shi	1-35002-B
san yan	1-11876-S
san ye cao	1-40490-B
san ye chong	1-40548-B
san yi	30-9988-B
san yi jiao	1-33485-B
san yin	1-44103-B
san yong biao	1-38018-B
san yue	1-35727-B
san yue er shi yi hao	1-35778-B
san zhang	40-20102-S,49-5886-S
san zhe	1-13726-S
san zhi	30-9545-B
san zhu yi	8-53717-S
san zhuan	31-34293-S
san zhuang	30-9711-B
san zuo er	30-7882-B
san1	1-29481-B,1-31418-S,3-33444-S,8-3314-S,8-8188-S,10-42118-S,11-41362-B,14-46984-S,17-4156-S,19-23173-S,23-25195-B,28-25012-S,31-30033-S,32-66928-S,36-17390-B,44-21243-S,48-9694-S,48-12466-S,62-26641-S,64-12187-S,70-27984-B
san1 Bo2 shi4	33-19070-S
san1 ba1	1-30903-B
san1 ba1 xian4	1-30982-B
san1 ba3 huo3	30-46964-S
san1 bai3 liang3	35-41079-S
san1 bai3 yi4	1-38319-B
san1 bao3	1-33773-B
san1 bei4	1-30820-B
san1 bian1 xing2	1-43329-B
san1 bu4	1-29511-B
san1 bu4 qu3	1-43384-B
san1 bu4 si4	1-65506-S
san1 bu4 zhao2 liang3	54-53388-S
san1 bu4 zhi1	1-4844-S
san1 cha1 ji3	1-32276-B
san1 cha1 shen2 jing1	1-32327-B
san1 cha4 kou3	1-33856-B
san1 chan3 ye4	48-10180-S
san1 chang2 liang3 duan3	1-43677-B
san1 chi3	15-55030-S
san1 chong2	1-43565-B
san1 chong2 zou4	1-43607-B
san1 chun2	2-43558-S,66-61029-S
san1 ci4	1-36017-B,48-10121-S
san1 ci4 fang1	1-36148-B,65-29737-S
san1 ci4 fang1 cheng2	1-36210-B
san1 ci4 mi4	1-36088-B
san1 ci4 qu1 xian4	1-36290-B
san1 cong2 si4 de2	1-34468-B
san1 da4 jia1	3-24073-S
san1 dai4	1-30112-B,48-9811-S
