司令部 司令部	12-23878-B
吊鉤 吊钩	12-44814-B
吊銷 吊销	12-44876-B
吊鋪 吊铺	12-44947-B
吊钩	12-44814-S
吊铺	12-44947-S
吊销	12-44876-S
吊門 吊门	12-44990-B
吊门	12-44990-S
吊頸 吊颈	12-45068-B
吊颈	12-45068-S
吋	12-45119-S
吋 吋	12-45119-B
同	12-45156-S
同 同	12-45156-B
同一	12-45217-S
同一 同一	12-45217-B
同上	12-45269-S
同上 同上	12-45269-B
同业公会	12-48644-S
同义	12-50761-S
同义反复	12-50802-S
同义字	12-50866-S
同义词	12-50917-S
同义语	12-50968-S
同乡亲故	12-52308-S
同事	12-45325-S
同事 同事	12-45325-B
同仁	12-45379-S
同仁 同仁	12-45379-B
同仁堂	12-45444-S
同仁堂 同仁堂	12-45444-B
同伙	12-45504-S
同伙 同伙	12-45504-B
同伴	12-45563-S
同伴 同伴	12-45563-B
同位	12-45622-S
同位 同位	12-45622-B
同位素	12-45660-S
同位素 同位素	12-45660-B
同位素分离	12-45712-S
同位素分離 同位素分离	12-45712-B
同僚	12-45797-S
同僚 同僚	12-45797-B
同分异构体	12-45856-S
同分異構體 同分异构体	12-45856-B
同化	12-45928-S
同化 同化	12-45928-B
同化作用	12-45985-S
同化作用 同化作用	12-45985-B
同喜	12-46072-S
同喜 同喜	12-46072-B
同在	12-46183-S
同在 同在	12-46183-B
同型性	12-46228-S
同型性 同型性	12-46228-B
同型配子	12-46287-S
同型配子 同型配子	12-46287-B
同堂	12-46353-S
同堂 同堂	12-46353-B
同声传译	12-51108-S
同学	12-46443-S
同學 同学	12-46443-B
同安	12-46496-S
同安 同安	12-46496-B
同居	12-46559-S
同居 同居	12-46559-B
同屋	12-46609-S
同屋 同屋	12-46609-B
同工	12-46651-S
同工 同工	12-46651-B
同工同酬	12-46701-S
同工同酬 同工同酬	12-46701-B
同年	12-46785-S
同年 同年	12-46785-B
同床异梦	12-46834-S
同床異夢 同床异梦	12-46834-B
同德	12-47037-S
同德 同德	12-47037-B
同心	12-47100-S
同心 同心	12-47100-B
同心同德	12-47214-S
同心同德 同心同德	12-47214-B
同志	12-47295-S
同志 同志	12-47295-B
同性	12-47357-S
同性 同性	12-47357-B
同性恋	12-47471-S
同性恋者	12-47552-S
同性愛 同性爱	12-47415-B
同性戀 同性恋	12-47471-B
同性戀者 同性恋者	12-47552-B
同性爱	12-47415-S
同情	12-47632-S
同情 同情	12-47632-B
同意	12-47705-S
