堭	16-8121-S
壳	36-2136-S,36-2163-S
壳幔	36-2198-S
壳牌	36-2253-S
壳质	36-2311-S
壶	16-37900-S
壶关	16-37955-S
壹	16-37845-S
壹 壹	16-37845-B
壺 壶	16-37900-B
壺關 壶关	16-37955-B
壻	16-38017-S
壻 壻	16-38017-B
壼	16-38053-S
壼 壼	16-38053-B
壽 寿	16-38105-B
壽光 寿光	16-38140-B
壽司 寿司	16-38209-B
壽命 寿命	16-38248-B
壽堂 寿堂	16-38309-B
壽寧 寿宁	16-38392-B
壽數 寿数	16-38458-B
壽數已盡 寿数已尽	16-38519-B
壽星 寿星	16-38622-B
壽材 寿材	16-38674-B
壽桃 寿桃	16-38715-B
壽桃包 寿桃包	16-38780-B
壽比南山 寿比南山	16-38864-B
壽王墳 寿王坟	16-38956-B
壽禮 寿礼	16-39035-B
壽終正寢 寿终正寝	16-39105-B
壽縣 寿县	16-39221-B
壽衣 寿衣	16-39290-B
壽豐鄉 寿丰乡	16-39338-B
壽辰 寿辰	16-39419-B
壽限 寿限	16-39482-B
壽陽 寿阳	16-39541-B
壽險 寿险	16-39607-B
壽麵 寿面	16-39693-B
壿	16-39761-S
壿 壿	16-39761-B
处	55-48615-S,55-48777-S
处世	55-48908-S
处世原则	55-48971-S
处事	55-49051-S
处事原则	55-49115-S
处于	55-49982-S
处决	55-50151-S
处分	55-49195-S
处堂燕雀	55-49299-S
处境	55-49495-S
处处	55-50602-S
处女	55-49536-S
处女作	55-49592-S
处女座	55-49665-S
处女膜	55-49782-S
处女航	55-49830-S
处所	55-49888-S
处方	55-49927-S
处暑	55-50032-S
处死	55-50087-S
处理	55-50218-S
处理器	55-50293-S
处理能力	55-50345-S
处男	55-50432-S
处罚	55-50548-S
处置	55-50479-S
夆	16-39806-S
夆 夆	16-39806-B
备	6-28129-S
备中	6-28192-S
备件	6-28235-S
备份	6-28281-S
备取	6-28321-S
备受	6-28404-S
备品	6-28472-S
备忘录	6-28556-S
备战	6-28640-S
备抵	6-28714-S
备料	6-28803-S
备查	6-28890-S
备案	6-28944-S
备注	6-29646-S
备用	6-29020-S
备用二级头呼吸器	6-29085-S
备用环	6-29214-S
备考	6-29272-S
备而不用	6-29318-S
备耕	6-29433-S
备至	6-29508-S
备荒	6-29577-S
备课	6-29687-S
変	16-39857-S
変 変	16-39857-B
夌	16-39908-S
夌 夌	16-39908-B
复	24-12792-S,57-4892-S
复习	24-15454-S
复交	24-13007-S
复仇	24-13071-S
复会	24-14601-S
复位	24-13121-S
复信	24-13229-S
复修	24-13282-S
复健	24-13345-S
复元	24-13404-S
复兴	24-15613-S
复兴乡	24-15741-S
复兴党	24-15897-S
复兴时代	24-15670-S
复兴门	24-15819-S
复写	24-14392-S
复写纸	57-5563-S
复分解反应	24-13446-S
复利	57-5033-S
复制	57-6125-S
复制品	57-6209-S
复印	57-5082-S
复印机	57-5151-S
复印纸	24-13531-S
复原	24-13592-S
复发	24-15239-S
复变	57-6273-S
复变函数	57-6331-S
复变函数论	57-6425-S
复古	24-13666-S
复古会	24-13889-S
复句	57-5219-S
复合	57-5266-S
复合材料	57-5321-S
复合词素词	57-5394-S
复听	24-15554-S
复员	24-14113-S
复命	24-14032-S
复姓	57-5469-S
复婚	24-14159-S
复学	24-14220-S
复审	24-14320-S
复工	24-14452-S
复归	24-14721-S
复数	57-5619-S
复数域	57-5681-S
复数平面	57-5780-S
复方	57-5883-S
