tuo zhi	52-34026-B
tuo zou	27-37519-B
tuo zui ze	65-40579-S
tuo1	3-68604-S,4-27391-S,5-16361-B,5-24936-S,5-45005-S,6-9267-S,6-24295-S,7-41455-S,8-44147-S,11-64487-S,13-34731-S,14-44882-S,15-57630-S,16-29533-S,17-63997-S,18-5450-S,18-14020-S,18-41801-S,18-45957-S,20-2734-S,22-15349-S,22-15680-S,26-51252-B,26-51451-S,27-35188-B,27-46542-S,28-19106-S,29-772-S,29-30386-S,33-13591-S,37-18485-B,40-18533-S,40-18590-S,40-38365-S,40-40878-S,50-1365-S,52-32243-B,52-34088-S,53-55962-S,54-28388-S,54-40335-S,55-37902-S,55-53767-S,57-11964-S,57-52040-S,57-65349-B,59-28695-S,60-19224-S,61-23943-S,61-65313-S,63-59006-S,65-40509-S,69-4953-B,69-38802-S,70-27035-S
tuo1 Tou2 zi1 gong1 si1	2-56464-S
tuo1 ba1	69-35999-S
tuo1 ba3	27-36537-B
tuo1 bang1	40-35710-S
tuo1 bo1 er3	16-20659-S
tuo1 bo1 xiu1 hui4	26-52842-B
tuo1 bo2	27-37884-B
tuo1 bu4	27-36138-B
tuo1 chan3	10-59833-S
tuo1 chang2	27-37789-B
tuo1 che1	27-37562-B,29-900-S
tuo1 che1 tou2	27-37640-B
tuo1 chu1	13-24287-S
tuo1 chuan2	27-37470-B
tuo1 ci2	26-52601-B,57-65614-B
tuo1 dai4	27-36174-B
tuo1 dang4	27-35886-B
tuo1 diao4	52-32710-B
tuo1 dong1 li4	27-35721-B
tuo1 dou3	27-36796-B
tuo1 er2 dai4 nu:3	27-35597-B
tuo1 er5 suo3	26-51650-B
tuo1 fa4	52-34930-B
tuo1 fang1	66-13486-S
tuo1 fen1	66-13395-S
tuo1 fu1	50-58839-S
tuo1 fu2	7-19095-S,26-52269-B
tuo1 fu4	26-51411-B
tuo1 ge2 Luo2 suo3	69-42056-S
tuo1 gou1	52-34464-B
tuo1 gua4	27-36748-B
tuo1 guan3	26-52345-B
tuo1 guang1	52-32368-B
tuo1 gui3	52-34338-B
tuo1 hai3	12-12050-S
tuo1 hou4 tui3	27-36398-B
tuo1 huo3 shan1	14-2117-S
tuo1 jia1 dai4 kou3	27-35941-B
tuo1 jia4	26-51985-B
tuo1 jiang1	52-34694-B
tuo1 jiang1 zhi1 ma3	52-34788-B
tuo1 jie2	52-33895-B
tuo1 jin4	27-37745-B
tuo1 jiu4	52-35277-B
tuo1 kai1	52-34516-B
tuo1 ke4	43-14196-S,48-6575-S,48-6722-S,50-58778-S
tuo1 ke4 qi2	63-28746-S
tuo1 ke4 qian2 qi2	63-28639-S
tuo1 ken3 li4 shi2 quan1	30-40559-S
tuo1 kou3	52-32468-B
tuo1 kou3 chi3	44-33124-S
tuo1 kou3 er2 chu1	52-32514-B
tuo1 la1	27-36573-B
tuo1 la1 ji1	27-36628-B
tuo1 la1 la1	27-36678-S
tuo1 lei3	27-37342-B
tuo1 li2	52-34642-B
tuo1 li3 ni2 dao3	34-6519-S
tuo1 li4 ya4	19-32109-S
tuo1 lou4	52-33702-B
tuo1 lun2	27-37698-B
tuo1 lun2 xiang1	39-59648-S
tuo1 luo2 la1	29-838-S,54-63258-S
tuo1 luo4	52-34212-B
tuo1 man4	27-36477-B
tuo1 mao2	52-32754-B
tuo1 mao2 ji4	52-32837-B
tuo1 mo2	27-37287-B
tuo1 ni2 dai4 shui3	27-37181-B
tuo1 nu3	47-18580-S
tuo1 pin2	52-35335-B
tuo1 pin3	66-2416-S
tuo1 pin3 hua4	66-4880-S
tuo1 pin3 yao4 wu4	29-28062-S
tuo1 qian4	27-36954-B
tuo1 qing1	52-33309-B
tuo1 qing1 mei2	2-45013-S
tuo1 qu4	52-32426-B
tuo1 ren2	11-64531-S,18-41705-S
tuo1 ren2 xia4 shui3	27-35393-B
tuo1 rong2	52-33629-B
tuo1 se4 ji4	52-34143-B
tuo1 shou3	52-32616-B
tuo1 shui3	52-33435-B
tuo1 shui3 ji1	52-33532-B
tuo1 su4	56-45778-S
tuo1 ta4	27-37044-B
tuo1 tang2	27-35787-B
tuo1 tang2 he2 suan1	52-33202-S
tuo1 tao2	52-34409-B
tuo1 tuo1 la1 la1	27-36678-B
tuo1 wang3	27-37418-B
