shě bu de	28-6629-B
shě de	28-6873-B
shě fū sī jī	22-8599-S
shě jǐ	28-6773-B
shě mìng	28-6720-B
shě nán fēn	67-12366-S
shě nán lí	67-12493-S
shě qì	28-6935-B
shě shēn	28-7099-B
shě shēng qǔ yì	28-6998-B
shě wǔ rù	14-50208-S
shě xià	28-6573-B
shě ěr	54-37473-S
shěn	5-62506-S,7-59199-S,8-8768-S,11-61101-S,12-42854-S,13-35744-B,18-62485-B,20-20557-B,23-475-S,24-14320-S,28-38720-S,29-54298-S,32-23242-S,37-4625-B,40-13208-B,45-59431-B,45-65143-B,50-19842-S,52-0-S,58-7462-S,58-45085-B,59-6839-B,63-57908-S
shěn běi xīn	37-4735-B
shěn běi xīn qū	37-4837-B
shěn bǎo zhēn	37-5437-B
shěn chá	20-21049-B,20-21798-B
shěn chǔ	20-22549-B
shěn cóng wén	37-5033-B
shěn duàn	20-21638-B
shěn duó	20-21207-B
shěn duó shí shì	20-21272-B
shěn dì	20-23025-B
shěn dìng	20-20979-B,20-22772-B
shěn dú	20-23168-B
shěn fǎ yuàn	49-35336-S
shěn guó fàng	37-4949-B
shěn gàn	20-21117-B
shěn gǎi	20-21584-B
shěn gǎo rén	20-21976-B
shěn huì	52-75-S
shěn hé	20-22646-B,37-5104-B
shěn hé qū	37-5190-B
shěn jiào	20-21858-B
shěn jié	20-22192-B
shěn jì	20-22839-B
shěn jì zhǎng	20-22901-B
shěn jí	20-22043-B
shěn jí zhì dù	20-22102-B
shěn lǐ	20-21926-B
shěn měi	20-22282-B
shěn měi guān	20-22451-B
shěn měi huó dòng	20-22354-B
shěn mǔ	18-62694-B
shěn pàn	20-20634-B
shěn pàn lán	20-20744-B
shěn pàn xí	20-20686-B
shěn pàn zhě	20-20802-B
shěn pàn zhǎng	20-20853-B
shěn pī	20-21517-B
shěn qiū	37-4672-B
shěn qí	40-35392-S
shěn shen	18-62541-B
shěn shèn	20-21363-B
shěn shèn xíng shì	20-21415-B
shěn shì	20-22714-B,63-60010-S
shěn shí duó shì	20-21684-B
shěn tuán	17-38738-S,66-23228-S
shěn wèn	20-20916-B,28-25374-S
shěn xùn	20-22955-B
shěn yuè	20-23296-B
shěn yuē	37-5384-B
shěn yáng	40-13247-B
shěn yáng shì	37-5565-B
shěn yì	20-23094-B
shěn yíng	37-5286-B
shěn zhuó	20-23229-B
shěn zi	18-62613-B
shěng	1-72284-S,2-67285-S,3-65508-S,5-44202-S,5-51562-S,7-40136-S,9-58948-S,11-29652-S,11-29751-S,12-40969-S,14-49097-S,15-49841-S,16-45023-S,19-26211-S,19-28630-S,21-30314-S,21-33122-S,22-7654-S,23-13909-S,23-14828-S,30-31290-S,30-67626-S,34-31574-S,36-58222-S,36-60583-S,36-60811-S,37-18955-S,37-19130-S,38-8744-S,38-16590-S,39-10534-S,39-10865-S,42-31945-S,43-11236-S,43-14848-S,45-32944-B,45-40207-B,47-4334-S,48-29617-S,54-43826-S,59-42739-S,60-8388-S,61-41071-S,63-4915-S,66-19797-S,67-17966-S,67-56449-S,71-34396-S
shěng biàn	45-33279-B
shěng chéng	45-33858-B
shěng chēng	45-34582-B
shěng chī jiǎn yòng	45-33672-B
shěng de	45-34037-B
shěng fèn	11-66156-S,45-33235-B
shěng huì	45-34260-B
shěng jiǎn	45-33326-B
shěng jìn	45-33460-B
shěng jìn 5r	45-33524-B
shěng jí	9-32936-S,45-34632-B
shěng jí chéng shì	9-33018-S
shěng lì	45-33397-B
shěng lüè	45-34378-B
shěng lüè fú hào	45-34439-B
shěng lüè hào	45-34507-B
shěng lǐ gōng xué yuàn	71-15193-S
shěng qián	45-34893-B
shěng quě	45-33597-B
shěng shì	45-33134-B
shěng xiá shì	45-34831-B
shěng xīn	45-34109-B
