substantial	6-64930-B,16-4293-S,17-16794-B,28-18677-B,43-15827-B,43-16364-B
substantial discount	20-12972-B
substantially	17-16736-B
substantiate	6-64930-B
substantive	20-15379-B
substation	59-12615-S
substitute	4-30112-S,4-32278-B,4-32781-S,6-63984-B,11-57764-B,32-9316-S,32-17735-S,32-18183-B,68-19696-S
substitute actor	32-18183-S
substitute actor esp in fights of theatrical stunts	32-18492-B
substitute and mild laxative	21-30590-S
substitute at any time for principal player	32-18183-S
substitute for	32-16879-S,32-16983-S
substitute for absent teacher	4-33511-S
substitute for mother s milk	36-3457-B
substitute for obedience 成语 saw	25-4160-S
substitute for sb	4-30836-S,32-18116-S
substitute for sb else	32-18384-S
substitute good	32-17057-B
substitute one thing for another	33-640-S
substitute shoddy goods	6-64868-S
substitute worker	32-17514-B
substitute x for y	4-32204-S
substitutefor sb	11-58918-S
substituting halogen for hydrogen	71-3053-S
substitution	4-33585-B,32-7010-B
substrate	1-59464-B,15-68203-B,15-69790-B
subsymbolic model	3-62998-B
subterranean	15-37616-B,66-42533-B
subtilis	33-38961-S
subtilis formerly bacillus natto	49-17920-S
subtitle	19-4891-B,20-65632-B
subtle	18-13308-B,24-18594-B,32-45064-B,45-35077-B,49-31443-B
subtle taste	70-5934-S
subtle traces	42-40348-S
subtleties	42-38931-S,47-7684-S
subtract	16-27077-S,38-66655-S,39-144-B,39-551-B
subtraction	5-63916-S,22-271-S,39-769-B
subtropical zone or climate	3-61538-B
subulata	25-45156-S,54-9169-S
suburb	14-53586-B,22-13360-B,43-46949-B,63-20935-B
suburb of beijing	10-28235-B
suburban district	63-20965-B
suburbs	15-62676-B,61-49127-B,61-49179-B,63-20965-B,63-21703-B
suburbs daily newspaper	4-3913-S
subvert state power criminal charge used to gag free speech	41-11022-S
subway	15-38004-B,15-38083-B,15-45511-B,28-9551-B
subway pass	3-72306-B
subway station	15-45556-B
succeed	5-12502-S,24-9117-B,26-7394-B,26-8098-S,26-8268-S,50-42557-S,50-42890-S
succeed by means fair or foul	65-10751-S
succeed in an imperial examination	24-6335-S
succeed in every undertaking	26-18920-S
succeed in life	32-45750-S
succeed sb in a job	50-42658-B
succeed to a position	28-26870-S
succeed to a title	14-25214-S
succeed to the throne	11-23983-S,50-42773-S
succeeded in finding	26-59145-B
succeeding chinese dynasty starting with the zhou	66-55268-S
success	1-13126-S,1-46226-S,3-9385-S,10-3774-B,12-59425-S,16-9625-S,16-10626-S,17-21418-S,24-8962-S,24-59123-S,25-52239-S,26-8268-B,26-9585-B,28-9186-S,29-41768-B,31-3858-S,31-36208-S,36-43354-S,39-33050-S,39-33298-S,39-41096-S,57-27540-S,58-582-S,64-38112-S,67-7583-S,68-62785-S,68-63529-S,69-1410-S,69-34384-S
success across the board	39-37464-B
success and recognition 成语 saw	9-49014-S
success in a single move	31-3858-B
success in exams	31-36208-S
success or failure	26-9945-B,70-11362-S
success or failure 成语 saw	15-51688-S
success proverb	17-65717-S
success within one s grasp	47-43080-S
success 成语 saw	9-47798-S,9-49161-S,60-53133-S
successes	69-15072-S
successful	17-7761-S,24-6335-B
successful and well known	67-47540-S
successful bidder	2-73874-B
successful candidate in the highest imperial civil service examination	62-29483-B
successful career woman	18-20525-B
successful conclusion 成语 saw	9-48649-S
successful exam candidates	8-40107-S
successful examinees	34-39521-S
successful gamble	2-76076-S
successful in the imperial examinations	22-47473-S
successful man has a dedicated woman behind him	26-8394-S
successful military candidate in the imperial provincial examination	35-43680-B
successfully accomplished project or goal	17-7761-B
succession	1-21916-S,2-42066-B,5-25244-S,7-4068-S,18-61539-S,21-24845-S,28-25012-S,28-28544-S,45-30431-S,49-24275-S,56-18272-S,62-20502-S,62-22813-S,62-22912-S,66-34491-S
succession of authors	38-59478-S
succession of children	27-68807-S
succession of seasons	35-50639-B
succession struggle	2-42132-B
succession to a title	14-25123-B
successive	35-52886-B,37-49421-B,62-23600-B
successive dynasties	35-51348-B
successive dynasties from han to republican china by cai dongfan 蔡東藩 蔡东藩	35-52701-S
successive equinoxes	14-56572-S
successive generations	57-38505-S
successive nights	62-20760-B
successive voices agree with one another	62-25127-B
successive wars	8-2745-S
successive years	56-18272-S,62-21748-B
successively	35-51577-S,62-19431-B,66-33785-B
successor	13-40622-S,28-26870-S,28-27014-B,50-42658-B,50-42720-B,50-42958-B,50-43076-B
successor to emperor guangxu until the boxer uprising	39-18770-S
successors	9-21785-S
successors of the first ming emperor	67-61011-S
succinct	48-37596-B,48-54468-B,48-57315-B,48-57488-B,57-27442-B
succor	28-51165-B
succor to the enemy	9-61525-S
succulent	16-59891-B
succulent bot 	52-6740-B
succulent root bot 	52-6806-B
such	3-11071-S,6-10998-B,8-3171-B,33-42059-S
such a big	6-11045-B
such a degree	6-10998-S
such an extent as to	4-38495-S
such and such	33-42059-B
such as	5-20425-B,18-30023-B,36-10287-B,58-47887-S,59-2365-B
such as 	59-22916-B
such as 1 2 4 8 	48-18886-S
such as 2 4 6 8 	48-18443-S,48-24622-S
such as a centrifuge	52-33532-S
such as a cube or parallelepiped	7-69632-S
such as a political party	32-24545-S
such as anger	4-33981-S
such as anna 安娜 or diana 黛安娜	18-50809-S
such as area of volume	47-38278-S
such as bone	64-21790-S
such as chinese chess	11-7421-S
such as chlorine	71-3172-S
such as choking	14-5426-S
such as company 公司 or bus 巴士 or club 俱樂部 俱乐部	59-2815-S
such as contusion	60-34532-S
such as cube 立方	30-61117-S
such as curfew or martial law	57-48232-S
such as death	18-52662-S,18-52761-S,18-52930-S
such as dictionary	21-54186-S
such as drums	68-891-S
such as february 29	65-44788-S
such as gravitation	13-3367-S
such as guns	34-8756-S
such as hearing or vision	46-3120-S
such as homo erectus	12-175-S
such as intellectuals or extremists	4-44821-S
such as jellyfish	52-38593-S
such as jiǎozi 餃子 饺子	48-44105-S
such as manpower or tourism	59-52377-S
such as musician or revolutionary	19-60606-S
such as médecins sans frontières	40-48729-S
such as oboe or bassoon	67-252-S
such as ostriches	60-13046-S
such as pens and guns	29-37208-S
such as people	11-67016-S
such as proton and neutron	63-57602-S
such as sharks	61-4173-S
such as sports matches	16-13020-S
such as starch 澱粉 淀粉 and cellulose 纖維素 纤维素	16-62153-S
such as the biblical flood	40-27530-S,40-27683-S
such as the confucian six classics 六經 六经	4-22245-S
such as the dragon	42-62247-S
such as the following	58-47887-B
such as the patriot missile	11-47388-S
such as trees	52-3607-S
such as uranium	63-56183-S
such as water or minerals	59-52377-S
such as 司馬 司马 or 諸葛 诸葛	57-5469-S
such as 戶部尚書 户部尚书	21-7243-S
such as 日心说 heliocentric theory	58-31085-S
such as 玎玲 or 玲瓏 玲珑	42-41158-S
such as 袮宜町 minorimachi and 袮宜田 minorita	56-52399-S
such people	17-21109-S
such problems	48-28499-S
such title	58-45370-S,58-54049-S
suck	12-68855-S,12-68886-S,13-16514-B,13-48985-B,13-64043-S,14-25776-B,14-31707-B,35-31484-B,53-31645-S
suck blood	13-4428-S
suck in	13-2868-S,13-2931-S,13-3199-S
suck keep in your mouth without chewing	12-67301-S
suck up to sb	27-26553-S
sucked between the teeth	14-32748-S
sucker	13-7949-B,34-20977-B
sucking vermin	13-4474-S
suckle	13-48186-B
suckling pig	59-22739-B
sucrose	55-11054-B
suction	59-31443-B
suction chimney to make a stove draws	27-33756-B
suction cup used in chinese medicine to draw the blood and qi 氣 气	27-33756-B
sudan	7-35352-S,14-1937-S,22-5378-S,55-37532-B,62-54615-S
sudanese government against darfur rebels	59-53751-S
sudden	1-399-S,1-621-S,2-25383-S,5-54813-B,6-59972-B,24-51107-S,24-57691-B,29-7904-B,31-65938-B,31-66826-S,47-52686-B,47-53573-B,67-43914-S,69-64437-B
sudden and unexpected disaster 成语 saw	68-62435-B
sudden and violent attack	47-53375-S
sudden attack	24-59663-B
sudden attack of a serious illness	32-48-B
sudden big and impressive event sound	17-5350-B
sudden blooming or display of brilliance	41-6302-B
sudden change	47-53890-B
sudden change 成语 saw	68-58845-B
sudden clap of thunder	69-63638-B
sudden death	1-43677-B
sudden glance	26-4249-B
sudden huge profits	31-66121-B
sudden idea	1-22248-B,65-25452-B
sudden illness	31-66428-S
sudden impulse	24-38896-S
sudden occurrence	47-53670-B
sudden rags to riches celebrity	40-25343-S
sudden thrust with the mace	29-7067-B
sudden turn	24-60012-S
suddenly	1-21388-S,3-11123-B,5-12502-B,5-31342-B,9-64870-B,9-65715-S,13-21404-B,18-0-B,24-50860-B,24-51107-B,31-66428-S,35-23697-B,39-17609-B,41-62242-S,42-11882-B,42-12116-B,42-12900-B,47-53053-S,47-53053-S,47-54103-S,59-11312-S,63-5948-B,66-20081-B,67-41605-B,67-43055-B,69-55620-B,69-64437-B,69-64476-B,70-33819-B
suddenly all the rage	47-59051-B
suddenly and sharply	31-66895-S
suddenly become extensive	59-16709-B
suddenly enlightened	59-16709-S
suddenly occurs 成语 saw	67-52093-S
suddenly popular	47-59051-S
suddenly realize	24-68348-S
suddenly see the light	24-68348-S,59-16709-B
sudirman cup world badminton team competition	55-41618-B
sudoku japanese sū doku	3-18315-B,30-23114-B
suds	37-18209-B
sue	13-9193-S,20-54638-S,25-44133-B,26-42747-S,27-3172-S,28-28880-S,28-29274-B,58-4510-B,60-18187-S,61-59708-S
sue sb	38-35618-S,61-59773-S
suede	68-8159-B
sues first	25-19103-S
suez canal	55-37606-B,55-37661-S,55-37728-B
suff 	19-208-S
suff for certain nouns	22-2746-B
suff for nouns	68-36138-B
suffer	11-59260-S,11-60273-S,11-60343-S,11-63906-S,11-64381-S,12-26030-S,12-27579-B,14-14021-S,21-8874-S,24-43393-S,25-48493-B,28-7512-B,30-14635-S,54-52997-B,54-61691-B,62-66181-B,62-66249-B
suffer a calamity	11-65170-S,62-66304-S
suffer a defeat	26-45462-S
suffer a disadvantage	52-12779-S
suffer a paralyzing stroke	3-391-B
suffer a rebuke	27-67977-S
suffer a reverse in politics or business	60-34099-S
suffer a setback	34-933-S,54-50875-S,60-34032-S
suffer a snub	47-56449-S
suffer as a consequence of one s own actions	53-6707-S
suffer attack	62-35835-S
suffer beating	27-68576-S
suffer blame	27-68229-S,27-69292-S
suffer blows	27-67918-S
suffer censure	27-69439-S
suffer damage	11-60914-S
suffer defeat	17-64662-S,29-65798-S
suffer e g under torture	11-65170-S
suffer financial loss	46-20325-S
suffer from	50-54968-B
suffer from illness	25-8213-B
suffer from insomnia	17-66494-B
suffer heatstroke or sunstroke	11-61935-S
suffer hunger	27-67710-B
suffer injustice	8-14392-S
suffer loss	27-8254-S
suffer losses	12-27678-B
suffer maltreatment	11-62281-S
suffer pain	67-11834-S
suffer second persecution	3-41228-B
suffer shame	54-63946-S
suffer the consequence	53-796-S
suffer the consequences	42-39839-S
suffer the consequences of one s bad deeds	25-21703-S
suffer to the fullest	69-7338-B
suffer under a yoke	11-60441-S
suffer 成语 saw	7-45553-S
sufferer	11-65330-B,25-8371-B
sufferers empathize with each other 成语 saw	12-50154-S
suffering	9-15402-S,19-58544-S,19-58633-S,23-26799-S,25-53850-B,34-30197-B,39-52859-S,41-17490-B,44-14927-B,53-41108-S,54-386-B,54-20642-S,55-56652-S,56-26909-S,65-12716-S,66-48627-S
suffering absence or atresia of vagina as birth defect	20-12671-S,46-5487-S
suffering all around	25-10673-S
suffering exploitation	56-51228-S
suffering from injustice	8-15067-B
suffering of others	69-7875-S
suffering of the people	44-7430-B
suffering or sorrow	54-12758-S
suffering shame and remorse	25-43742-B
suffering the torments of buddhist hell while still alive	4-17753-B
suffering 成语 saw	9-36214-S
sufferings	54-428-B
suffers damage	11-60965-S
sufficiency	53-12976-S
sufficient	6-63984-B,6-64150-B,7-328-B,7-481-B,53-14852-S,60-32150-S,60-32488-B
sufficient condition	7-387-S
sufficient to 	60-32193-B
suffix	1-60670-B,7-21726-S,19-4793-B,24-2287-B,58-9382-B,58-10961-S,71-16482-B
suffix for specialists in some activity such as musician or revolutionary	19-60606-S
suffix forming adjective from verb	24-60540-B
suffix forming noun from adjective	24-60540-B
suffix indicating completion or readiness	18-26083-B
suffix linguistics	24-897-B
suffix of a compound word	58-10872-S
suffix of a noun of locality	63-11219-B
suffix used after name of a ship	55-55154-B
suffocate	47-54749-B
suffocated or oppressed	25-54403-S
suffrage	27-2843-B,31-52630-S,63-1234-B
sugar	5-19194-S,8-19564-S,32-53918-S,32-55200-S,33-63034-S,44-43784-S,46-12353-B,48-60819-B,49-12099-S,55-11054-S,61-21688-S,66-3212-S,68-42624-S,69-18626-S
sugar apple	63-53867-B
sugar beet	54-38831-B
sugar candy	48-61145-S
sugar cane	43-15117-B,55-11021-B
sugar cane farmer	55-11107-B
sugar chem 	48-61824-B
sugar free	40-59363-B
sugar level	70-21484-S
sugar or honey	56-5034-S
sugar powder	50-12632-B
sugar substitute	4-32781-B
sugar substitute and mild laxative	21-30590-S
sugars and amino acids forming cell wall	52-15554-S
suggest	6-2473-S,23-21923-S,23-22805-S,28-37216-S,28-42490-S,31-62305-B,32-20104-S,57-31944-S
suggestion	12-67034-S,23-22805-B,25-30108-B,28-42490-B,31-62305-B
suggestions	66-57782-S
suharto	55-37902-B
sui	45-55651-S,48-61019-S,66-38713-S,66-42753-S
sui 569 618	66-39400-S
sui 581 617 and tang dynasties 618 907	66-38828-B
sui and tang	66-38905-S
sui county in henan	45-55759-B
sui dynasty	34-27239-S,66-39201-S,66-39317-S
sui dynasty 581 617	66-38713-S,66-38773-B,66-39261-B
sui emperor 541 604 yang jian 541 604	34-27472-S,66-38995-S,66-39086-S
sui tang premodern ethnic group	67-46142-B
suibin place in heilongjiang	49-57026-S
suichang place in zhejiang	62-35313-S
suichuan county in ji an 吉安	62-35104-B,62-35171-B
suicidal	53-7453-B
suicide	52-55272-S,53-6658-S,53-7387-S,53-12475-B,61-11431-S,61-11431-S
suicide attack	53-7453-B
suicide bomb	53-7671-S
suicide bomber	53-7832-B
suicide bombing	53-7751-B
suicide by cutting one s own throat	53-1402-S
suicide by swallowing gold	12-65688-S
suicide car bombing	53-7522-B
suide place in shaanxi	49-56899-S
suifenhe city in heilongjiang	49-57247-B
suifenhe river and city in heilongjiang	49-57164-B
suihua city in heilongjiang	49-56596-S,49-56763-B
suihua district district in heilongjiang	49-56663-S
suijiang place in yunnan	49-56960-S
suileng place in heilongjiang	49-57094-S
suiliang 596 659	34-33897-S
suining place in hunan	49-56836-S
suining place in jiangsu	45-55694-S
suining prefecture level city in sichuan	62-34943-B,62-35018-B
suiping place in henan	62-35250-S
suiren	41-33357-B
suirenshi	41-33397-B
suis	59-26158-S
suis swine borne disease	59-26251-S
suit	1-6298-B,1-17545-S,2-70280-S,8-60791-S,12-10925-S,12-33311-S,18-10137-S,25-19103-S,37-49158-S,38-35618-S,38-58537-S,39-59591-S,42-3451-B,45-30060-S,57-18506-B,60-55088-S,62-64453-S,62-64819-S,62-65245-S,68-2873-S
suit of armor	27-11660-S
suit of cards	20-37102-S
suit of clothes	1-21496-S,18-9338-S,18-10211-S
