dòng liàng	10-2389-B,57-44369-S
dòng liàng cí	10-2434-B
dòng liáng	34-22757-B
dòng luàn	9-68417-B,46-48447-S
dòng lì	9-68583-B,10-4852-S,10-55258-S,11-30910-S,28-30088-S,44-26924-S,69-56079-S
dòng lì dàn bái	50-47127-S
dòng lì fǎn yìng duī	9-68646-B
dòng lì gōng jī qián tǐng	33-55565-S
dòng lì háng kōng mǔ jiàn	33-55772-S
dòng lì qián tǐng	33-55679-S
dòng lì xué	9-68727-B,38-7887-S,47-48131-S
dòng lì xì tǒng	9-68797-B,49-58007-S
dòng lí hé	53-3188-S
dòng lóu tī	53-2783-S
dòng lún	69-56276-S
dòng miǎn yì	3-4162-S,53-1854-S,56-51384-S
dòng mài	3-4234-S,8-13087-S,10-1630-B,15-68330-S,17-8030-S
dòng mài yìng huà	10-1671-B
dòng mài zhōu yàng yìng huà	10-1771-B
dòng màn	10-500-B
dòng míng cí	9-68870-B
dòng néng	10-1580-B
dòng nù	9-69213-B
dòng pài	11-45325-S
dòng píng jūn xiàn	47-26276-S
dòng píng jūn xiàn zhǐ biāo	47-26383-S
dòng pò	10-2645-B,69-60946-S
dòng pò jīng xīn	10-2698-B
dòng qián jìn	56-20923-S
dòng quán shēn	41-62858-S
dòng qì	6-34293-S,7-11231-S,46-36089-S,69-56136-S
dòng qíng	9-69259-B
dòng qíng jī sù	9-69455-B
dòng qíng qī	9-69376-B
dòng qū chǐ	37-64308-S
dòng rén	9-68476-B
dòng rén kǒu	38-2380-S
dòng rén mín	10-4717-S
dòng rén shì	37-63989-S
dòng shè xiàn shè yǐng	53-2223-S
dòng shì	36-26182-S,46-22572-B,47-26524-S,67-26115-S
dòng shì diàn huà	47-26575-S
dòng shòu huò jī	53-2056-S
dòng shān	36-15044-S
dòng shān yáo	15-39064-S
dòng shēn	10-2332-B
dòng shēng sè	1-73359-S
dòng shěng	11-29652-S
dòng shǒu	10-146-B
dòng sǐ	8-27217-B
dòng tiān	9-3784-S,37-57466-B
dòng tài	9-69531-B
dòng tài cún chǔ qì	10-0-B
dòng tài tú xíng	9-69684-B
dòng tài yǐng xiàng	10-81-B
dòng tài zhù cí	9-69613-B
dòng tí kuǎn jī	53-2608-S
dòng tíng hú	37-57649-B
dòng tóu	37-58257-B
dòng tīng	10-1523-B
dòng tōng xìn	2-62133-S
dòng tǔ	8-27153-B
dòng wù	1-22899-S,7-44888-S,7-45986-S,8-23190-S,10-552-B,11-34587-S,11-53090-S,13-48242-S,13-48443-S,14-40502-S,16-63734-S,32-39818-S,34-22346-S,40-60917-S,41-37622-S,41-37824-S,43-6726-S,43-40365-S,48-29090-S,48-29830-S,52-6959-S,52-30710-S,52-31089-S,52-38593-S,54-15844-S,59-10247-S,61-4558-S,64-4122-S,67-6764-S,67-53447-S,69-3365-S,69-3934-S
dòng wù dú sù	10-1006-B
dòng wù fēn lèi	10-592-B
dòng wù jiè	10-1123-B
dòng wù mén	43-6797-S,52-30776-S,52-31152-S
dòng wù nóng chǎng	10-1182-B
dòng wù xué	10-731-B
dòng wù xìng	10-794-B,67-63501-S
dòng wù xìng míng cí	10-847-B,67-63567-S
dòng wù xìng sì liào	10-927-B
dòng wù yuán	10-682-B,10-25725-S
dòng wù yóu	10-1068-B
dòng xiàng	9-68922-B
dòng xiào yìng	63-64279-S
dòng xié	62-39459-S
dòng xué	37-58113-B,62-39004-S
dòng xìng	35-2495-S,37-37738-S,38-2477-S,41-10963-S
dòng xìng dà shā mò	38-2558-S
dòng xī	37-57736-B
dòng yuán	9-68973-B,50-32123-S,62-38865-S,65-19878-S
dòng yáo	1-73220-S,10-231-B
dòng yì	1-68297-S,10-2283-B
dòng yìng	8-27290-B
dòng yí	5-63049-S,15-38912-S
dòng yòng	10-1252-B
dòng yīn	9-69024-B
dòng yǔ	8-27450-B
dòng yǔ zhōng	40-47419-S
dòng zhe	10-5235-S
dòng zhuàn pán	67-26323-S
dòng zhuō miàn	37-64397-S
dòng zhàn	62-39123-S
dòng zhá	36-26513-S
dòng zhèng	16-54574-S,37-44500-S
dòng zhí wù	10-285-B
dòng zhí wù fēn lèi	10-364-B
dòng zhí wù zhǒng guó jì mào yì gōng yuē	40-14224-S
dòng zhòng	69-60570-S,69-60672-S,69-62601-S
dòng zhóu	6-34419-S
dòng zhōng xīn	37-63915-S
dòng zi	13-64736-S
dòng zuì	11-56009-S
dòng zuò	9-68526-B,11-46707-S,25-48843-S
dòng zuò yè	13-64669-S
dòng zào shēng	36-26107-S
dòng zú	5-21706-B
dòng zú zì zhì xiàn	1-37336-S,30-49430-S,42-29892-S,53-62570-S,62-15161-S
dòng zú zì zhì zhōu	71-34948-S
dòng zī chǎn	38-2729-S
dòu	3-23024-S,7-33336-S,9-8242-S,12-6218-S,12-6293-S,12-59792-S,13-27224-S,14-48540-S,15-32614-S,17-33733-S,18-19023-S,18-29913-S,20-64454-S,22-10074-S,23-31174-S,25-24121-S,26-20484-S,26-30701-S,26-50691-S,26-58460-S,27-53413-S,27-66321-S,27-69439-S,28-53196-S,29-13598-S,34-304-S,36-15317-S,36-44773-S,37-656-S,41-40415-S,41-48167-S,43-1513-S,44-4824-S,44-13835-B,45-16340-S,47-59522-B,49-13405-S,49-17806-S,49-66374-S,50-60454-S,52-35243-B,54-19292-B,55-14736-S,56-22675-S,57-46679-S,59-5917-B,59-16853-B,59-18329-S,59-18758-S,62-3416-B,65-53280-B,66-13993-S,67-55634-S,67-55685-S,69-14640-B,70-28610-B,70-30092-B,70-30174-B,70-30215-B,71-23261-S,71-52014-S,71-60905-S
dòu 5r	30-35507-S
dòu bìng dú	42-13939-S
dòu bān	44-13867-B
dòu bī	54-19324-B
dòu chǐ	59-18118-B
dòu chǐ jiàng	59-18179-B
dòu diǎn	62-4606-B
dòu fu	12-27759-S,14-48594-S,19-62049-S,33-6455-S,46-40900-S,53-17563-S,59-17309-B,67-22389-S,69-36642-S
dòu fu zhā	59-17355-B
dòu fu zhā gōng chéng	59-17413-B
dòu fú yīn	43-1651-S
dòu fǔ	71-14280-S
dòu gén	62-3760-B
dòu huàn	7-37016-S
dòu huā	59-17539-B
dòu hào	62-4415-B
dòu hā hā	62-3694-B
dòu jiàn	26-20819-S,70-29196-B
dòu jiāng	59-17224-B
dòu jiǎo	54-19382-B
dòu jiǎo 5r	54-19421-B
dòu jī	26-20599-S,70-29316-B
dòu jūn	49-17920-S
dòu kòu	21-820-S,44-46468-S,52-6456-S,59-17756-B
dòu kòu kè	52-6613-S
dòu kòu nián huá	59-17877-B
dòu kē	59-17268-B
dòu kǒu chǐ	70-28718-B
dòu liú	62-4226-B
dòu lè	62-4141-B
dòu lèi	59-18242-B
dòu lì	26-20537-S
dòu miáo	59-17697-B
dòu mán zhēng	57-55397-S
dòu niú	70-29120-B
dòu ní	15-32653-S
dòu nòng	62-3972-B
dòu nǎi	59-16899-B
dòu pī gǎi	30-33879-B
dòu quán	70-28967-B
dòu qíng	62-4074-B
dòu qù	62-4463-B
dòu qù 5r	62-4530-B,70-29244-B
dòu qún	26-20662-S,53-35536-S
dòu rén	62-3500-B
dòu rén fā xiào	62-3618-B
dòu rén xǐ ài	62-3560-B
dòu shé	27-28847-S
dòu shì	4-11348-S,43-4734-S,57-46723-S,70-28865-B
dòu shǔ	59-17984-B
dòu shǔ shǔ	59-18047-B
dòu sī	15-32709-S,63-45485-S
dòu wō zhēng	56-19825-S
dòu xiào	62-4279-B
dòu xiào 5r	62-4348-B
dòu xìng	27-66419-S
dòu yá	59-17597-B
dòu yá cài	59-17641-B
dòu yán	71-52062-S
dòu yóu	59-17029-B
dòu yǎn	30-33968-B
dòu yǐn	62-4026-B
dòu zhào	59-18866-S
dòu zhèn	71-15704-S
dòu zhèng	56-22742-S
dòu zhì	70-28920-B,70-29008-B
dòu zhā	59-17075-B
dòu zhā nǎo jīn	59-17124-B
dòu zhēng	11-53542-S,35-18550-S,66-39963-S,70-29056-B
dòu zhě	26-20766-S
dòu zhī	59-16981-B
dòu zhōu	59-18811-S
dòu zi	59-16941-B
dòu zuǐ	62-3929-B,70-28797-B
dóng chē	9-61243-S
dù	1-8173-S,2-50457-S,3-50402-S,4-4389-S,4-6959-S,4-67550-S,5-38017-S,5-38520-S,6-23037-S,6-48033-S,7-6911-S,7-8771-S,7-51209-S,8-8915-S,8-33025-S,8-60973-S,9-11112-S,9-14440-S,9-16107-S,9-27799-S,9-45857-S,9-53282-S,9-60009-S,11-18666-S,11-29493-S,12-11398-S,12-13616-S,14-10842-B,15-8433-S,15-52309-S,16-32831-S,17-15793-S,17-16794-S,18-23261-S,18-34147-B,18-58496-S,19-11960-S,19-20954-S,20-4326-S,20-22102-S,20-24985-S,20-25336-S,20-25437-S,20-26612-S,20-33323-S,20-51591-S,20-51709-S,20-58774-S,21-11875-S,21-19647-S,21-53734-S,22-33905-S,22-40267-S,22-48636-S,22-63526-B,23-12727-S,23-29177-S,23-35552-S,23-37184-S,23-43713-S,23-44972-S,23-51491-S,23-52330-S,23-63929-S,26-24682-S,26-25075-S,27-48327-S,28-26177-S,28-50657-S,29-30250-S,29-34936-S,29-34998-S,29-38296-S,29-50751-S,30-31377-S,30-35060-S,31-1398-S,31-35878-S,32-18907-S,32-24841-S,32-63337-S,33-8226-B,33-58211-S,34-16007-S,34-34834-S,34-52892-S,36-5450-S,37-14789-S,37-19720-S,37-41050-S,37-64821-S,38-21296-S,38-35255-S,38-49775-S,38-66785-S,39-2024-B,39-4052-S,39-21313-S,39-21357-S,39-24754-S,39-26437-S,39-58625-S,40-6271-S,40-6892-S,40-8353-S,40-13014-S,40-33757-S,40-50646-S,41-7320-S,41-18086-S,41-18926-S,42-371-S,42-12432-S,44-26686-S,44-53566-S,44-54775-S,45-28165-S,45-28237-S,46-25562-S,46-35370-S,47-29494-S,47-42418-S,48-571-S,48-8900-S,48-9979-S,48-11179-S,48-12948-S,48-19178-S,48-50565-S,48-52761-S,48-53171-S,48-54949-S,49-20359-S,49-46499-S,49-46574-S,49-46741-S,49-46810-S,49-58824-S,49-59325-S,50-3182-S,50-17745-S,50-24109-S,50-46997-S,52-8656-B,52-27941-S,53-10707-S,53-44555-S,54-34531-S,56-22849-B,57-10865-S,57-14031-S,57-44746-S,57-46246-S,57-66601-S,58-37123-S,58-62261-S,59-33371-S,60-24297-S,60-39545-S,61-18940-S,62-741-S,62-819-S,62-7276-S,62-16771-S,62-29670-S,62-44635-S,62-46720-S,62-65056-S,64-5879-S,64-49919-B,65-14488-S,65-49820-S,65-51049-S,65-60927-S,66-18720-S,66-61855-S,67-11981-S,67-20206-S,67-38593-S,67-51811-S,68-41861-S,68-54714-S,70-11801-S,70-14615-S,70-17162-S,71-5532-S,71-27726-S,71-28063-S
dù biǎo	39-21430-S,62-29759-S
dù bài	33-9057-B
dù bào gào	22-48692-S
dù bái	70-37879-S
dù bù luó fū ní kè	33-8916-B
dù bāng	33-10252-B
dù bāo róng	17-16864-S
dù běn nèi	33-9166-B
dù bō	20-4375-S
dù bǎi kè	44-53604-S
dù chuán	39-2250-B
dù chén cāng	31-61815-S
dù cè yàn	65-49888-S
dù dé	31-47819-S,31-47922-S
dù dù niǎo	39-2183-B
dù dōu	52-8683-B
dù fēi cí	38-49814-S
dù fǔ	33-9714-B
dù fǔ cǎo táng	33-9761-B
dù guò	22-63914-B,39-2386-B
dù guó dà dǎng	11-18852-S
dù guān huái	62-44899-S
dù gōng sī	33-16348-S
dù gǔ	43-10323-S
dù huí bō	34-16047-S
dù háng kōng gōng sī	11-19681-S
dù hé	11-19570-S,17-25650-S
dù héng	33-10114-B,33-10183-B
dù jià	22-63628-B,39-2079-B
dù jiào	11-19291-S
dù jiào tú	11-19360-S
dù jiān fáng méng	33-9574-B
dù jiǎn chá yí	37-26207-S
dù jué	33-9926-B
dù juān	33-10466-B
dù juān huā	33-10756-B
dù juān niǎo	33-10807-B
dù juān tí xuè	33-10590-B
dù juān zuò	33-10689-B
dù jì	18-34176-B,20-4429-S,39-21486-S
dù jī cháng	71-50126-S
dù jīn	64-49957-B
dù jīn shǔ	62-46887-S
dù jǐn zhāng	62-44813-S
dù kāng	33-9016-B
dù kǒu	33-8459-B,39-2145-B
dù kǒu guǒ zú	33-8508-B
dù liàng	22-63957-B
dù liàng héng	22-64029-B
dù lí	33-9321-B
dù lín lùn	11-50404-S
dù lún	39-2290-B
dù lún chuán	39-2330-B
dù lā	65-68417-S,65-68483-S
dù lǐ lùn	32-18969-S
dù mén	33-10292-B
dù mén bù chū	33-10354-B
dù mù	33-9649-B
dù niǎo	39-2183-S
dù néng hài xián	18-34224-B
dù ní xī yà	11-18939-S
dù ní xī yà yǔ	11-19011-S
dù pí wǔ	52-8922-B
dù qiū niáng gē	33-9851-B
dù qí	52-9014-B
dù qū	19-42092-S
dù rén	11-18704-S
dù rén mín dǎng	11-18763-S
dù rì	22-63713-B
dù rì rú nián	22-63768-B
dù shàng	15-35340-S
dù shàng bié	33-8838-B
dù shì	22-40350-S
dù shì xiàn	33-9374-B
dù shì xiàn tǐ	33-9469-B
dù shí bào	11-19504-S
dù shí qī	62-46823-S
dù shù	8-22366-S,22-63674-B
dù shǐ	48-28795-S
dù suō fū ren	33-10033-B
dù sè	33-8592-B
dù sāi ěr duō fū	33-8640-B
dù sī tǎn	11-19441-S
dù sōng zǐ jiǔ	33-9263-B
dù tòng	52-8876-B
dù tī dù	39-21357-S
dù wài	4-27069-S,50-52674-S
dù wēi	33-8725-B
dù wēi tiáo	62-65111-S
dù xiāng	17-31821-S
dù xué xí dào de	62-44728-S
dù xì shù	9-64195-S
dù xìng fèi shuǐ zhǒng	2-70610-S
dù xún hè	33-9972-B
dù yáng	11-19624-S
dù yín	64-49999-B
dù yī sī bǎo	33-8388-B
dù yīn yuè	11-19769-S
dù yīng cái	17-45840-S
dù yǔ	10-29372-S,33-8772-B
dù zhuàn	33-9095-B,58-61648-B
dù zhòng	33-8321-B
dù zhě	6-23152-S
dù zhī nà	11-19103-S
dù zhī nà bàn dǎo	11-19185-S
dù zhǐ shì fú	65-14529-S
dù zi	17-31772-S,20-37267-S,27-25179-S,52-8758-B,69-14151-S
dù zi tòng	52-8810-B
dù zī	43-10906-S
dù · bǐ háo ěr	59-24526-S
dù é	55-43401-S
dùn	4-33852-S,4-55495-S,4-56113-S,6-17825-S,7-17262-S,7-18442-S,8-65854-S,10-6409-S,11-8779-S,11-18554-S,13-37147-S,13-39600-S,14-14944-S,14-62719-B,15-58304-S,15-58671-S,18-49272-S,19-34558-S,19-43442-S,20-3172-S,22-17657-S,22-21249-S,22-58966-B,23-33133-S,24-779-S,24-27884-S,24-29007-S,24-55223-S,25-18568-S,26-50373-S,26-58699-B,30-16728-S,31-53086-S,32-14289-S,32-26426-S,33-46305-S,37-8188-B,37-37974-S,38-54362-S,38-63492-S,39-21099-S,39-21937-S,39-49442-S,40-29563-B,41-25786-B,41-49376-S,43-7856-S,45-32793-B,45-61335-S,45-62474-S,48-45820-S,49-7405-S,53-12531-S,53-47289-S,53-48614-S,54-7554-S,54-20168-S,54-35058-S,54-40949-S,57-24218-S,58-64017-S,62-34869-B,62-51403-S,62-67157-B,62-67907-S,62-67961-S,63-8582-S,64-21212-B,66-5876-S,66-50274-S,67-17516-S,68-31735-S,68-32433-B,69-8881-S,69-33933-S,69-48443-S,70-41428-S
dùn 5r	26-50414-S
dùn cuò	26-66888-S,68-32657-B
