安南區 安南区 [01\[ ān nán qū\]]	(n) annan (area in taiwan)
安南山脈 安南山脉 [01\[ ān nán shān mài\]]	old term for truong son ra 長山山脈|长山山脉
安卡拉 安卡拉 [01\[ ān kǎ lā\]]	ankara (capital of turkey)
安危 安危 [01\[ ān wēi\]]	safety and danger;safety
安可 安可 [01\[ ān kě\]]	encore (follow up music performance)
安史之亂 安史之乱 [01\[ ān shǐ zhī luàn\]]	an shi rebellion (755-763) of an lushan 安禄山 and shi siming 史思明
安吉 安吉 [01\[ ān jí\]]	(n) anji (place in zhejiang)
安哥拉 安哥拉 [01\[ ān gē lā\]]	angola
安國 安国 [01\[ ān guó\]]	(n) anguo (city in hebei)
安圖 安图 [01\[ ān tú\]]	antu county level city in yanbian korean autonomous prefecture 延邊朝鮮族自治州|延边朝鲜族自治州
