tongue twister	23-46684-B,50-40717-B
tongue viral disease of livestock	55-29620-S
tongue 成语 saw	11-67198-S,27-39841-S
tongued	59-35300-S
tongues spiritual gift	67-53010-B
tongwei place in gansu	62-10683-S
tongxiang city in zhejiang	34-5997-S
tongxin county in ningxia	12-47100-B
tongxu place in henan	62-13843-S
tongyu county in baicheng 白城	62-10099-B,62-10165-B
tongzhi	17-4082-S,17-6216-S
tongzhou district east of beijing	62-9560-B
tongzhou town east of beijing	62-9495-B
tongzi place in guizhou	34-5934-S
tonic	56-57191-B,56-59286-B
tonic or nourishing food to build up one s health	56-60200-S
tonic water	18-5531-B,39-14312-B
tonics to restore the patient s health	56-57428-S
tonight	4-22881-B
tonka beans	55-27150-B
tonkin	10-35869-S
tonkin region in vietnam	10-35652-B
tonkinensis vaillant small carp	60-26528-S
tonnage	14-39017-B,14-39155-B,14-39196-B
tonnage of a shipping fleet or company	50-32723-S
tonne	54-1941-B,54-1941-S
tons	1-3414-S,3-47641-S
tons of a passenger ship	14-39196-S
tonsil	26-30463-B,26-30584-B
tonsilitis	26-30516-B,26-30635-B
tonsure shaved head of buddhist monk	9-16107-B
too	2-2992-S,3-21403-B,4-36584-B,62-42853-B
too appalling to look at	6-44297-S
too bad	12-13172-S,39-9254-S,48-62985-B,62-45390-S
too bizarre	40-49341-S
too busy	17-59185-B,40-54530-B
too busy to attend to some business	24-45796-B
too busy to do sth	2-15004-S
too clever by half	51-64967-B
too close to home	45-14851-S,45-15577-S
too deceitful	8-369-S
too distant	1-74383-S
too early	31-13402-S,31-15660-S
too embarassing for words	46-42946-B
too embarrassed to say	2-3929-B
too encouraging	2-4089-S
too expensive	1-71998-B
too familiar nor too distant	1-74383-S
too far	60-19872-S,62-44635-S,67-63263-S
too far is as bad as not enough 成语 saw	62-47207-B
too far the other way	46-2764-S,46-2943-S
too far to be able to help	68-9087-B
too far 成语 saw	62-64661-S
too fat to move	52-47166-B
too few	62-44463-B
too generously	63-63836-S
