shi3 ling3 guan3	5-15759-B
shi3 ling4	17-57006-S
shi3 lu:e4	2-57951-S
shi3 ma2 bi4	5-16123-B
shi3 man3 yi4	5-14238-B
shi3 man4 yan2	5-15517-B
shi3 mi4 si1	22-17134-S
shi3 mi4 te4	12-21527-B,13-40301-S
shi3 mian3 chu2	5-13010-B
shi3 ming4	5-13351-B
shi3 mo2 fa3	5-16073-B
shi3 mo4	18-38658-B
shi3 mo4 te4 lai2	53-47522-S
shi3 neng2	4-44001-S,20-44051-S
shi3 neng2 gou4	5-16174-B
shi3 ni4 si3	5-14190-B
shi3 niao4 duo1	25-63967-S
shi3 nu4	5-14044-B
shi3 peng2 zhang4	5-15392-B
shi3 qian2	12-21032-B
shi3 qian2 ren2	12-21077-B
shi3 qian2 shi2 zhuo1	12-21138-B
shi3 ren2	9-36129-S,69-49782-S
shi3 ren2 jin4 bu4 jiao1 ao4 shi3 ren2 luo4 hou4	55-51582-S
shi3 ren2 luo4 hou4	55-51582-S
shi3 ren2 xin4 fu2	5-12840-B
shi3 rong2 yi4	5-13791-B
shi3 shang4	12-20662-B,35-51880-S
shi3 shen2 chai1	70-31065-S
shi3 sheng1 qi4	5-14398-B
shi3 shi1	12-22719-B
shi3 shi1 tou4	5-14297-B
shi3 shi1 wang4	5-13637-B
shi3 shi1 xing4	12-22772-B
shi3 shi2	12-21577-B
shi3 shou4 shang1	5-13236-B
shi3 shu1	12-21825-B
shi3 si1 ming2	12-21626-B
shi3 tu1	42-9857-S
shi3 tu2	5-13846-B
shi3 tu2 xing2 zhuan4	5-13886-B
shi3 tuan2	5-13584-B,69-35282-S,69-37807-S
shi3 wa3 ji4 lan2	12-22029-B
shi3 wu2 qian2 li4	12-21950-B
shi3 xi2 guan4	5-15240-B
shi3 xian4	14-64525-S
shi3 xin1 tong3	18-38592-B
shi3 xin4 fu2	5-12955-B
shi3 xing1 fen4	5-15453-B
shi3 xing4	35-52327-S
shi3 xiu1 kui4	5-15190-B
shi3 xue2	12-21226-B,35-52159-S
shi3 xue2 jia1	12-21274-B,35-52210-S
shi3 yan4 fan2	5-13184-B
shi3 yi3 lai2	32-30872-S
shi3 yi3 qian2	65-33178-S
shi3 ying4 hua4	5-15009-B
shi3 yong4	2-36802-S,5-14453-B,8-8257-S,24-17224-S
shi3 yong4 fang1 bian4	5-14597-B
shi3 yong4 jia4 zhi2	5-14528-B
shi3 yong4 liang4	5-14874-B
shi3 yong4 quan2	5-14685-B
shi3 yong4 zhe3	5-14744-B
shi3 yong4 zhe3 zhong1 jie4	5-14794-B
shi3 you1 jiu3	35-52380-S
shi3 yu2 le4	5-13693-B
shi3 yuan2	69-49831-S
shi3 zhe3	5-15293-B
shi3 zheng4	69-50022-S
shi3 zhi1 di4	45-53565-S
shi3 zhi2 zhao4	69-49882-S
shi3 zhi4	45-62887-B
shi3 zhi4 zhong1	53-4673-S,53-18227-S
shi3 zhong1	18-38851-B
shi3 zhong1 ru2 yi1	18-38918-B
shi3 zhou4 pian1	12-22222-B
shi3 zhuan3 xiang4	5-15571-B
shi3 zhuan4	12-20861-B
shi3 zhuan4 xiao3 shuo2	12-20917-B
shi3 zu3	18-38719-B
shi3 zu3 niao3	18-38793-B
shi3 zui4	5-15626-B
shi3 zuo4 ou3	5-12905-B
shi3 zuo4 yong3 zhe3	18-38317-B
