chuàn mén zi	3-1631-B
chuàn shāo	3-1370-B
chuàn tōng	3-1584-B
chuàn zi	64-44313-S
chuàng	8-24667-S,9-103-S,9-10574-B,9-34559-B,11-30779-S,25-9851-S,25-44205-B,42-18508-S,65-30538-S,69-21322-S
chuàng bàn	9-37695-B
chuàng bàn rén	9-37763-B
chuàng bàn zhě	9-37842-B
chuàng gōng sī	9-156-S
chuàng huì	9-35874-B
chuàng jià xué huì	9-35543-B
chuàng jiàn	9-36337-B,9-37374-B
chuàng jiàn xìng	9-37428-B
chuàng jì lù	9-37167-B,9-37492-B
chuàng jù tòng shēn	9-36214-B
chuàng jǔ	9-37228-B
chuàng kān	9-35688-B
chuàng kān hào	9-35763-B
chuàng lì	9-35822-B,9-36995-B
chuàng lì rén	9-37059-B
chuàng lì zhě	9-37113-B
chuàng pái zi	9-36836-B
chuàng shè	9-37553-B
chuàng shì	9-34721-B
chuàng shì jì	9-34807-B,9-34885-B
chuàng shì lùn	9-34951-B
chuàng shōu	9-36529-B
chuàng shǐ	9-36072-B
chuàng shǐ rén	9-36129-B
chuàng tóu jī jīn	9-36451-B
chuàng xià gāo piào fáng	9-34623-B
chuàng xìng	11-30850-S,65-30604-S
chuàng xīn	9-36580-B
chuàng xīn jīng shén	9-36672-B
chuàng yè	9-36743-B
chuàng yì	9-36396-B,9-37642-B
chuàng yōu	9-35627-B
chuàng yǒu tiān	45-16804-S
chuàng zhì	9-37279-B
chuàng zhě	69-21413-S
chuàng zuò	9-35019-B
chuàng zuò lì	9-35108-B
chuàng zuò zhě	9-35166-B
chuàng zào	9-37912-B,44-30134-S
chuàng zào lì	9-37984-B,32-30348-S
chuàng zào lùn	9-38178-B
chuàng zào xìng	9-38051-B
chuàng zào zhě	9-38123-B
chuái	52-47166-B
