ji2 de5	8-28737-S
ji2 di4	11-24815-S,11-42774-B
ji2 di4 hu2	34-34573-B
ji2 di4 qu1	36-49227-S
ji2 dian3	34-36347-B
ji2 dian4 zi3 fu2	12-42013-B
ji2 dian4 zi3 xue2 gong1 cheng2 shi1 lian2 he2 hui4	67-31416-S
ji2 dou4 zheng1	66-39963-S
ji2 du4	18-58496-B,34-34834-B
ji2 duan1	34-35698-B
ji2 duan1 fen4 zi3	34-35739-B
ji2 dui1	15-55904-S
ji2 duo1 dun4	13-39600-S
ji2 er3	2-42893-S,50-1422-S,63-19495-S,66-7729-S
ji2 er3 ji2 si1 zu2	12-41591-B
ji2 fa1	1-20769-S
ji2 fang1 cheng2 shi4	1-17340-S
ji2 fen1 hua4	7-46245-S
ji2 feng1	7-52421-S,44-7614-B
ji2 feng1 er2 shi4	11-42837-B
ji2 feng1 jing4 cao3	44-7683-B
ji2 feng1 zhi1 jing4 cao3	44-7881-B
ji2 fu2 kun4	59-56501-S
ji2 fu2 tu2	1-28294-S
ji2 ge2	1-74820-S,11-42530-B
ji2 ge2 ming4	59-52967-S
ji2 gong1	7-52246-S
ji2 gong1 jin4 li4	24-57735-B
ji2 gong1 zi1 zhi4	7-52325-S
ji2 gong4 zhen4	33-56385-S
ji2 gu3	52-31347-B
ji2 guan1 yuan2	70-19734-S
ji2 guan3	1-35862-S,3-36537-S,7-6786-S,40-4336-S,44-26595-S,66-58703-B
ji2 guan3 li3	35-12100-S
ji2 guan4	48-43607-B
ji2 guang1	34-34196-B
ji2 hao3	34-34729-B
ji2 he1 de2	16-2433-S
ji2 he2	1-9696-S,66-57004-B,71-42727-S
ji2 he2 lun4	66-57066-B
ji2 he2 ti3	66-57127-B
ji2 he2 wu3 qi4	10-48480-S,44-57070-S
ji2 hu1	17-31308-S
ji2 hua4	6-12805-S,16-58958-S,34-34359-B
ji2 huan4	24-38428-S
ji2 hui4	66-58379-B,71-44971-S
ji2 hui4 yi4	63-23708-S
ji2 huo3 liao3	24-32657-S
ji2 ji1	11-42687-B
ji2 ji4	8-37584-S
ji2 jia1	50-21727-S
ji2 jian4	17-59293-S
ji2 jiang1	11-24429-B
ji2 jiang1 lai2 lin2	11-24514-B
ji2 jiao3	34-35940-B
ji2 jie2	66-58921-B
ji2 jin3	66-60066-B
ji2 jing4	6-12958-S,34-35027-B
ji2 jiu3 dian4	3-50881-S
ji2 jiu4	24-58936-B
ji2 jiu4 zhan4	24-58998-B
ji2 ju1	66-57608-B
ji2 ju4	24-57691-B,49-23954-B,66-59104-B
ji2 jun1 guan1	70-20052-S
ji2 kan1	66-56925-B
ji2 ke3	11-24216-B
ji2 ke4	11-24155-B,16-16418-S
ji2 ke4 ren2	16-16490-S
ji2 ke4 si1 tan3	16-16557-S
ji2 ke4 zu2	16-16630-S
ji2 ku3	44-7430-B
ji2 la1 te4 bang1	12-1262-S
ji2 la1 yi1	54-9230-S
ji2 la4	34-36144-B
ji2 la4 de5 la4 jiao1 jiang4	34-36186-B
ji2 lao2 gong1	16-49910-S
ji2 le4 shi4 jie4	34-35223-B,57-18052-S
ji2 le5	34-20697-S,34-34094-B
ji2 li4	2-519-S,12-39116-B,34-34290-B
ji2 li4 hai3 xia2	54-1782-S
ji2 li4 ya4	66-7661-S
ji2 lian4 jie1	60-22820-S
ji2 liao3	25-13727-S,47-23525-S
ji2 liao4	66-58288-B
ji2 lie4	12-39077-B
ji2 liu2	24-59395-B
ji2 long3	66-58111-B
ji2 lu4	37-52863-S
ji2 lu:4 guang1 jing4	6-12872-S
ji2 luan4 tou2 yi1	44-9959-S
ji2 mang2	24-58293-B
ji2 mao4	66-59550-B
ji2 mie4 dao4	54-303-S
ji2 mu4 yuan3 wang4	34-35617-B
ji2 na4	66-58860-B
ji2 nan2	34-34450-B
ji2 ni2 si1	12-39836-B
ji2 ni2 ya4	5-3377-S,57-17179-S
ji2 ni2 ya4 zhou1	23-31556-S,57-17254-S
ji2 niao3	25-33955-S
ji2 pai1 pai1	24-58868-B
ji2 pai4	24-59355-B
ji2 pi2 dong4 wu4	34-22346-B
ji2 po4	24-60202-B
ji2 pu3 che1	12-40444-B
ji2 pu3 sai1 ren2	12-40216-B
ji2 pu3 sai4 ren2	12-40385-B
ji2 qi2	11-42332-B,34-34249-B
ji2 qi4	50-21605-S
ji2 qiang2 guo2	60-22407-S
ji2 qie4	24-57582-B
ji2 qu3	36-64579-B
ji2 quan1	10-32580-S
ji2 quan2	2-66421-S,2-67883-S,7-51904-S,17-59600-S,66-58585-B
ji2 quan2 zhu3 yi4	34-35329-B
ji2 qun2	66-59032-B
ji2 ren2	35-63291-S
ji2 ren2 lian2 he2 hui4	2-59889-S
ji2 ri4	11-24647-B,12-40124-B,53-43340-S
ji2 ru2 xing1 huo3	24-58146-B
ji2 san4	66-58166-B
ji2 san4 di4	66-58226-B
ji2 sha1	54-1863-S
ji2 sha1 che1	24-57630-B
ji2 shao3	7-1405-S
ji2 she2	24-57906-S
ji2 she4 xian4 guan3	66-24581-S
ji2 shen1 yan2 ji3	34-35399-B
ji2 sheng1	60-44892-S
ji2 sheng1 bei1	34-49233-S
ji2 shi2	11-24773-B,11-42460-B
ji2 shi2 ji2 di4	11-24815-B
ji2 shi2 tong1 xun4	11-24884-B
ji2 shi3	11-24050-B
ji2 shi4	9-32145-S,15-43987-S,23-16510-S,50-21666-S,50-26421-S,61-26099-S,66-39907-S,66-57665-B
ji2 shi4 chang3	60-22338-S
ji2 shi4 jian4	50-14399-S
ji2 shi4 mao4 yi4	66-57716-B
ji2 shou3	34-22284-B
