ling4 liu2 yu4	16-29346-S
ling4 mi4 xin1 huan1	12-7123-B
ling4 ming2 zi4	27-57417-S
ling4 pai2 huan2	4-35161-B
ling4 pai2 huan2 wang3	4-35218-B
ling4 qi3 lu2 zao4	12-7259-B
ling4 qiang1	44-26086-S
ling4 ren2	4-33981-B
ling4 ren2 bu4 kuai4	4-34113-B
ling4 ren2 fa4 zhi3	4-34664-B
ling4 ren2 gu3 wu3	1-67151-S,4-34796-B
ling4 ren2 jing1 yi4	4-34595-B
ling4 ren2 qin1 pei4	4-34450-B
ling4 ren2 tan4	4-34194-B
ling4 ren2 tan4 wei2 guan1 zhi3	4-34251-B
ling4 ren2 zhen4 fen4	4-34366-B
ling4 ren2 zhen4 jing1	4-34516-B
ling4 shi2	16-40175-S
ling4 tang2	4-34873-B,4-34990-S
ling4 tian1 xia4	28-1260-S
ling4 wai4	12-6782-B
ling4 xing2	47-812-S
ling4 xing2 jin4 zhi3	4-35506-B
ling4 yan3 xiang1 kan4	12-7042-B
ling4 yi1	12-6507-B
ling4 yi1 ban4	12-6548-B
ling4 yi1 fang1 mian4	12-6633-B
ling4 yi1 zhong3	12-6723-B
ling4 ying2	16-40253-S
ling4 yong4	12-6997-B
ling4 yuan2	12-23823-S
ling4 zhu1 hou2	28-1416-S
ling4 zhuang4	4-35295-B,60-63755-S
ling4 zun1	4-34932-B
ling4 zun1 ling4 tang2	4-34990-B
ling5 dang1 lang1	1-25915-S
