ān prefecture level city in shǎnxī 陝西 陕西	23-16662-S
ānkāng prefecture level city in shǎnxī 陝西	19-27694-B,19-27917-B
ěr subprefecture level city in west xinjiang	66-4502-S,66-4623-S
ŋ produced in the nose with the back of the tongue against the soft palate	24-3194-S
šumer	55-40780-S
švejk schweik	18-26775-S
αα	66-8167-S
ββ	59-29294-S
γγ	4-64073-S
δδ	24-8449-S
εε	4-49592-S,53-47441-S
ζζ	26-15754-S,40-1462-S
ηη	4-48114-S,53-47028-S
θθ	57-14843-S
ιι	49-4723-S
κκ	11-13876-S
λλ	55-44620-S,55-44689-S
μμ	48-45702-S,50-39292-S
νν	49-18513-S
ξξ	7-18929-S,12-12292-S
οο	18-15908-S
ππ	38-350-S
ρρ	33-43804-S
σσ	57-18644-S,57-18825-S
υυ	19-21176-S,42-30181-S
φφ	23-31697-S,30-32084-S
χχ	8-29610-S
ψψ	31-51134-S,31-51303-S
ωω	18-15841-S,35-30615-S
…	23-62348-S
…… punct	45-34507-S
≠	2-23746-S
── punct	46-17541-S
□ punct used to represent an unreadable character	55-53645-S
☯	17-59378-B
、 punct used to separate items in a list	68-32985-S
」	27-47221-S
ひらがな	22-37475-S
ウルトラマン	18-15681-S
カタカナ	41-44041-S
デスノート	35-56487-S
一下	1-556-S
一个劲	1-2287-S
一併 一并	1-1004-S
一個勁 一个劲	1-2287-S
一块	1-5275-S
一塊 一块	1-5275-S
一大早	1-5913-S
一并	1-1004-S
一点	1-23595-S,71-37621-S
一點 一点	1-23595-S,71-37621-S
丁韙良 丁韪良	12-47846-S
丁韪良	12-47846-S
七言律詩 七言律诗	1-27857-S
七言律诗	1-27857-S
丈 zhang1	23-27332-S
三伏 sān fú	8-34980-S
三叠纪	1-43159-S
三国演义 in which liu bei 劉備 刘备 recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
三國演義 三国演义 in which liu bei 劉備 刘备 recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
三浦·梅园	6-53205-S
三浦·梅園 三浦·梅园	6-53205-S
三略	7-69782-S,17-56181-S
三疊紀 三叠纪	1-43159-S
三皇 and five emperors 五帝 of myth and legend	1-38373-S
三重奏	63-57487-S
上下文	9-20103-S
上海汽車工業集團 上海汽车工业集团	1-51313-S
上海汽车工业集团	1-51313-S
上边	1-56710-S
上邊 上边	1-56710-S
上饒 上饶	1-57648-S,18-55345-S,18-55418-S,23-15064-S,23-15143-S,23-24913-S,23-24986-S,24-28036-S,24-28120-S,35-7821-S,35-7898-S,42-30023-S,42-30096-S,54-44911-S,54-45210-S,63-35456-S,63-35584-S,64-23954-S,64-24031-S,69-15447-S,69-15518-S
上饒市 上饶市	5-43782-S,5-43887-S
上饶	1-57648-S,18-55345-S,18-55418-S,23-15064-S,23-15143-S,23-24913-S,23-24986-S,24-28036-S,24-28120-S,35-7821-S,35-7898-S,42-30023-S,42-30096-S,54-44911-S,54-45210-S,63-35456-S,63-35584-S,64-23954-S,64-24031-S,69-15447-S,69-15518-S
上饶市	5-43782-S,5-43887-S
下边	1-63711-S
下邊 下边	1-63711-S
不	71-64204-S
不 and 用	43-36763-S
不大离	2-3147-S
不大離 不大离	2-3147-S
不好	19-15884-S
不置可否	32-59024-S
丑	2-37244-S
专	20-34795-S
世外桃源	34-3116-S
世外桃花源	2-38318-S,34-3498-S
世界卫生组织	2-41953-S
世界衛生組織 世界卫生组织	2-41953-S
世界貿易組織 世界贸易组织	2-42233-S
世界贸易组织	2-42233-S
世界銀行 世界银行	2-42503-S
世界银行	2-42503-S
业余大学	34-32411-S
东周 1046 771 bc and western zhou 西周 770 221 bc	13-12517-S
东方红	29-64167-S
东突厥斯坦解放组织 east turkestan liberation organization etlo	33-22295-S,33-22883-S
东边	33-24875-S
丝绸之路	49-55194-S
两	2-46095-S,64-25499-S
两三百	34-37475-S
两个	5-51743-S
两头	7-48323-S
两江 and 两湖	36-59731-S
两湖	36-59731-S
严	11-37253-S
个 classifier	3-28609-S
个 ge4	33-58331-S,50-42830-S,54-17442-S,65-21183-S
丫头	2-48481-S,2-48657-S,2-48741-S
丫頭 丫头	2-48481-S,2-48657-S,2-48741-S
中伏	3-32468-S
中共中央紀律檢查委員會 中共中央纪律检查委员会	2-78378-S
中共中央纪律检查委员会	2-78378-S
中华人民共和国	17-38805-S
中南半岛	2-51862-S,11-19831-S
中南半島 中南半岛	2-51862-S,11-19831-S
中国人民银行	17-63709-S
中国光大银行	7-7805-S
中国共产党中央委员会宣传部	2-66210-S,2-68810-S
中国文学艺术界联合会	2-58971-S,30-30362-S
中国残疾人联合会	2-60037-S
中国联通	51-63154-S
中国银行	2-81256-S
中国青年报	3-68-S
中國人民銀行 中国人民银行	17-63709-S
中國文學藝術界聯合會 中国文学艺术界联合会	2-58971-S,30-30362-S
中國殘疾人聯合會 中国残疾人联合会	2-60037-S
中國聯通 中国联通	51-63154-S
中央研究院 when it was founded	29-54644-S
中央銀行 中央银行	17-63709-S
中央银行	17-63709-S
中華人民共和國 中华人民共和国	17-38805-S
丰	59-18639-S
丰功伟绩	59-19518-S
丰采 or 風采 风采	59-20682-S
临夏回族自治州	52-56943-S
临猗县	4-35337-S
为	41-40600-S,41-40742-S
为什么	40-32055-S
丽江	42-32516-S
丽江 in northwest yunnan	33-18153-S
丽江市	47-29795-S
举	27-67406-S
久保带人	35-58882-S
久保帶人 久保带人	35-58882-S
么	71-16558-S
义和团	59-3214-S
之 and 无	43-56589-S
乌恰县	40-38909-S,40-39084-S
乌鲁克恰提 in xinjiang	51-29016-S
乐	34-36830-S
乐府 mourning song or elegy	63-15044-S
乔治敦 is more common	14-15186-S
乘	3-12314-S
乙型脑炎	3-16784-S
乙醇	63-40405-S
九一八事变	27-5334-S,33-49592-S
九一八事變 九一八事变	27-5334-S
九宫山 nature reserve	65-52647-S
九江	3-19954-S,5-48284-S,5-48352-S,23-57669-S,23-57735-S,24-24966-S,24-25029-S,31-29073-S,31-29139-S,35-46120-S,35-46186-S,36-48786-S,36-48854-S,39-10948-S,39-11012-S,42-61884-S,42-61965-S,63-27416-S,63-27484-S
