逛 逛 [01\[ guàng\]]	to stroll;to visit
逛街 逛街 [01\[ guàng jiē\]]	to take a walk;to window-shop;to stroll down the street
逛逛 逛逛 [01\[ guàng guang\]]	to roam around;to have a stroll
逝 逝 [01\[ shì\]]	depart;die
逝世 逝世 [01\[ shì shì\]]	to pass away;to die
逝去 逝去 [01\[ shì qù\]]	elapse
逞 逞 [01\[ chěng\]]	please oneself;presume on;boast
速 速 [01\[ sù\]]	fast;rapid;quick
速凍 速冻 [01\[ sù dòng\]]	quick-freeze
速寫 速写 [01\[ sù xiě\]]	quick sketch
速射 速射 [01\[ sù shè\]]	rapid-fire
速度 速度 [01\[ sù dù\]]	speed;rate;velocity
速成 速成 [01\[ sù chéng\]]	crash course;intensive course
速效 速效 [01\[ sù xiào\]]	quick results
速效性毒劑 速效性毒剂 [01\[ sù xiào xìng dú jì\]]	quick-acting agent
速決 速决 [01\[ sù jué\]]	quick decision
速率 速率 [01\[ sù lǜ\]]	speed;rate
速行 速行 [01\[ sù xíng\]]	rush
速記 速记 [01\[ sù jì\]]	shorthand
速記員 速记员 [01\[ sù jì yuán\]]	stenographer
速調管 速调管 [01\[ sù tiáo guǎn\]]	klystron (electronic tube used to produce high frequency radio waves)
速遞 速递 [01\[ sù dì\]]	courier
速食店 速食店 [01\[ sù shí diàn\]]	fast food shop
速食餐廳 速食餐厅 [01\[ sù shí cān tīng\]]	fast food shop
速食麵 速食面 [01\[ sù shí miàn\]]	instant noodles
造 造 [01\[ zào\]]	to make;to build;to invent;to manufacture
造價 造价 [01\[ zào jià\]]	construction cost
造反 造反 [01\[ zào fǎn\]]	rebel;revolt
造反派 造反派 [01\[ zào fǎn pài\]]	rebel faction
造句 造句 [01\[ zào jù\]]	sentence-making
造型 造型 [01\[ zào xíng\]]	modeling;to mold
造型藝術 造型艺术 [01\[ zào xíng yì shù\]]	plastic arts (e.g. sculpture)
造就 造就 [01\[ zào jiù\]]	build up
造山 造山 [01\[ zào shān\]]	mountain building (geol.);orogenesis
造山作用 造山作用 [01\[ zào shān zuò yòng\]]	orogeny (geol.
造山帶 造山带 [01\[ zào shān dài\]]	orogenic belt (geol.
造山運動 造山运动 [01\[ zào shān yùn dòng\]]	mountain building (geol.);orogenesis
造岩礦物 造岩矿物 [01\[ zào yán kuàng wù\]]	rock-forming mineral
造成 造成 [01\[ zào chéng\]]	to bring about;to create;to cause
造成問題 造成问题 [01\[ zào chéng wèn tí\]]	to create an issue;to cause a problem
造林 造林 [01\[ zào lín\]]	forestation
造橋鄉 造桥乡 [01\[ zào qiáo xiāng\]]	(n) tsaochiao (village in taiwan)
造物主 造物主 [01\[ zào wù zhǔ\]]	the creator (in christianity or mythology);god
造紙 造纸 [01\[ zào zhǐ\]]	paper-making
造繭自縛 造茧自缚 [01\[ zào jiǎn zì fú\]]	to spin a cocoon around oneself (成语 saw); enmeshed in a trap of one's own devising;hoist with his own petard
造船 造船 [01\[ zào chuán\]]	shipbuilding
造船廠 造船厂 [01\[ zào chuán chǎng\]]	dockyard;shipyard
造血 造血 [01\[ zào xuè\]]	to make blood (function of bone marrow)
造血幹細胞 造血干细胞 [01\[ zào xuè gàn xì bāo\]]	blood generating stem cells (in bone marrow)
造謠 造谣 [01\[ zào yáo\]]	to start a rumor
逡 逡 [01\[ qūn\]]	shrink from
逢 逢 [01\[ féng\]]	every time;meet by chance
連 连 [01\[ lián\]]	surname lian;even;as;join;to link;successively
連串 连串 [01\[ lián chuàn\]]	repeated;a series of (accidents)
連任 连任 [01\[ lián rèn\]]	continue in (a political) office;serve for another term of office
連係 连系 [01\[ lián xì\]]	same as 聯繫|联系;connection;contact;relation;(in) touch (with);to integrate;to link
連係詞 连系词 [01\[ lián xì cí\]]	copula (grammar
連南瑤族自治縣 连南瑶族自治县 [01\[ lián nán yáo zú zì zhì xiàn\]]	liannan yao autonomous county in qingyuan 清远
連南縣 连南县 [01\[ lián nán xiàn\]]	liannan yaozu autonomous county in qingyuan 清远
連同 连同 [01\[ lián tóng\]]	together with;along with
連坐 连坐 [01\[ lián zuò\]]	to implicate and punish also the criminal's associates
連城 连城 [01\[ lián chéng\]]	liancheng county level city in longyan 龍岩|龙岩
連城縣 连城县 [01\[ lián chéng xiàn\]]	liancheng county in longyan 龍岩|龙岩
連夜 连夜 [01\[ lián yè\]]	the same night;that very night;before this night is out
連天 连天 [01\[ lián tiān\]]	for days in succession
連奔帶跑 连奔带跑 [01\[ lián bēn dài pǎo\]]	to run quickly;to rush;to gallop
連字符 连字符 [01\[ lián zì fú\]]	hyphen
連字符號 连字符号 [01\[ lián zì fú hào\]]	hyphen
連宵 连宵 [01\[ lián xiāo\]]	the same night;that very night;successive nights
連寫 连写 [01\[ lián xiě\]]	connected handwriting;joined up writing (as opposed to block capitals)
連山 连山 [01\[ lián shān\]]	lianshan district of huludao city 葫蘆島市|葫芦岛市
連山區 连山区 [01\[ lián shān qū\]]	lianshan district of huludao city 葫蘆島市|葫芦岛市
連山壯族瑤族自治縣 连山壮族瑶族自治县 [01\[ lián shān zhuàng zú yáo zú zì zhì xiàn\]]	lianshan zhuang and yao autonomous county in qingyuan 清远
連山縣 连山县 [01\[ lián shān xiàn\]]	lianshan zhuang and yao autonomous county in qingyuan 清远
連州 连州 [01\[ lián zhōu\]]	lianzhou county level city in qingyuan 清远
連州市 连州市 [01\[ lián zhōu shì\]]	lianzhou county level city in qingyuan 清远
連巹 连卺 [01\[ lián jǐn\]]	to share nuptial cup;fig. to get married
連平 连平 [01\[ lián píng\]]	(n) lianping (place in guangdong)
