nián xiàn	22-50403-B,54-45210-S
nián xián zi	71-27866-B
nián xiān fēng duì	2-58094-S
nián xiōng	22-47473-B
nián xìng	48-50608-B,71-27769-B
nián xìng chī dāi zhèng	51-27887-S
nián xìng lì	48-50653-B
nián xī	22-48761-B
nián yuè	22-48859-B
nián yè	22-48043-B,48-50734-B,71-27925-B
nián yè bìng dú	9-33796-S
nián yè fàn	22-48098-B
nián yì	22-49485-B
nián yì shòu	23-17304-S
nián yòu	22-48525-B
nián yú gǔ xī	22-49995-B
nián yī dù	36-5450-S
nián yǐ cuō tuó	22-48329-B
nián yǐ lái	16-57076-S,22-47279-B
nián yǒu	22-47759-B
nián zhuó	71-28519-B
nián zhuó lì	71-28617-B
nián zhuó yǔ	71-28686-B
nián zhì de dà xué	14-49683-S
nián zhù	71-27550-B
nián zhě	26-9773-S,32-58218-S
nián zhī jiǔ	22-47037-B
nián zhōng	22-46992-B,22-49286-B
nián zhǎng	22-50209-B,32-20294-S
nián zī	22-49569-B
nián zūn	22-48171-B
nián zǎi	22-49631-B
niáng	17-14164-S,17-46138-S,18-50440-B,18-50482-S,18-61863-B,18-62852-B,18-62892-S,19-809-S,30-46676-S,35-35764-S,42-35563-S,49-9237-S,51-26350-S
niáng gē	33-9851-S
niáng jiā	60-11041-S
niáng miào	18-62950-S
niáng niáng	17-46138-S,18-50482-B,18-62892-B,19-809-S,35-35764-S,42-35563-S
niáng niáng miào	18-62950-B
niè	7-25076-S,8-13839-S,9-22113-S,13-15207-S,14-10883-B,14-40428-B,14-43718-B,14-45178-B,18-34765-S,19-19904-B,29-3265-B,30-5703-B,35-17309-B,38-21515-S,38-28110-B,39-15377-B,49-1097-B,51-67727-B,53-15881-B,53-17895-B,55-43829-B,60-54411-B,64-55702-B,65-8085-B,65-51801-B,66-38255-B,68-52886-B,69-15315-S,71-56345-B
niè bái	39-15414-B
niè chǐ	14-40455-B
niè chǐ dòng wù	14-40502-B
niè chǐ lèi	14-40637-B
niè chǐ mù	14-40571-B
niè cí kè	68-32924-S
niè dí gé	23-2711-S
niè dí gé zhōu	23-2791-S
niè fū	9-64932-S,21-24046-S,50-58899-S
niè gǔ	68-53031-B
niè hǎi huā	19-19945-B
niè jiǎo	60-54450-S
niè kē sī	22-21089-S
niè lā mù	51-67769-B
niè pán	38-28181-B,38-28503-B
niè pán jīng	17-21660-S,17-33076-S,38-28231-B
niè róng	51-67860-B
niè rú	14-43814-B,60-28420-S,60-30697-S,68-52966-B
niè shā	33-67594-S
niè shǒu niè jiǎo	60-54450-B
niè sī kè	68-32842-S
niè tiè	14-43770-B
niè wèi píng	51-67974-B
niè wǎ	38-28333-B
niè wǎ hé	38-28413-B
niè yǎng	53-15920-B
niè yǎo	71-56384-B
niè zhī	35-17374-B
niè zi	65-8184-B
niè ā sī	15-59189-S
niè ā sī jì	15-59247-S
niè ěr	51-67923-B
nié	54-5232-B
niù	27-37991-B
niú	2-37203-S,3-22679-S,7-61782-S,9-44190-S,13-5944-S,15-31540-S,17-51079-S,18-24188-S,20-67599-S,20-67688-S,36-4094-S,36-17475-S,36-27403-S,36-44161-S,38-22352-S,41-47344-B,41-51631-S,41-64050-S,41-64174-S,42-1061-S,45-17560-S,45-43238-S,51-9872-S,54-29884-S,56-9584-S,56-9623-S,64-3894-S,70-29120-S,71-10518-S,71-21604-S
niú bìng	42-4786-S,44-17151-S
niú bī	41-47531-B
niú chōng dòng	36-56606-S
niú chǎng	18-24240-S
niú dòu	41-48167-B
