lexicography	61-36740-B
light	1-5821-S,1-69436-S,4-4190-B,4-4227-B,4-4227-S,4-4227-S,6-11541-S,6-12408-S,6-12408-S,6-12745-S,6-49794-B,6-61125-S,6-61236-S,7-6723-B,7-8026-S,7-9413-S,7-11035-S,7-11992-B,7-12996-S,7-13383-S,7-13436-S,8-50048-S,12-7042-S,16-31538-S,20-52497-S,23-35453-S,23-51277-S,24-68348-S,31-5491-S,31-17717-S,31-38235-S,31-55771-S,31-59749-S,32-1376-S,34-55049-S,37-25839-S,38-43841-B,40-43548-B,41-7320-S,41-7813-S,41-11847-S,41-23591-S,41-24893-B,41-24953-B,41-25275-S,41-33589-S,43-64882-S,43-64997-S,44-42106-S,45-61721-S,46-44653-S,49-11054-S,49-12231-S,49-28198-S,49-28392-S,49-65681-S,52-16828-S,52-16828-S,52-16828-S,53-34118-S,53-34186-S,53-34186-S,55-17811-B,55-18787-S,56-12679-S,57-10543-S,59-16709-S,60-42991-S,61-9559-B,61-10019-B,61-12123-B,64-51731-S,65-25373-S,67-32443-S,67-50765-S
light a blaze	71-38199-S
light a fire	23-29029-S,23-29222-S,41-36746-B,43-23056-S,71-40529-S
light a fire for cooking	41-26752-S
light a lamp	27-65702-S
light and airy	55-54519-B
light and airy feeling after a few drinks	68-61851-B
light and convenient	61-9671-B
light and graceful	61-11492-B
light and nurture in the dark 成语 saw	68-13305-S
light and quick	61-10092-B
light and shade	68-51088-B
light around the buddha	67-50765-S
light around the sun or moon	31-7780-S
light as a feather	61-13584-B
light as a feather and ascend to heaven	51-15546-S
light at the end of the tunnel	66-42628-S
light breakfast	31-15934-B
light bulb	41-25099-B,57-740-S,67-25955-S,67-32493-B,67-32637-B
light carriage	61-5726-B,61-17280-B
light cigarette etc	49-22683-S
light color	38-57019-B,38-57528-B
light diesel fuel	10-44917-S
light district	41-3273-S,41-3405-S,49-11099-S
light e g in theater	51-53510-S
light element	61-9819-B
light emitting diode	7-6786-B,44-26595-B
light flux	38-3733-S
light for a cigarette	6-553-S
light for photography	65-24789-S
light from the rising moon	32-52078-B
light green	13-34633-B
light in august novel by william faulkner 威廉·福克納 威廉·福克纳	7-51768-B
light in color	38-43245-B
light industry	61-9959-B
light machine gun	61-10808-B,61-10872-B
light manual labor only	10-55258-S
light music	61-13474-B
light of	5-25497-S,27-61646-S,27-62634-S,36-11059-S,65-6700-S
light of buddha	6-37664-S
light of dawn	32-3757-S
light of day	4-4679-S,32-3723-B
light of day 成语 saw	7-7890-S
light of difficulties and dangers	2-35581-S
light of firefly	56-12679-B,56-12820-B
light of food	38-63060-B
light of the sun	31-43073-B
light of torch	40-42808-S
light of traveling a thousand li	2-34985-S
light on one s feet	61-10287-B
light or heavy 成语 saw	13-63687-S
light pen	7-11681-B
light petroleum product	61-12335-B
