fire in bursts	71-39035-S,71-40830-S
fire innuendo	66-47205-S
fire line	6-16938-S
fire lizard	40-24308-B
fire manufacturing process	41-26272-S
fire of a stove	41-35602-S
fire of war	26-18856-S
fire of war in all four directions 成语 saw	40-43732-S
fire pit	15-42711-B
fire pots and smelt metal	66-31120-S
fire pottery	41-27213-S
fire proof	51-36926-B
fire proof stone	51-36711-B
fire resistant	51-36641-B
fire seismic zone surrounding the pacific	40-23442-S
fire succession	62-22912-S
fire tea	40-41167-S,40-44917-S
fire that burns buildings etc	40-22169-B
fire to burn the grass 成语 saw	27-44494-S
fire to dry wood 成语 saw	40-33994-S
fire to hit a mosquito	17-26443-S
fire to make it burn slowly	20-33725-S
fire to rob 成语 saw	60-19437-S
fire tongs	40-24823-B
fire warning shots	70-52892-S
fire with artillery	26-47417-S
fire 成语 saw	18-31059-S,27-13649-S,40-19642-S,69-0-S
fire 谚语 proverb	45-45231-S,45-45406-S
firearm	23-47765-S,34-44101-B,34-45156-B,40-20428-B,40-21807-S
firearms in historical context	40-21807-B
firebird	70-57630-B
firebreak by setting a counter fire	61-45652-S
firebrick	51-36796-B
firecracker	40-30191-B,41-34871-B,53-58193-B
firecrackers	29-52335-S,29-53349-S,68-8799-B,68-8799-S
firecrackers etc	41-23591-S
fired	40-29355-S
fired with enthusiasm	25-40522-B
firefighting	29-16485-B,39-26576-B
firefly	42-17428-B,55-57642-S,56-12562-B,56-12679-S,56-12742-B,56-12820-S,56-12820-B
firefox	20-67389-B
firefox web browser	40-23388-B
fireman	38-33253-S,38-33578-B
fireplace	16-31595-B
firepower	40-20252-B
fireside	41-35692-B
firestone tire company	8-29002-B
firewall	40-23344-B,65-62261-B
firewall of china internet censorship	65-62317-S
firewood	32-53224-S,33-50859-B,33-51088-B,33-51230-B,34-60076-B,52-54964-S,53-63394-S
firewood on one s back	11-53653-S
firewood to put out a fire 成语 saw	27-13649-S
firewood 成语 saw	33-13633-S
