he4 di2 jun1	63-8986-S
he4 ding4 li3	71-27320-S
he4 hua4	40-25055-S
he4 jie2 lie4 fu1	9-4499-S
he4 jing4	18-3936-S
he4 ka3	59-49716-B
he4 le4 na2 dao3	51-51843-S
he4 lei1 na2	51-51778-S
he4 liang2	44-49972-S
he4 liu4	12-30721-S
he4 lou2	71-25597-S
he4 lu3	21-14493-S
he4 lu3 xue3 fu1	60-9221-B
he4 man4 ni2 nuo4 fu1	27-25835-S
he4 mei2	57-7203-B
he4 na4	11-13469-S
he4 nan2 tian2	25-53101-S
he4 nian2 ka3	59-50003-B
he4 nian2 pian4	59-50069-B
he4 qu4	13-16856-S
he4 ren2 wu4	68-52532-S
he4 se4	57-7254-B
he4 shang4 Yang2 zhou1	69-52984-S
he4 sheng1	14-40195-B
he4 shu4	33-63676-S,69-42395-S
he4 si1	11-8710-S
he4 te4	69-38720-S
he4 xi1 you2	60-40427-S
he4 xin1 chun1	30-12577-S
he4 xin1 xi3	25-4587-S
he4 xiong2	49-18220-S
he4 zi1	10-50541-S
he4 zuo4	17-55408-S
he5	12-30965-S,52-21815-S,55-19834-S,68-22717-S,69-30758-S
he5 you2	55-19886-S
hei	6-26965-S,9-16665-S,14-33501-B,23-62749-S,25-46617-S,29-3774-S,37-23999-S,39-44000-S,45-61801-S,59-12833-S,71-28837-B,71-34512-B,71-37556-S,71-43615-S
hei ai xing	71-32032-B
hei an	71-30309-B
hei bai	38-54784-S,68-45759-S,71-31673-B
hei bai dian shi	71-31749-B
hei ban	71-30431-B
hei bu liu qiu	71-28941-B
hei cha biao zi	71-32877-B
hei che	71-33339-B
hei cu li	71-33427-B
hei dian	65-44346-S,71-29935-B
hei diao	71-33280-B
hei dong	71-31212-B
hei er	29-26751-S
hei fa	71-33840-B
hei fei bing	71-32451-B
hei ge er	71-30571-B
hei gui	71-33888-B
hei guo	52-18967-S
hei hu jiao	71-32582-B
hei hu quan	71-33113-B
hei hua	71-33202-B
hei huan	71-34021-B
hei ji su	61-63283-S
hei ji yuan hun	71-32313-B
hei jia lun	71-29101-B
hei jing he	71-33482-B
hei ke	71-29509-B
hei lan	24-29267-S
hei ma	71-33578-B
hei mei	71-31407-B,71-32951-B
hei mei fu she	71-31824-B
hei mei yu	71-31451-B
hei mei zi	71-32995-B
hei men ni de wang chao	66-14347-S
hei ming dan	71-29221-B
hei mu er	71-30362-B
hei niao zheng	71-29650-B
hei qian	37-55315-S
hei ren	46-1835-S,71-29012-B
hei se	40-40223-S,71-32639-B
hei se jin shu	71-32741-B
