Suo fei ya da jiao tang	51-49957-S
Suo fu ke le si	49-27141-B
Suo fu ke li si	49-27226-B
Suo ge la te si	49-26726-B
Suo li ya	49-27862-B
Suo luo ba bo	26-29325-B
Suo luo men	26-29408-B,49-27520-B
Suo luo men qun dao	26-29467-B
Suo luo si	49-27423-B
Suo luo ya si de	43-129-B
Suo luo ya si de jiao	43-202-B
Suo ma li	49-27981-B
Suo ni	49-26578-B
Suo qi	49-26506-B
Suo xian	49-27369-B
Suo xu er	49-27311-B
Suo ya li xian ji	39-14708-S
Suo3	49-26010-B
Suo3 Guo2	49-26306-B
Suo3 bang1 da4 xue2	49-27773-B
Suo3 duo1	26-27996-B
Suo3 duo1 ma3	26-28034-B,49-26355-B
Suo3 duo1 ma3 yu3 E2 mo2 la1	26-28096-B
Suo3 duo1 ma3 yu3 Ha1 mo2 la4	49-26404-B
Suo3 er3	49-26860-B
Suo3 er3 zi1 bo2 li3 ping2 yuan2	49-26920-B
Suo3 er3 zi1 bo2 li3 shi2 huan2	49-27022-B
Suo3 fei1 ya4	49-27597-B,51-49867-S
Suo3 fei1 ya4 da4 jiao4 tang2	51-49957-S
Suo3 fu2 ke4 le4 si1	49-27141-B
Suo3 fu2 ke4 li3 si1	49-27226-B
Suo3 ge1 la1 te4 si1	49-26726-B
Suo3 li3 ya4	49-27862-B
Suo3 luo2 ba1 bo2	26-29325-B
Suo3 luo2 men2	26-29408-B,49-27520-B
Suo3 luo2 men2 qun2 dao3	26-29467-B
Suo3 luo2 si1	49-27423-B
Suo3 luo2 ya4 si1 de2	43-129-B
Suo3 luo2 ya4 si1 de2 jiao4	43-202-B
Suo3 ma3 li3	49-27981-B
Suo3 ni2	49-26578-B
Suo3 qi4	49-26506-B
Suo3 xian4	49-27369-B
Suo3 xu4 er3	49-27311-B
Suo3 ya4 li4 xian3 ji4	39-14708-S
Ta	47-6736-B
Ta cheng	16-16750-B
Ta cheng di qu	16-16815-B
Ta er si	16-17852-B
Ta he	16-17788-B
Ta ji ke	16-16418-B
Ta ji ke ren	16-16490-B
Ta ji ke si tan	16-16557-B
Ta ke la ma gan	16-16031-B
Ta ke la ma gan sha mo	16-16121-B
Ta li mu	16-18224-B
Ta li mu he	16-18051-B
Ta li mu pen di	16-18302-B
Ta lun	51-45546-S
Ta ma	18-25869-B
Ta ma er	16-17916-B
Ta na na li fo	16-18126-B
Ta shi gan	16-15955-B
Ta si ke la	16-17513-B
Ta si ma ni ya zhou	16-17593-B
Ta si she	16-17427-B
Ta ta er	16-17038-B
Ta ta r	16-16915-B
Ta ta r ren	16-16971-B
Ta wa si ke	16-17970-B
Ta za	16-17221-B
Ta1	47-6736-B
Ta1 ma1 er3	16-17916-B
Ta1 ma3	18-25869-B
Ta3 cheng2	16-16750-B
Ta3 cheng2 di4 qu1	16-16815-B
Ta3 er3 si4	16-17852-B
Ta3 he2	16-17788-B
Ta3 ji2 ke4	16-16418-B
Ta3 ji2 ke4 ren2	16-16490-B
Ta3 ji2 ke4 si1 tan3	16-16557-B
Ta3 ke4 la1 ma3 gan1 sha1 mo4	16-16121-B
Ta3 ke4 la1 ma3 gan4	16-16031-B
Ta3 li3 mu4	16-18224-B
Ta3 li3 mu4 he2	16-18051-B
Ta3 li3 mu4 pen2 di4	16-18302-B
Ta3 lun2	51-45546-S
Ta3 na4 na4 li4 fo2	16-18126-B
Ta3 shi2 gan1	16-15955-B
Ta3 si1 ke1 la1	16-17513-B
Ta3 si1 ma3 ni2 ya4 zhou1	16-17593-B
Ta3 si1 she4	16-17427-B
Ta3 ta3 er3	16-17038-B
Ta3 ta3 r5	16-16915-B
Ta3 ta3 r5 ren2	16-16971-B
Ta3 wa3 si1 ke1	16-17970-B
Ta3 za1	16-17221-B
Tai	2-75810-S,2-79425-S,3-58514-S,11-38388-S,39-6384-S,63-19398-B
Tai Hua	37-48351-B
Tai Jing He Zu zhi	3-58762-S
Tai Jing ji He zuo Zu zhi	3-58857-S
Tai Lu gu yu	37-47611-B
Tai Luo	37-48212-B
Tai Shan	19-26336-S
Tai an	12-18568-B,37-45879-B
Tai an di qu	37-45957-B
Tai an shi	37-46052-B
Tai an xian	37-46136-B
Tai an xiang	37-46206-B
Tai bai	17-59820-B
Tai bao	17-55802-B
Tai bei	12-18095-B,53-20395-B
Tai bei ke ji da xue	15-12109-S
Tai bei shi	12-18145-B,53-20445-B
Tai bi	12-18949-B
Tai cang	17-55955-B
Tai da	12-18515-B
Tai die	12-19938-B,53-20822-B
Tai dong	12-19041-B,37-47283-B
Tai du	53-20703-B
Tai er	37-47556-B
Tai er zhuang qu	12-17918-B
Tai ge · Wu zi	37-47340-B
Tai gong bing fa	17-56181-B
Tai gu	17-60750-B
Tai gu dai	17-56714-B
Tai gu yang hang	17-56902-B
Tai gu zhou	17-56809-B
Tai guo	37-45642-B
Tai guo jia	3-58559-S
Tai hai	53-20594-B
Tai hang shan	17-60647-B
Tai he	17-57228-B,37-45508-B
Tai he dian	17-57431-B
Tai he qu	17-57338-B
Tai he xian	37-45569-B
Tai hu	17-59748-B
Tai ji ling	37-45804-B
Tai ji tu	17-59378-B
Tai ji tu shuo	17-59471-B
Tai jiang	12-19104-B
Tai jing he hui	3-58656-S
Tai kang	17-59122-B
Tai lai	37-45323-B
Tai lang	71-14969-S
Tai le	37-45391-B
Tai lei	23-38226-S
Tai lu ge	17-62545-B
Tai lu ge zu	17-62632-B
Tai luo	4-1721-S
Tai ma li xiang	17-62691-B
Tai mei	53-20506-B
Tai mi er	37-47670-B
Tai mi er Na de bang	37-47987-B
Tai mi er Yi la mu Meng hu Jie fang Zu zhi	37-47718-B
Tai mi er yu	37-48089-B
Tai nan	12-18206-B
Tai nan shi	12-18274-B
Tai nan xian	12-18342-B
Tai ning	37-46281-B
Tai ping Guang ji	17-58258-B
Tai ping Tian guo	17-58164-B
Tai ping qu	17-58069-B
Tai ping yang	3-61020-S,17-58450-B,33-16898-S,43-5370-S
