shui3 yin2 deng1	36-47388-B
shui3 yin2 zhu4	36-16829-S
shui3 yu2	38-43719-S
shui3 yu3 bing4	36-38722-B
shui3 yu4	36-40083-B,36-44248-B
shui3 yuan2	36-43115-B,39-59298-S
shui3 yue4	64-58033-S
shui3 zai1	36-44019-B
shui3 zao3	41-20090-S
shui3 zha2	36-47453-B
shui3 zhang4 ai4	36-47609-B
shui3 zhe3	39-59480-S
shui3 zhen4	38-43644-S,38-62366-S,71-6990-S
shui3 zheng1 qi4	36-46021-B
shui3 zhi4	36-46292-B,36-46863-B
shui3 zhi4 su4	36-46332-B
shui3 zhi4 wu1 ran3	36-46911-B
shui3 zhong3	2-70610-S,36-45718-B,52-14732-S,52-40151-S
shui3 zhu3 yu2	36-44072-B
shui3 zhu4	36-42003-B
shui3 zhuan4 hun2 tian1 yi2	39-44366-S
shui3 zhuang1 bei4 tuo1 lun2 xiang1	39-59648-S
shui3 zhun3	36-43198-B
shui3 zi1 yuan2	36-46787-B
shui3 zu2 guan3	36-41403-B
shui3 zu2 xiang1	36-41338-B
shui3 zu2 zi4 zhi4 xian4	1-43434-S
shui4	4-18303-S,6-23448-S,7-20991-S,7-25309-S,9-6681-S,11-21245-S,15-43845-S,16-11316-S,16-26247-S,18-29144-S,22-25990-B,24-23581-S,25-25996-S,26-28449-S,26-47274-S,26-49121-S,27-6542-S,28-4187-S,28-52739-S,31-26901-S,37-6811-S,38-32498-S,39-972-S,39-44814-S,41-15764-S,41-31689-S,41-45305-S,41-53609-S,45-21934-S,45-54731-B,45-58301-S,47-22862-S,47-28470-B,49-17156-S,56-58375-S,58-31039-B,59-59577-S,60-43304-S,61-65155-S,62-12767-S,62-38300-S,63-7369-S,65-46496-S,65-56301-S,67-5403-S
shui4 bi4 lei3	65-56504-S
shui4 biao3	16-11499-S
shui4 dai4	45-55381-B
shui4 dan1	16-11415-S
shui4 gang3	63-7428-S
shui4 guan1	47-28716-B,47-29012-B
shui4 guo2 jing4	65-56431-S
shui4 guo4 tou2	45-55491-B
shui4 hou4	47-28778-B
shui4 jiao4	45-55428-B
shui4 juan1 ji1 zheng1 chu4	47-28822-B
shui4 ke4	58-31787-B
shui4 kuan3	47-28964-B
shui4 lan3 jiao4	45-54866-B
shui4 lian2	45-55229-B
shui4 mian2	45-54960-B
shui4 mian2 chong2	45-55066-B
shui4 mian2 zhe3	45-55012-B
shui4 qian2	47-28506-B
shui4 qu1	5-38636-S
shui4 ren2	49-17202-S
shui4 shou1	47-28920-B
shui4 shu3	45-55608-B
shui4 tian1 tang2	61-65201-S
shui4 tong2 meng2	65-56358-S
shui4 wu3 jiao4	45-54763-B
shui4 wu4	47-28562-B
shui4 wu4 ju2	47-28635-B
shui4 xing3	45-55546-B
shui4 yi1	45-54921-B,45-55275-B
shui4 yi1 ku4	45-55330-B
shui4 yi4	45-54822-B
