knife	8-48085-B,8-48326-B,8-48509-B,9-8884-S,17-6863-S,20-61394-B,21-23463-S,27-8707-S,27-8707-S,27-8770-S,27-8770-S,27-15655-S,33-50608-S,34-45691-S,39-59241-S,42-61750-S,46-38478-S,60-63960-S,64-40064-S,64-50145-S
knife and altar	8-48113-S
knife and fork	8-48232-B
knife blade	8-48173-B,64-35534-S
knife blades	46-39298-S
knife chop leaving the minor details to clear up later	61-44878-S
knife cut	8-48414-S
knife does not age 成语 saw	20-28882-S
knife or razor etc	34-45843-S
knife to cut two segments 成语 saw	1-2914-S
knife to kill sb 成语 saw	5-64277-S
knight	16-35849-B,17-5882-B,41-40922-B,69-29958-S,69-52065-B
knight errant	5-42194-B,5-42263-B,5-42310-B,62-36363-B,62-36410-S
knight errant 俠客 侠客 in fiction	60-54554-S
knight errantry	5-42723-B
knight errants and five righteous one	1-30531-S
knight i e nobility in europe	69-52125-S
knight in shining armor	29-64167-B,44-49225-B
knight in western chess	69-31266-B
knighthood	69-52265-B
knit	14-42796-S,50-20886-B
knit one s brow	45-1164-S
knit the brows	14-40952-B,68-52813-B
knitted garment	64-19196-B
knitting	64-19196-B
knitting wool	36-14986-B,51-0-B
knives	8-48568-B,34-1309-S,34-1417-S,46-38528-S,49-31991-S
kno3	46-23086-S
knob	26-65577-B
knob e g handle or radio button	31-1721-B
knob on a sword handle	64-59502-B
knob on tree	44-22070-B
knock	12-7612-B,26-15493-B,26-22673-S,28-51656-B,28-63821-S,29-3526-S,30-13247-B,30-67114-S,46-37555-B
knock against	57-54216-B
knock at a door	30-13247-S
knock down	29-19130-S
knock off	29-40806-S
knock on a door	30-14379-B
knock out competition	38-42341-S
knock out i e to beat in a knock out tournament	8-38622-S
knock out in a competition	38-42195-S
knock out tournament	8-38622-S
knock over	68-46619-S
knock sth over	46-30586-S
knock sth together	67-5049-S
knock together a temporary shed	28-59401-S,28-60680-S
knocked about	27-68293-B
knocked down	29-19130-B
knocked unconscious	45-61052-B
knocker	64-38595-S
knocker 成语 saw	30-14429-S
knoll	20-60334-B
knossos minoan palace at iraklion	58-49168-B
knot	24-47601-S,24-47790-S,26-47979-S,33-35435-S,37-65449-S,44-5381-B,49-14241-B,49-39890-B,50-18619-B,50-43650-B,50-43682-B,50-43682-S,50-45888-B,54-27299-S,70-28329-S
knot in timber	70-5088-S
knot of a rope	50-41418-S
knot of hair on top of head	70-28276-S
knot weed	54-48780-S
knots	57-55639-S
knotted or slow pulse in traditional chinese medicine	49-43756-B
knotty	6-45079-B,44-5002-B,50-45742-B
knotty and deeply rooted difficulties	45-11370-B
know	2-21947-S,3-28022-S,5-52494-S,13-9570-S,24-8684-S,25-6369-B,25-57946-S,25-58057-S,32-1702-S,32-1702-S,32-1779-S,45-63058-S,45-63594-S,45-63734-S,45-64931-B,57-47102-S,58-19734-S,58-20576-S,58-21789-S,58-61784-S,60-14074-S
know all	44-50379-B,53-575-S
know anything about	1-14213-S
know best by personal experience	8-21293-B
know by heart so well that you can recite it backwards	5-59971-S
know contentment hence happiness	45-64832-S
know fluently	39-34673-S
know for sure	30-34936-S
know general trend 成语 saw	20-10768-S
know how	47-59321-B,47-59417-B
know how lucky you are	60-55846-S
know how to appreciate favors	2-30434-S
know how to get on in the world	4-9601-S
know how to use it	28-14025-S
know intuitively	24-40022-S,24-40189-S
know know well	41-16739-S
know one and understand half 成语 saw	1-15758-S
know one s ignorance the book of rites 禮記 礼记	19-18527-S
know one s place	19-24558-B
know one s stuff	32-30028-B
know oneself	45-63273-S
know oneself 成语 saw	45-63445-S
know only 之 and 无	43-56589-S
know sb	49-44697-S
know sb from adam	49-24916-S
know shame	58-63150-S
know something about everything	11-9212-S
know sth by heart	39-34673-S
know sth fluently	41-16674-S
know sth inside out	39-34673-S
know sth without being told	8-21293-B
know ten 成语 saw	51-56550-S
know that	54-24271-S
know the enemy and know oneself 成语 saw	45-63445-S
know the facts	45-63634-S
know the immensity of heaven and earth	2-21246-S
know the law and break it 成语 saw	45-63852-S
know the new 成语 saw	39-21725-S,39-21826-S
know the real situation	55-51276-S
know the ropes	25-58125-S
know the seasons	56-18065-S
know the will of the great swan 成语 saw	41-29558-S
know the will of the great swan 燕雀安知鴻鵠之志 燕雀安知鸿鹄之志	41-29352-S
know thoroughly	41-36226-S
know through learning or by experience	70-7485-B
know to every question	1-4844-S
know very little about a subject	43-56167-S
know well	28-14025-S,41-15394-S,41-16739-S,58-46992-S,62-6773-S
know what s going on	24-30901-S
know what s good for one	2-21414-S
know what s up	58-62952-S
know what s what	2-31022-S,58-63478-S
know what sb is driving at	2-21497-S
know what to do	51-31657-S
know what to do next	41-42625-S
know what to do 成语 saw	26-36384-S
know whether to believe what one reads in the news	45-41030-S
know whether to laugh or cry	13-46829-S
know which of two you want	58-21543-S
know your enemy	45-63361-B
know your right shoe from your left	58-21543-S
know yourself	45-63361-B
knowing	6-22955-S
knowing how to accumulate wealth	43-29895-B
knowing how to read	58-20323-B
knowing one s limits	40-50646-S
knowing one s location	61-53967-S
knowing what to do	32-46573-S
knowing what to do next	9-24821-S
knowing what to do 成语 saw	2-21606-S
knowing when to come and when to leave	62-31481-B
knowing when to come or leave 成语 saw	2-21818-S
knowing which course to follow 成语 saw	40-53763-S
knowledge	1-15758-S,11-9483-S,15-19258-S,19-17261-B,19-19599-S,22-32444-S,25-6446-S,26-63778-S,31-56606-B,31-56981-B,36-53867-S,36-54290-S,36-54359-S,38-56398-S,42-55017-S,44-65787-S,45-43911-S,45-64106-B,47-17089-S,53-36687-S,53-42376-S,57-30720-B,57-31110-S,58-21789-B,58-45222-B,58-61784-B,62-14028-S,62-14028-S,62-14028-S,68-28473-S
knowledge and experience	57-31110-B,58-62261-B,58-63419-B
knowledge base	31-56924-B,45-64522-B
knowledge buddh 	17-20438-S,18-35812-S
knowledge gained	24-32226-B
knowledge is power	45-64342-B
knowledge of sth	43-56167-S,43-56294-S,54-9424-S
knowledge or ability	20-41608-S
knowledge or skill	38-57325-S,38-57787-S
knowledge related	45-64106-B
knowledge to beginners	13-65580-S
knowledge without practice	2-24768-S
knowledge worker	45-64437-B
knowledgeable	11-8882-S,11-9608-S,11-10178-B,11-10353-B,38-52474-S,45-64721-S,51-28466-S
knowledgeable and experienced	11-9379-B
knowledgeable and perspicacious 成语 saw	11-10253-B
knowledgeable and versality	58-62127-B
knowledgeable person	19-18257-B,21-61304-S,44-50379-B
known	4-64970-S,6-39910-S,8-36799-S,11-50158-S,16-9391-S,17-31308-S,19-54724-S,19-61234-S,22-13546-S,23-40136-S,26-29271-B,28-48560-S,28-48814-S,32-31026-S,45-63141-S,51-56383-S,51-56937-S,51-57506-S,54-53309-S,54-53723-S,56-45018-S,56-45018-B,58-12033-S,62-14028-S,67-47540-S,68-18816-S,68-18816-S,68-18904-S
known as	4-1445-S,11-41689-S,12-9128-S,26-14665-S,49-52667-S,54-55279-S,55-55525-B
known as 	47-34420-B
known as 9 18 incident 九一八事变	33-49592-S
known as albuterol	37-14372-S
known as bubble milk tea	42-43336-S
known as canton	23-12418-S
known as falkland islands	69-40005-S
known as foochow or fuchow	47-3917-S,47-4060-S
known as joint ideogram or associative compounds	32-23505-S,32-23744-S
known as liutiaogou incident 柳條溝事變 柳条沟事变	3-17360-S
known as mt hua 華山 华山	57-7448-S
known as pearl milk tea 珍珠奶茶	37-42139-S
known as phonogram	23-53820-S,23-55344-S
known as proventil	33-48793-S
known as the hundred days reform 百日維新 百日维新	26-5949-S
known before starting sth	68-27583-S
known chinese character	41-15229-B
known each other all along	45-30751-S
known earlier	31-14899-S
known earlier 	31-14981-S
known for its quality	24-30224-S
known for sth	8-36799-S
known for the product	15-45343-S
known historically as canton	23-12260-B
known one s position	56-44877-S
known piece of music	12-56379-S
known scenic spot	10-4287-S
known so far	45-39502-S
known taiwan performing artist	44-36770-S
known the world	32-16545-S
known to be	7-64306-S
known to every household 成语 saw	26-24834-S
known to everyone	18-54780-B
known to science	22-2358-B
knows	17-48115-S,26-29271-S,58-34217-S
knows about it 成语 saw	38-51200-S
knows etc in his bones derog 	70-0-S
knows no bounds 成语 saw	59-39742-S
knows the ropes	51-31657-S
knows the way home 成语 saw	58-63638-S
knows the way 成语 saw	51-31657-S
knows what the future holds	9-24666-S
knows where it comes from	5-19626-S
knows words of one syllable	43-56589-S
knows 成语 saw	45-53193-S,45-53282-S
knuckle	27-61187-B
knurling	16-33805-B
knuth 1938 famous american computer scientist at stanford university	70-14738-S
koala	34-61842-B,40-50156-B,51-33362-B
kobdo	47-18335-S
kobe	46-57824-B
kodak	12-17417-B
kodak us film company	33-48280-B
koelreuteria paniculata	35-19400-B
kofi annan 1938 	19-24761-B
koguryo	70-12337-B
koh	53-65242-S
kohl 1930 	47-19700-S
