rules for political staff	29-57463-B
rules of arithmetic	9-57689-S
rules of calculation addition	62-40818-B
rules or tradition	25-3339-S
rules ruler guides subject	1-39604-S
rules that must be known before starting sth	68-27583-B
rules 成语 saw	47-2422-S
ruling	56-53450-B,56-53587-B
ruling clan of japan from 1550 1850	24-25544-S
ruling class	31-2477-S,68-34090-B
ruling class in revolutionary writing	60-12458-S
ruling most of china 304 439	3-53358-S,10-44624-S
ruling party	15-65211-B
ruling party in singapore	4-13162-S
rum	43-17715-B,50-56796-B
rumba	6-3114-B
rumble	14-35875-B,61-31606-B,61-31892-S,66-38182-B
rumbling	61-32049-S
rumbling of rolling stones	46-22452-B
rumbling of wheels	61-31242-B
rumbling sound	65-51755-B
rumbutan fruit	49-10626-B
ruminant	11-53090-B
ruminants	56-2610-S
ruminate	11-53048-B,13-28881-S,42-38931-S
ruminate of cows	5-55692-S,5-55748-S
rummage	51-23880-S
rumor	6-38994-B,6-39475-B,6-40098-S,38-6395-B,55-54588-S,58-57889-B,58-57932-B,58-57973-B,62-19298-S,62-33391-B,62-51775-B,65-45615-S,68-56771-B
rumor becomes a fact	1-29980-S
rumored	45-4384-S
rumors	6-33349-S,38-6395-S
rumors and slanders	38-6458-B
rumors fly	16-55160-B
rump	69-17600-B
rumpus	69-54741-S
rumsfeld	27-22159-S
run	1-71221-S,2-643-S,3-27618-S,15-12051-S,15-65610-S,18-6898-S,18-7452-B,18-7522-S,19-43030-S,22-13221-S,23-30388-S,29-25302-S,41-30716-S,48-25144-S,49-61057-S,58-13583-S,60-9375-S,60-35466-S,60-35809-S,61-14698-S,61-34549-S,62-41165-S,68-29595-S,69-22407-S,69-51638-B
run a blockade	6-23037-S
run a business	41-32128-S
run a newspaper	61-35265-S
run a protection racket	65-44346-S
run a school	61-35317-S
run affairs	42-53278-S
run against	26-58598-S
run amok 成语 saw	52-20447-S
run around	61-22094-S
run at the nose	38-8060-S
run away	8-45711-S,8-46153-S,18-7562-B,38-5317-S,47-58805-B,52-34409-S,61-64273-S,61-64888-S,61-65313-S,61-65514-S,61-65586-S
run away from home	60-52116-S
run away in the confusion	60-19224-S
run away scared	71-50037-S
run batted in	26-50822-B
run company etc	15-11489-S
run counter to	52-18559-B,62-58609-S
run crazily	42-4198-B
run dry of river	30-59403-S
run enterprise	7-55447-S
run errands	60-36095-S
run everything 成语 saw	10-15175-S
run fast	68-63079-S,69-45329-B
run for office	48-1723-S
run for one s life	61-64679-S
run for shelter	60-36152-S
run high	70-17516-S
run i e by a company	36-22037-S
run in the opposite direction	52-18559-B
run into	29-9576-S,46-30638-S,46-31566-S,62-35699-S
run into misfortune	62-66485-S
run into sb	63-9211-S
run neck and neck	2-48124-S
run off	26-49201-S,29-8340-S,38-2864-S
run off in a great panic 成语 saw	5-52126-S
run off rebuffed	26-49201-S
run or stick a needle etc into	26-38993-S
run out	32-51384-S
run out of money	26-31552-S
run parallel	2-47614-B
run quickly	18-6799-S,18-7816-B,62-20560-S,69-55834-S
run rapidly	69-53354-B
run risks	60-14588-S
run shop	17-62988-S
run short of	50-48384-S
run sth for the first time	69-23512-S
run the whole show	10-18620-B
run this way and that 成语 saw	33-17135-S,33-17266-S
run through	59-40202-S
run through sth	68-29595-S
run time error in computing	62-41296-B
run time in computing	62-41227-B
run underground	61-12575-S
run unhindered across the whole country	50-29530-S
run up against a snag	46-30707-S
run wild	25-25368-S,52-21340-S
runaway	61-64572-B
runaway carriage caused by stampede of draught animals	69-63225-B
runaway horse	52-34694-B,52-34788-B
runaway horses	18-7769-B
runaway inflation	25-20541-B
runaway 成语 saw	3-65840-B
rung of a ladder	34-16487-B
rung of ladder	34-3773-B
runner	33-64661-B,60-35873-B,65-19878-S
runner before a carriage	69-34473-S
runner in baseball	8-38622-S,60-35743-B
runner up	3-64224-B,36-2486-B,64-27762-S,64-29219-B
runners	44-58549-S
