yi2 fu5	18-43332-B,18-43766-B
yi2 gao3	63-3501-B
yi2 gu1	63-2555-B
yi2 gu3	63-3980-B
yi2 guan3	35-64621-S
yi2 gui3	44-4732-S
yi2 hai2	63-4032-B
yi2 han4	23-66145-S,63-2805-B
yi2 he2 yuan2	68-35827-B
yi2 hen4	63-2766-B
yi2 huan4	18-40105-S,69-11675-S,69-11878-S,69-12695-S
yi2 huo4	44-4360-B
yi2 ji4	43-19310-S,44-4258-B,63-3908-B
yi2 jiao1	47-26148-B
yi2 jiao4	1-33485-S,63-2855-B
yi2 jie3	18-43485-B
yi2 jing1	63-3581-B
yi2 ju1	47-26776-B
yi2 ju4	44-4529-B
yi2 kai1	47-27321-B
yi2 ke3 le4	6-18565-S
yi2 kuang4	17-68709-B,57-11165-S
yi2 lao3 lao5	18-43552-B
yi2 li3	6-54400-B
yi2 liu2	63-3405-B
yi2 lou4	63-3094-B
yi2 lu4	17-68666-B
yi2 lu:4	44-4470-B
yi2 ma1	18-43631-B
yi2 man3 mu4	44-18392-S
yi2 mei4	18-43416-B
yi2 mie4	17-68867-B
yi2 min2	47-27143-B,62-69511-S
yi2 min2 ju2	47-27199-B
yi2 min2 zhe3	47-27260-B
yi2 mo4	63-2279-B
yi2 mo4 hua4	39-60227-S
yi2 mu3	18-43704-B
yi2 nan2	44-5002-B,63-3351-B
yi2 nian4	44-4321-B
yi2 niao4	63-2658-B
yi2 nuo4 si1 ai4 li4 si1	22-14623-S
yi2 pai4	26-1412-S
yi2 ping2	17-68602-B
yi2 qi1	63-2376-B
yi2 qi1 qi4 zi3	63-2434-B
yi2 qi4	6-54092-B,63-3043-B
yi2 qi4 biao3	6-54151-B
yi2 qu4	47-26732-B
yi2 que1	63-3643-B
yi2 ran2	17-69007-B,24-57119-B
yi2 ren2	18-59022-S
yi2 rong2	6-54200-B,63-2593-B
yi2 shan1	3-18873-S,25-31263-S,25-37288-S,35-45452-S
yi2 shan1 shi4	35-45551-S
yi2 shan1 zhi4	47-26820-B
yi2 shen2 yi2 gui3	44-4732-B
yi2 sheng5 nan2 nu:3	18-43850-B
yi2 shi1	63-2331-B
yi2 shi4	1-62258-S,5-43589-S,6-54244-B,10-53220-S,11-65092-S,20-34612-S,21-41968-S,47-8334-S,52-59549-S
yi2 shuang1	63-2514-B
yi2 si4	44-3618-B
yi2 tai4	6-54349-B
yi2 ti3	63-4085-B
yi2 ti3 gao4 bie2 shi4	63-4143-B
yi2 tuan2	44-4129-B
yi2 wang4	63-2703-B
yi2 wei2 ping2 di4	17-68922-B
yi2 wen4	36-16582-S,44-3863-B
yi2 wen4 dai4 ci2	44-3957-B
yi2 wen4 ju4	44-4041-B
yi2 wu4	59-48697-B,63-3211-B
yi2 xian4	8-51328-S,45-19370-S,52-23794-B
yi2 xiang4	63-2119-B
yi2 xin1	44-4216-B
yi2 xing2 shi4	5-28970-S
yi2 xing4	51-18030-S
