糜爛性毒劑 糜烂性毒剂	48-62207-B
糝 糁	48-62280-B
糞 粪	48-62322-B
糞便 粪便	48-62356-B
糞土 粪土	48-62417-B
糞肥 粪肥	48-62469-B
糞金龜 粪金龟	48-62514-B
糞金龜子 粪金龟子	48-62570-B
糟	48-62636-S,60-51515-S
糟 糟	48-62636-B
糟溜黃魚 糟溜黄鱼	48-62679-B
糟溜黃魚片 糟溜黄鱼片	48-62764-B
糟溜黄鱼	48-62679-S
糟溜黄鱼片	48-62764-S
糟粕	48-62861-S,48-62926-S
糟粕 糟粕	48-62861-B,48-62926-B
糟糕	48-62985-S
糟糕 糟糕	48-62985-B
糟踏	48-63066-S
糟踏 糟踏	48-63066-B
糟蹋	48-63181-S
糟蹋 糟蹋	48-63181-B
糟齒類爬蟲 糟齿类爬虫	48-63296-B
糟齿类爬虫	48-63296-S
糠	48-63396-S
糠 糠	48-63396-B
糢	49-0-S
糢 糢	49-0-B
糢糊	49-29-S
糢糊 糢糊	49-29-B
糧 粮	49-78-B
糧倉 粮仓	49-113-B
糧票 粮票	49-211-B
糧秣 粮秣	49-317-B
糧草 粮草	49-392-B
糧農 粮农	49-462-B
糧食 粮食	49-532-B
糧餉 粮饷	49-585-B
糨	49-638-S
糨 糨	49-638-B
糨糊	49-685-S
糨糊 糨糊	49-685-B
糭 粽	49-731-B
糯	49-783-S
糯 糯	49-783-B
糯稻	49-817-S
糯稻 糯稻	49-817-B
糯米	49-862-S
糯米 糯米	49-862-B
糯米糍	49-918-S
糯米糍 糯米糍	49-918-B
糰 团	49-1007-B
糰子 团子	49-1039-B
糱	49-1097-S
糱 糱	49-1097-B
糲	49-1142-S
糲 糲	49-1142-B
糴 籴	49-1178-B
糶	49-1214-S
糶 糶	49-1214-B
糸	49-1263-S
糸 糸	49-1263-B
系	5-30765-S,49-1294-S,50-42034-S
系 系	49-1294-B
系上	49-1351-S
系上 系上	49-1351-B
系列	49-1408-S
系列 系列	49-1408-B
系列放大器	49-1447-S
系列放大器 系列放大器	49-1447-B
系列片	49-1528-S
系列片 系列片	49-1528-B
系囚	5-30821-S
系小	5-30862-S
系数	5-30900-S
系統 系统	49-1584-B
系統性 系统性	49-1624-B
系统	49-1584-S
系统性	49-1624-S
糾 纠	49-1680-B
糾偏 纠偏	49-1753-B
糾合 纠合	49-1807-B
糾察 纠察	49-1864-B
糾正 纠正	49-1944-B
糾眾 纠众	49-2004-B
糾紛 纠纷	49-2067-B
糾結 纠结	49-2148-B
糾纏 纠缠	49-2198-B
糾葛 纠葛	49-2258-B
糾錯 纠错	49-2311-B
糾集 纠集	49-2364-B
紀 纪	49-2425-B
紀傳體 纪传体	49-2496-B
紀元 纪元	49-2573-B
紀元前 纪元前	49-2626-B
紀年 纪年	49-2698-B
紀律 纪律	49-2744-B
紀念 纪念	49-2786-B
紀念品 纪念品	49-2846-B
紀念堂 纪念堂	49-2899-B
紀念日 纪念日	49-2968-B
紀念獎 纪念奖	49-3045-B
紀念碑 纪念碑	49-3098-B
紀念郵票 纪念邮票	49-3151-B
紀念館 纪念馆	49-3227-B
紀昀 纪昀	49-3307-B
紀要 纪要	49-3358-B
紀錄 纪录	49-3427-B
紀錄片 纪录片	49-3465-B
紀錄片兒 纪录片儿	49-3550-B
紂 纣	49-3639-B,49-3700-B
紃	49-3770-S
紃 紃	49-3770-B
約 约	49-3807-B,49-3835-B
約伯 约伯	49-3916-B
約伯記 约伯记	49-3992-B
約但 约但	49-4069-B
約但河 约但河	49-4109-B
約克 约克	49-4169-B
約克郡 约克郡	49-4206-B
約分 约分	49-4276-B
約制 约制	49-4442-B
約合 约合	49-4494-B
約同 约同	49-4569-B
約坦 约坦	49-4667-B
約塔 约塔	49-4723-B
約契 约契	49-4780-B
約定 约定	49-4840-B
約定俗成 约定俗成	49-4909-B
約定資訊速率 约定资讯速率	49-5052-B
約拿書 约拿书	49-5172-B
約摸 约摸	49-5229-B
約數 约数	49-5314-B
約旦 约旦	49-5388-B
約旦河 约旦河	49-5428-B
約書亞 约书亚	49-5484-B
約書亞記 约书亚记	49-5540-B
約會 约会	49-5608-B
約束 约束	49-5664-B
約根 约根	49-5715-B
約櫃 约柜	49-5762-B
約法 约法	49-5815-B
約法三章 约法三章	49-5886-B
約珥書 约珥书	49-6007-B
約瑟夫 约瑟夫	49-6063-B
約略 约略	49-6128-B
約略估計 约略估计	49-6180-B
約當現金 约当现金	49-6273-B
約納 约纳	49-6359-B
約維克 约维克	49-6397-B
約翰 约翰	49-6465-B
約翰・本仁 约翰・本仁	49-6537-B
約翰・霍金斯 约翰・霍金斯	49-6625-B
約翰一書 约翰一书	49-6724-B
約翰三書 约翰三书	49-6803-B
約翰二書 约翰二书	49-6883-B
約翰內斯堡 约翰内斯堡	49-6963-B
約翰參書 约翰参书	49-7064-B
約翰壹書 约翰壹书	49-7183-B
約翰拉貝 约翰拉贝	49-7301-B
約翰斯頓 约翰斯顿	49-7405-B
