è lún chūn zì zhì qí	63-28369-B
è mà	25-22824-B
è mèng	14-35585-B,25-20158-B
è míng	25-19803-B
è míng 5r	25-19860-B
è míng zhāo zhāng	25-19932-B
è mó	25-24229-B
è piǎo	69-13988-B,69-14213-B
è piǎo biàn yě	69-14376-B
è piǎo zài dào	69-14036-B,69-14261-B
è pǐ	25-22661-B
è qì	25-22101-B
è rén	25-19037-B
è rén xiān gào zhuàng	25-19103-B
è shuǐ	25-22170-B,47-57091-S
è shà	7-2653-S,25-22347-B
è shào	25-20243-B
è shé	25-23114-B
è shén	25-22770-B
è shén tǎ	11-28575-B
è shì	25-18841-B,25-23480-B,44-37862-S
è shì chuán qiān lǐ	25-18892-B
è shì li	25-19542-B
è shí shí	25-21050-S
è shēng	25-22917-B
è suì	25-22000-B
è sú	25-19364-B
è sī	23-32265-S
è sǐ	69-13947-B
è sǔn	25-21439-B
è tuō kè qián qí	63-28639-B
è tuō kè qí	63-28746-B
è tú	25-20310-B
è tāo tiān	50-51788-S
è wù jìn	66-22063-S
è wēn kè zú zì zhì qí	63-28837-B
è xiàng	25-22701-B
è xiàng shàn	29-44350-S
è xiōng xiōng	25-19426-B
è xìng	25-20541-B
è xìng nüè yuán chóng	25-20728-B
è xìng tōng huò péng zhàng	25-20907-B
è xìng xún huán	25-20658-B
è xìng zhǒng liú	25-20838-B
è xí	25-22872-B
è xíng	25-23175-B
è xīn	25-20481-B
è yào	31-31869-S
è yán	25-23316-B
è yán shāng rén	25-23374-B
è yáng shàn	66-47842-S
è yì	25-21113-B
è yì dài mǎ	25-21245-B
è yì zhōng shāng	25-21165-B
è yùn	25-24039-B
è yú	70-48974-B
è yīng	3-35158-S,3-35666-S
è yǒu è bào	25-21703-B
è yǔ	25-23521-B
è yǔ shāng rén	25-23672-B
è yǔ zhòng shāng	25-23577-B
è zhàn	25-21379-B
è zhàng	25-19226-B
è zhì	62-48950-B
è zhú xīn	63-18711-S
è zhōu	63-28490-B
è zhōu shì	63-28559-B
è zhǐ	62-49022-B
è zuò jù	25-19287-B
è zuò lín	25-19999-B
