shou4 shi4	11-59455-B
shou4 shi4 jie4	70-35969-S
shou4 shi4 zhe3	11-64739-B
shou4 shu3	11-61935-B
shou4 shu4	16-38458-B,42-25667-B,57-64499-S,69-44778-S
shou4 shu4 yi3 jin3	16-38519-B
shou4 si1	16-38209-B
shou4 sun3	6-18312-S,11-61736-B
shou4 tai1	11-64291-B
shou4 tang2	16-38309-B
shou4 tao2	16-38715-B
shou4 tao2 bao1	16-38780-B
shou4 ti3	11-65595-B
shou4 ting1	11-64224-B
shou4 tuo1	11-64487-B
shou4 tuo1 ren2	11-64531-B
shou4 tuo1 zhe3	11-64584-B
shou4 xi3	11-62439-B
shou4 xian3	16-39607-B
shou4 xian4	16-39482-B
shou4 xiang2	11-65036-B
shou4 xiang2 yi2 shi4	11-65092-B
shou4 xiang3	11-59537-B
shou4 xing1	16-38622-B
shou4 xing2	11-60213-B,42-25610-B
shou4 xing4	11-61369-B,12-13763-S,42-25316-B,51-36168-S
shou4 xue1	44-18818-B
shou4 xue2	42-25456-B
shou4 xun1	28-12177-B
shou4 xun4	11-64433-B
shou4 ye4	11-62063-B
shou4 yi1	16-39290-B,42-25804-B
shou4 yi1 xue2	42-25848-B
shou4 yi4	11-63046-B,28-12333-B
shou4 yi4 ren2	11-63102-B
shou4 yong4	11-62881-B
shou4 yu3	28-11963-B,28-12629-B
shou4 yu4	42-25358-B
shou4 yue1 shu4	1-75176-S,11-63749-B
shou4 yun4	4-8740-S,11-60824-B
shou4 zai1	11-62616-B
shou4 zai1 di4 qu1	11-62700-B
shou4 zhe3	28-25474-S
shou4 zhi1 pei4	11-61778-B
shou4 zhi4	11-60441-B
shou4 zhi5	11-63294-B
shou4 zhong1 zheng4 qin3	16-39105-B
shou4 zhong4	11-63233-B
shou4 zi5	44-18857-B
shou4 zu3	11-64975-B
shou4 zui4	11-63906-B
shou5	21-20800-S,27-23023-S
