break a liquid substance up into components by boiling	69-18872-S
break a new path	9-4645-B
break a promise	17-64412-S,36-2870-S,46-19303-S,62-58231-S,69-4081-S,71-21604-S
break a rule	62-58120-S
break a siege	47-52975-S
break a taboo	65-35089-S
break an agreement	52-18252-B
break at any moment	11-22330-S
break away	52-34642-B
break away from	29-30386-S,29-30386-S
break bones by falling	28-63922-S
break commands	62-56221-B
break dependence	26-13991-S
break discipline	3-27295-S
break down	8-40253-S,8-58196-B,16-34417-S,39-63995-B,46-27518-S
break drug dependence	9-67380-S
break e g stick or bone	27-8104-S
break even	5-36937-S,5-37509-S,29-41279-S
break faith	52-16646-S
break faith with sb	52-16694-S
break fresh ground	9-4645-B
break ground	46-16853-S
break in	46-38654-S,56-40234-B
break in a horse	69-45972-S
break in and analyze	6-20807-S
break in desert environment	65-63607-S
break in rain	31-64953-S
break in two	27-37952-B
break into	8-53076-S,29-25510-S
break into a smile	46-21099-B
break into jail	9-63188-S
break into pieces	46-27518-S
break it 成语 saw	45-63852-S
break like tiles	8-18661-S
break loose	17-29674-S
break matter	19-7317-S
break new ground for agriculture	65-35517-S
break of day	16-11024-S
break off	2-72782-S,2-74275-S,12-64891-S,26-45559-S,29-5045-B,30-59996-S
break off a relation	1-2914-S
break off diplomatic relations	30-58664-B
break off relations	49-47723-S
break off relations with	37-330-S
break off writing	41-4987-S
break one s promise	58-23208-S
break open	29-23481-S
break open and capture	46-18298-S
break out	9-65659-B,32-117-B,41-34704-S,44-26452-S,44-31659-S
break out of	29-30386-S
break out of a crisis	29-30561-S
break out of an enclosure	47-52975-S
break out of prison	60-27315-S
break the cauldrons and sink the boats 成语 saw	46-20447-S
break the ice	46-16658-S
break the law	42-2705-S,62-57749-S
break the law and commit crimes 成语 saw	40-33310-S
break the rules	3-27295-S,42-3130-S,62-55753-S,62-57977-S
break the surface	8-40515-S
break through	29-18952-S,47-52686-S,65-52463-B
break through a wall	46-17084-S
break through the ground of seedling	46-16853-S
break to pieces	28-35759-B
break up	8-50412-S,8-53251-S,8-57967-S,28-13879-B,30-8349-S,48-47425-B,57-47102-S,69-56332-B
break up a chemical compound into its elements	57-53260-S
break up a marriage	27-18984-S
break up in discord	2-15901-S
break up into components	30-6990-S,57-53470-S
break up of the han 220 280	1-32791-S,1-33013-S
break up the whole into pieces	10-23835-S
break wind	21-17610-S,29-51675-S
break with both hands	28-34492-S
breakdown	29-3265-S,29-61657-B
breakdown of red blood cells due to alloimmune reaction between mother and fetus	39-24544-S
breakdown of red blood cells leading to anemia	39-24451-S
breaker	38-11374-B,46-16738-S,46-16796-S,65-47422-S,67-38710-S
breaker ship	8-19624-S
breakers	2-17239-S
breakfast	31-15848-B,31-15891-B,31-15934-S
breakfast cereal	52-29079-S
breaking	9-37167-S
breaking and entry	46-20746-B
breaking ceremony	46-17006-S
breaking of male opera singer in puberty	5-55410-S
breaking out everywhere of disease	11-66913-B
breaking point	27-31263-B,61-24135-B
breaking sound	14-1891-B
breaking the surface 成语 saw	8-40597-S
breaks	22-51829-S,65-31388-S
breaks the railing 成语 saw	32-69711-S
breaks up	6-56311-S
breakthrough	29-47977-S,46-9262-B,46-20122-S,47-53742-B,56-40039-B,60-40094-B
breakthrough in sb s career	46-17084-S
breakup of the han dynasty around 200 ad	33-21377-S,33-21496-S
breakwater	46-41294-B,65-62048-B
bream	38-26798-S,45-45759-S,56-7401-B,70-41486-B,70-45536-B
breast	3-21841-B,3-22172-B,18-23604-B,18-23912-B,18-62090-B,24-37105-S,29-23334-S,52-24706-B,52-35093-B,52-50364-B
breast cancer	3-22724-B,3-23380-B
breast feed	13-48186-B
breast feeding	28-11905-B,36-3540-B
breast meat of chicken etc	52-35127-B
breast of it all	13-24287-S
breast the seat of emotions	39-38483-S
breastbone	52-26210-B
breastplate	52-25251-B
breasts	3-22534-S,52-25101-S,66-63358-B
breaststroke	56-116-S
breastwork	52-25180-B
breath	1-4210-S,1-4210-S,1-51146-S,1-76013-S,11-69301-S,13-15990-S,14-6409-S,14-7343-S,21-21269-S,21-21458-S,25-4700-B,25-54240-S,32-57086-S,36-24927-S,36-26808-S,36-28200-B,36-28910-B,56-25929-S,71-51366-B
breath as y	45-28990-S
breath away	69-62703-S
breath due to poor lung capacity	36-27173-S
breath out	13-16787-S
breath 血氣 血气 of traditional chinese medicine	4-15449-S
breathe	13-2868-S,13-17717-B,14-6268-S
breathe deeply	14-6481-S
breathe easily	14-6193-S
breathe in	13-2931-S
breathe in fresh 成语 saw	12-60195-S
breathe on	13-15908-B
breathe one s last	14-40812-S
breathe out	13-19073-S
breathe out stale air and breathe in fresh 成语 saw	12-60195-S
breathe through the same nostril 成语 saw	1-24039-S
breathe upon	14-10759-S
breathe upon to smile	35-22739-S
breather	14-6409-S
breathing	13-49562-S,36-27173-S,44-13991-S
breathing apparatus used in hospitals	13-17756-S
breathing convulsions as in asthma	36-29625-B
breathing like a cow	36-27403-S
breathing of fish	14-2673-B
breathing of pigs	59-26659-B
breathless	36-27345-B
bred	15-31908-S
breech delivery	61-67795-B
breechcloth	46-211-B
breeches	46-211-S
breed	13-34319-B,15-66325-S,39-27453-S,47-31899-B,50-37778-S,50-38020-S,53-42691-S,61-39655-S,64-11655-S
breed livestock	29-53419-S
breed of dog	22-3635-S
breed offspring	7-62246-S
breeder reactor	16-26942-B
breeding	12-59222-S,19-16385-B,19-16436-B,19-44139-S,63-979-B
breeding egg	47-33927-B
breeding ground	39-21210-B
breeding ground for crimes or sedition	39-21210-S
breeding like flies	21-24845-B
breeding livestock or poultry	64-3272-S
breeding poultry	47-33543-S
breeding season zool 	44-28948-S
breeding stock of animal species	47-32047-S,47-33468-B
breeze	13-25751-B,24-22486-B,31-36113-S,31-45678-S,38-26494-S,38-39574-S,38-65837-S,47-16091-S,61-13531-B,68-64673-S
breeze and bright moon 成语 saw	38-66088-S
breeze is still	68-54634-S
breeze of autumn	68-59699-S
breeze passes the ear 成语 saw	47-16329-S
breeze 成语 saw	7-47755-S
bremen city	1-67996-B
bremen city in germany	2-27009-B
brest the most western french town	36-10616-B
bretagne	22-17578-B
brethren	6-63772-B,13-42113-B,23-33624-B
brew	63-48900-S,63-51773-B,63-51810-B
brew tea	40-43341-S
brewed twice	63-51718-S
brewery	13-66076-B
brewery in beijing	41-28574-S
brewing industry	63-51850-B
brezhnev	9-64932-S
briar	54-16353-B
bribe	11-64797-S,14-58012-S,18-48850-S,29-42792-S,49-8543-S,56-34953-S,59-45726-S,59-50529-B,59-50594-B,59-50630-B,59-56190-S
bribery	11-64797-B,18-45343-S,49-18055-B,59-50529-B,59-50594-B
bribery and fraud 成语 saw	23-65532-B
bribes	3-646-S,49-18055-S,56-34953-S
bribes and bend the law	59-39863-S
bribes knows no bounds 成语 saw	59-39742-S
brick	8-19208-S,16-22994-B,41-45358-S,46-37683-B,46-37713-B,46-37957-S,51-36796-S
brick a grave	16-14099-S
