xíng	1-8894-S,1-20214-S,1-28686-S,1-28841-S,1-34661-S,1-41924-S,1-43329-S,2-5222-S,2-23882-S,2-27304-S,2-27385-S,2-27617-S,2-28715-S,2-28817-S,2-43775-S,2-47554-S,2-65216-S,3-10847-S,3-15521-S,3-20616-S,3-50476-S,3-52408-S,3-52529-S,3-54556-S,3-54944-S,3-55325-S,3-57235-S,3-62998-S,4-16815-S,4-31997-S,5-16289-B,5-20637-S,5-48941-S,6-18926-S,7-5582-S,7-40733-S,7-45141-S,7-52721-S,7-53267-S,7-69448-S,7-69578-S,7-71720-S,8-5596-S,8-31430-S,8-52253-S,8-52732-S,8-61256-S,8-64153-B,9-2285-S,9-2829-S,9-47230-S,9-69684-S,10-7417-S,10-43431-S,10-43497-S,10-45978-S,10-47460-S,10-47836-S,10-55662-S,11-21301-S,11-25250-S,11-25534-S,11-31388-S,11-33129-S,11-60213-S,12-5734-S,12-16113-S,12-51522-S,13-34996-S,14-3932-S,14-21164-S,14-21676-S,14-52803-S,14-53527-S,15-23403-S,15-23861-S,15-25044-S,15-26222-S,15-29526-S,15-35976-S,15-40672-S,15-56395-B,15-65610-S,15-67032-S,16-45480-S,16-47545-S,16-56338-S,16-62988-S,16-63362-S,16-64300-S,17-1596-S,17-11744-S,18-4547-S,19-1415-S,19-4652-S,19-5113-S,19-37213-S,19-57307-S,20-14685-S,20-61932-S,21-26473-S,21-61022-S,22-2212-S,22-2450-S,22-23015-S,22-23117-S,22-44479-S,22-44637-S,22-46211-S,23-25795-S,23-35590-S,23-45119-S,23-53607-B,24-4571-S,24-5248-S,24-5735-S,24-7832-S,24-18545-S,24-28403-S,24-63161-S,25-13403-S,25-23175-S,25-50245-S,26-11713-S,26-19166-S,26-31146-S,27-48541-S,27-51413-S,28-32028-S,28-62680-S,29-22041-S,30-21734-S,30-36236-S,30-45682-S,30-60385-S,30-62723-S,30-66839-S,30-68439-S,31-65400-S,32-349-S,32-32240-S,32-32508-S,32-34855-S,32-42441-S,33-58441-S,33-62460-S,33-62535-S,34-4861-S,34-14254-S,34-16193-S,34-29876-S,34-36981-S,34-37032-S,34-37144-S,34-57957-S,34-58330-S,35-6995-S,35-9260-S,35-9861-S,35-11735-S,35-33646-S,35-33951-S,35-34881-S,35-37157-S,35-42951-S,35-56920-S,37-38555-S,38-3357-S,38-5401-S,38-5812-S,38-46452-S,38-53568-S,38-55416-S,39-0-S,39-28027-B,39-29434-S,39-60617-S,40-5203-S,40-20179-S,40-50723-S,40-54606-S,41-37773-S,42-19370-S,42-22947-S,42-25610-S,42-50687-S,42-59991-S,43-5502-S,43-39568-S,43-60902-S,44-198-S,44-33455-S,45-5933-S,45-21189-S,45-24130-S,45-65317-S,46-2284-S,46-22501-B,46-46025-S,47-812-S,47-1925-S,47-43702-S,47-44657-S,48-19416-S,48-34128-S,49-21870-S,49-40412-S,49-48491-S,50-22791-S,50-27873-S,50-52322-S,51-14221-S,51-69561-S,52-37218-S,52-47598-S,52-52259-S,52-56073-S,52-62115-S,53-13227-S,53-27491-S,53-36255-S,54-253-S,54-36669-S,55-56844-S,55-60025-S,56-1259-B,56-9768-S,56-13791-S,56-24453-S,56-30633-B,56-45626-S,57-6780-S,57-52734-S,57-55956-S,58-10716-S,58-11369-S,58-13360-S,59-8131-S,59-23175-S,59-25056-S,60-11322-S,60-56148-S,61-22183-S,61-61917-S,61-64075-S,61-68100-S,62-2609-S,62-12525-S,62-17106-S,62-17851-S,62-30357-S,62-38045-S,62-41165-S,62-62656-S,62-69010-S,63-15044-S,63-15596-B,63-44397-S,63-57205-S,64-5065-S,64-5225-S,64-20934-B,64-24944-B,64-34045-S,64-39915-S,64-43137-S,65-14988-S,66-18952-B,66-38517-S,66-47410-S,67-3122-S,67-13435-S,68-1801-S,68-2287-S,68-26705-S,68-32210-S,68-47575-S,68-50403-S,68-57086-S,69-239-S,69-18626-B,69-42785-S,70-5656-S,70-6048-S,70-6757-S,70-24811-S
xíng 5r	60-11393-S
xíng biàn	9-30631-S,23-48371-S,23-55505-B
xíng biān chéng	62-30903-S
xíng bu tōng	56-31128-B
xíng bàn gōng shì	35-7046-S
xíng bìng	38-6068-S
xíng bìng xué	38-6131-S
xíng bù bèi	2-47614-S
xíng bù cóng jìng	56-30838-B
