xiàn chuān zhēn	23-30269-S
xiàn cháng	23-35701-S
xiàn chéng	42-50372-B,50-26315-B
xiàn chóng	48-25601-S,50-726-B
xiàn chǎng	42-49816-B
xiàn chǎng shì chá	42-49881-B
xiàn cún	42-49958-B
xiàn de nǚ rén	26-8394-S
xiàn diàn	40-59712-S
xiàn diàn bō	40-59975-S
xiàn diàn huà	40-60065-S
xiàn diàn jiē shōu jī	40-59766-S
xiàn diàn shì	32-38484-S
xiàn diàn shōu fā jī	40-59861-S
xiàn diào dà yú	29-53078-S
xiàn duàn	50-17222-B
xiàn dài	42-48858-B
xiàn dài huà	14-46395-S,15-13644-S,21-56112-S,42-48935-B,47-17802-S,48-11870-S,61-41561-S
xiàn dài jí tuán	42-49254-B
xiàn dài pài	42-49123-B
xiàn dài shǐ	61-48590-S
xiàn dài wǔ	42-49197-B
xiàn dài xìng	42-49067-B
xiàn dài xíng shì	42-48994-B
xiàn dài yīn yuè	42-49318-B
xiàn dài zhōng guó	61-56868-S
xiàn dài zhǔ yì	24-698-S
xiàn dào lái	17-38441-S
xiàn dì	39-50589-S
xiàn dì qū	19-67701-S,24-50764-S,54-46990-S
xiàn dìng	66-18667-B
xiàn dù	32-18907-S,60-24297-S,66-18720-B
xiàn dù lǐ lùn	32-18969-S
xiàn dān yuán	32-41174-S
xiàn fó	6-981-S
xiàn fēng guāng zài xiǎn fēng	40-63881-S
xiàn fēng zhēng	30-60108-S
xiàn fǎ	3-51183-S,25-57575-B
xiàn guò dòng zhèng	37-44500-S
xiàn guāng	49-28392-S
xiàn guāng pǔ	31-62636-S
xiàn guǎn	56-14868-S,66-24581-S
xiàn gān	1-38747-S,3-40214-S,52-45859-B,67-33810-S
xiàn gěi	42-26138-B
xiàn gōng sī	2-61362-S,32-41090-S,37-1297-S
xiàn gōng zuò bù	49-51214-S
xiàn gǎn	50-17129-B,67-33885-S
xiàn huò	42-50863-B
xiàn huò jià	42-50924-B
xiàn hài	66-32188-B
xiàn hàn jì	33-21917-S
xiàn háo	44-31461-S
xiàn jià	36-5876-S,66-18349-B
xiàn jiā sù qì	45-23254-S
xiàn jiē duàn	42-51191-B
xiàn jí	50-26375-B
xiàn jí shì	50-26421-B
xiàn jù	50-17804-B
xiàn jī sù	49-49599-S
xiàn jīn	8-8831-S,22-66195-S,26-37024-S,42-48804-B,42-51044-B,49-6273-S
xiàn jīn liú liàng	42-51083-B
xiàn jǐng	66-32503-B
