portray in sculpture or in words	16-15619-S
portrayal	4-14400-B,20-23790-B
portraying mourning	13-46955-S
ports	13-58873-S,65-32273-S
ports forced on qing china by the 1842 treaty of nanjing 南京條約 南京条约 that concluded the first opium war	3-47862-S
portugal	54-58163-B,57-1959-S,65-68010-S
portugal abbr 	54-57647-B
portuguese	54-57647-B
portuguese garoupa	46-6370-S,70-42595-S
portuguese language	54-58287-B,54-58362-B
portuguese person	54-58214-B
portulaca oleracea common purslane	69-44598-B
portulaca sundial a type of plant	35-55802-B
pose	29-58883-S,60-56400-B
pose as sb	6-6440-S
pose for a photo	12-35578-S
pose on stage	4-4679-S
pose or motion of one s body in martial arts	60-57097-B
pose under a false name	8-10853-S
poseidon	37-37921-B
posing a question whether sb	32-22157-B
position	1-25100-S,1-46068-S,1-56530-S,1-63487-S,2-12768-S,2-51335-S,3-5387-B,3-12489-S,3-31139-B,4-4679-S,4-32380-S,4-66195-B,4-66774-B,5-1535-S,5-36937-S,6-6513-S,7-21419-S,7-64080-S,8-38872-S,9-23553-S,9-53534-S,11-6671-S,11-30247-S,11-63489-S,12-23131-S,14-4800-S,15-38563-B,15-66439-S,16-44425-S,17-21856-S,17-28311-S,18-44614-B,19-21523-S,19-29508-S,19-40723-S,19-42509-S,19-43611-B,21-58029-S,26-58653-S,28-26870-S,28-29668-S,28-57819-S,29-23893-S,29-66584-S,30-61563-B,31-43406-S,31-65287-S,42-59084-S,43-51323-S,43-64648-S,44-34582-S,47-60799-B,50-52898-S,51-53054-S,51-68065-B,51-68157-B,51-68858-S,51-68937-S,56-44877-S,57-27260-S,57-27697-S,60-55453-B,60-55674-B,62-5116-S,62-31596-S,62-59316-S,63-22873-B,63-62463-S,65-57941-S,66-20845-B,67-7583-S,67-59290-S,68-5085-S,68-33517-S,69-52984-S,70-6815-S,71-62606-S
position and economic status be in harmony	65-23355-S
position and wealth 成语 saw	9-48258-B
position by passing the imperial exam	2-82879-S
position e g	9-58566-S
position effect	4-66826-B
position etc	3-6965-S
position facing the sun	32-49233-S
position in a ranking of names	12-56541-B
position in dance	52-43165-S
position in many chinese states up to the han	17-57006-S
position in the family hierarchy	61-15253-B
position in the nobility	41-40864-B
position of	55-48615-S
position of defense	16-7311-B
position of opposing forces	20-49179-B
position of prestige	1-58915-S,1-62445-S
position of sth	11-37772-S
position of the capital	18-11781-S
position of weakness	4-37233-S
position on a provisional basis	26-60495-S
position on an issue etc	33-39490-B
position on frontier	63-13515-S
position on sb	10-11858-S
position or intentions	53-12327-S
position or job	60-17446-S
position or post	28-26328-S
position to bully others	42-7048-S
position to do so	32-56406-S
position to do sth	52-27412-S
position while not deserving it	38-55532-S
position with lavish promises	20-32974-S
position with practically no obligations	65-45531-B
positioning marketing	22-12431-B
positioning system gps	7-38905-S,43-6504-S,56-37661-S
positions	28-13177-S,61-28196-S
positive	35-33484-B,35-40295-B,53-3820-S,66-35403-B
positive bacteria	68-5517-S,68-5586-S
positive connotation	57-7553-B
positive effect	29-62165-B
positive electric 	66-34671-B
positive electric charge	66-36968-B
positive electrode	66-35864-B
positive electrode i e attracting electrons	66-36870-B
positive feedback loop	53-41493-S
positive in its effect	53-41374-B
positive integer	35-36790-B
positive ion	66-36799-B
positive ion phys 	35-39708-B
positive number	35-36855-B
positive odd number also written 奇數 奇数	14-18423-B
positive or zero	67-67829-S
positive outcome	45-36281-S
positive outlook	36-31830-B,47-39653-B
positive pole	66-35864-B
positive semi axis in coordinate geometry	35-34329-B
positive term	71-62482-S
positive that	46-33123-S
positively charged nuclear particle	59-60015-S
positivism	20-14920-B
positrion emission tomography pet	35-39858-B
positron antiparticle of the electron	35-39773-B
positron emission tomography pet	35-40010-B,35-40133-B
possess	5-1810-S,8-4727-S,8-4899-B,26-28688-S,27-13217-B,29-17799-S,32-39392-B
possessed	7-29413-S,38-38683-S,54-56498-S
possessed by a devil	70-32315-B
possession	10-18121-S,21-27350-B,26-28926-B
possession of	5-1329-S,11-12109-S
possession or territory	50-34377-S
possessions	4-16429-S,26-64066-S,33-45889-S,38-58274-S
possessions for a journey	33-12398-S
possessive particle	3-10268-B,22-59909-S
