trigrams of the book of changes 易經 易经	7-49612-S,11-17065-S,23-52532-S
trigrams 八卦	15-52420-S
trigrams 八卦 representing sky	3-23839-S
triloba	33-44776-S
trilobite	1-40548-B
trilogy	1-43384-B
trim	5-47374-S,8-65585-B,37-26820-S,48-15129-B,56-52966-B
trim border with braid	37-27805-S
trim esp the tail of an animal	26-15854-S
trim expenditure	9-31348-S
trim one s sail to the wind	66-45313-S
trimeresurus stejnegeri poisonous snake	48-3423-B,48-3509-B
trimmer	56-53777-B
trinidad	41-61077-B
trinidad and tobago	10-51395-B,41-61137-B,57-20622-S
trinitrotoluene	34-16236-S
trinitrotoluene tnt	1-38659-B,71-22429-B
trinity	1-16026-S,1-30336-S,51-46251-S,51-48780-S
trinomial	1-44160-B
trinomial math 	1-44316-B
trio musical ensemble	1-43607-B
trio 三重奏	63-57487-S
triode vacuum tube or transistor	1-35862-B
trioxide	44-43337-S
trip	1-60598-S,2-27385-S,5-17354-S,8-14545-S,8-14545-S,8-36061-S,8-39092-S,14-57015-S,20-40754-S,21-1435-S,23-63037-B,26-40825-S,30-68128-B,30-68337-B,30-68889-B,30-68933-B,39-53233-S,49-39411-S,49-39621-S,60-9578-S,60-38539-S,61-20798-S,63-21078-S
trip abroad for language study	62-36480-B
trip has been well worthwhile	2-27385-S
trip has not been made in vain	2-27385-S
trip to china	35-34776-S
trip to the us	58-1090-S
trip 成语 saw	26-35712-S
tripartite balance	71-46712-S
tripartite confrontation	71-47141-B
tripe	1-60969-B,52-8629-B
triphosphate atp	1-38747-S,52-45563-S
tripitaka 602 664 tang dynasty buddhist monk and translator	1-40603-B,1-40699-B
triple	1-30820-B,1-32471-B
triple jump athletics	1-39222-B,1-39294-B
triple star system	1-32678-B
triplet	1-39898-B
tripod	1-39952-B,71-46505-B,71-47047-S,71-47679-S
tripod archeol 	64-23088-S
tripod as cooking pot and jade as ordinary stone 成语 saw	71-47254-S
tripod kettle	71-47635-S
tripod with a small opening on top	71-47716-B
tripod with caddies for tea	54-10772-S
tripod 成语 saw	33-42986-S
tripods are light or heavy 成语 saw	13-63687-S
tripods following yu the great	19-48857-S
tripods 成语 saw	13-63360-S,13-63511-S
tripoli	44-59366-B
tripoli capital of libya	44-59366-B
trippingly	51-19622-S
trisecting an angle	1-38979-B,1-39063-B
trisection math 	1-38979-B,1-39063-B
trisulphide as2s3	66-61619-S
trite	66-29129-B,66-29129-S
tritium	36-24374-B
triton	44-19701-B
triumph	28-8817-B,42-23069-S
triumph in every battle 成语 saw	26-18920-S
triumph over an opponent	24-7044-S
triumphal arch	8-29971-B
triumphal hymn	8-30031-B
triumphant	8-29610-B,8-29919-S
trivalent	1-30860-B
trivia	20-68449-B
trivia saps the will	42-40017-S
trivial	10-40938-B,43-89-B,61-10019-B,63-7636-S
trivial matter	20-60424-B
trivial matters	43-40-B
trochaic	28-45076-B
trodden by animals	44-688-S
trodden path	41-16875-S,41-16940-S
trojan horse	32-55667-S,41-60101-B
trojan horse type of computer virus	32-55576-B
troll agent provocateur on forums etc	50-6090-S,50-7789-S,50-9640-S
trolley	26-33656-B,28-32437-B
trolley for inspecting rail track	60-61450-B
trolleybus	40-62404-B,67-37997-B
trombone	65-19265-B
troop arrangement	66-20893-B
troops	4-53340-S,4-65060-S,8-649-B,8-720-B,8-1868-S,8-2918-B,8-35625-S,8-36061-S,9-57359-S,21-52683-S,22-13738-S,24-16668-S,24-22725-S,24-23032-S,26-7020-B,28-42348-S,29-8553-S,29-10761-S,29-11089-S,29-11225-S,29-39556-S,30-16449-S,30-16632-S,31-12332-S,33-53880-S,35-14552-S,38-58976-S,39-64114-S,39-64490-S,41-63061-S,43-52984-S,47-61243-S,48-52506-S,48-53090-S,50-24467-S,58-23296-S,58-35256-S,60-28132-S,61-1094-S,62-26053-S,63-22531-B,63-23866-B,64-24692-S,65-35794-S,65-49370-S,66-20587-S,66-26731-S,66-26731-S,66-38329-B,69-10572-S,69-47732-S,69-48309-S,71-38347-S
troops and horses	8-3027-B
troops attached to a unit	63-38074-B
troops deployed to mislead the enemy	44-3684-B
troops etc	58-36118-S
troops etc and discharge surplus personnel	50-22012-S
troops from the front	42-46848-S
troops into battle 成语 saw	24-12606-S
troops or gymnasts	11-67353-S
troops remaining stationed in ye	43-51877-B
troops to rescue the king	10-9467-S
troops under a commander	8-39151-S
troops under one s command	63-22643-B
trophoblastic layer attaches fertilized ovum to the uterus	39-27828-B
trophoderm	39-27828-B
trophy	45-1557-S,49-3045-B,64-26909-S,64-27762-S,64-45518-B
trophy hung on i	34-55578-S
trophy prize	42-16846-B
tropic	14-56692-B,41-18678-B
tropic bird	71-2155-B
tropic of cancer	10-29622-B
tropic of capricorn	10-68755-B
tropical	41-18678-B
tropical disease	31-59640-B
tropical fish	41-18870-B
tropical fruit	40-25204-S
tropical island and us military base in the indian ocean	61-51021-S
tropical rain forest	41-18726-B
tropical storm	41-18800-B
tropical volcanic island in southwest pacific	30-32169-S
tropism	12-63177-B
tropopause	20-52279-B
troposphere	20-52205-B,20-52279-S,59-10340-B
trot	24-48621-B,25-50503-S
trotsky 1879 1940	57-65525-S
trotters	41-37251-S,60-49173-S
trou de loup	42-9527-S
