fen bing	44-43724-S
fen bo duo gong	8-55998-B
fen bu	8-49349-B,68-41946-S
fen bu gu shen	18-18001-B
fen bu kong zhi	8-49973-B
fen bu lian jie wang luo	8-52372-B
fen bu ping	25-56628-S
fen bu shi	8-49494-B
fen bu shi fa zhan mo xing	8-52253-B
fen bu shi huan jing	8-49694-B
fen bu shi jie gou	8-49797-B
fen bu shi ju jue fu wu	8-49549-B
fen bu shi shu ju jie mian	7-12072-S
fen bu shi wang luo	8-49887-B
fen bu shu ju jie kou	7-12222-S
fen bu tu	8-49407-B,8-52166-B
fen can	8-60129-B
fen ce	8-50250-B
fen cha	8-50590-B,8-51980-B
fen cha li lun	8-52025-B
fen chai	8-53372-B
fen cheng	8-53076-B,49-24133-B
fen chi	10-24404-S
fen ci	8-58389-B,15-54699-S,42-49605-S,48-47288-B,62-43988-S
fen cun	8-51516-B,37-9077-S
fen da xiao xie	1-74108-S,10-40636-S
fen dai	41-3570-S
fen dan	8-53445-B
fen dang	8-56650-B,30-55664-S
fen di neng	70-11920-S
fen di qu	52-59195-S
fen dian	3-32915-S,8-52484-B,8-60254-B,31-32999-S,31-46140-S,44-51625-S,47-14374-S
fen dou	18-19023-B
fen dui	8-59508-B
fen duo	33-68110-S
fen duo miao	41-38316-S
fen e	4-44987-B
fen er zhi zhi	8-57472-B
fen fa	7-43659-S,8-56709-B,18-18417-B,59-7434-S
fen fa tu qiang	18-18492-B
fen fan	49-24351-B
fen fang	8-53159-B,34-24788-B,53-53488-B
fen fang cheng	6-12048-S,21-64099-S,22-31160-S,24-18264-S,47-38797-S
fen fei	9-63515-S,18-18966-B,48-62469-B,49-24409-B
fen fen	49-24275-B
fen fen bu ping	25-56628-B
fen feng	8-51621-B
fen feng zhi	8-51708-B
fen fu	8-49291-B,12-67222-B
fen gao chao	53-23892-S
fen ge	1-75772-S,8-50412-B,8-59567-B,71-24048-S
fen gei	8-57432-B
fen gong	8-52098-B
fen gong si	8-50176-B,52-9816-S
fen guang	8-50048-B
fen guo min	53-59216-S
fen hang	8-57893-B
fen hao	8-57841-B
fen he	49-57164-S
fen he shi	49-57247-S
fen hen	25-56508-B
fen hong	8-56090-B,8-57164-B,48-47511-B
fen hong se	48-47550-B
fen hua	7-46245-S,8-50466-B
fen hui	8-54361-B,40-45463-B
fen hui chang	8-54401-B
fen hui tan	53-50755-S,53-50932-S
fen hui yi	32-26236-S
fen ji	8-55424-B,8-57223-B,11-52763-S,53-23816-S
fen ji ben ding li	24-20386-S
fen ji he	24-18103-S
fen ji he xue	24-18178-S
fen jia	8-51409-B
fen jian dan hua	62-43442-S
fen jiao	1-39063-S
fen jiao qi	8-58113-B
fen jie	8-58196-B,14-60088-S,58-9625-S,61-18588-S
fen jie fan ying	24-13446-S
fen jie ling	17-7124-S
fen jie xian	8-56591-B
fen jie zuo yong	8-58258-B
fen jin	18-18857-B
fen jin gui	48-62514-B
fen jin gui zi	48-62570-B
fen jin hao	18-18899-B
fen ju	8-50650-B,8-51793-B,8-51836-B
fen kai	5-14138-S,8-59455-B,25-56577-B
fen ke ku	10-8960-S
fen ke si	30-42393-S
fen kuai	19-48294-S
fen lan	49-19667-S
fen lan yu la bu la duo	49-19731-S
fen lei	8-59938-B,10-364-S,10-592-S,58-7260-S,58-26950-S
fen lei xue	8-59986-B
fen lei zhang	8-60060-B
fen li	1-35941-S,1-75872-S,8-57078-B,8-59631-B,12-45712-S,15-48811-B,18-18094-B
fen li fen zi	8-59739-B
fen li ji	67-9698-S
fen li zhu yi	8-59675-B
fen liang	4-44943-B,8-59129-B
fen lie	8-57967-B,39-649-S,49-32473-S
fen lie zheng	48-55324-S
fen lie zhu yi	8-58048-B
fen liu	8-56240-B,8-60197-B
fen lu:	44-51478-S
fen luan	49-24075-B
fen mei	40-2483-S
fen mi	7-26474-S,8-55906-B,8-57122-B,16-44507-S
fen mi wu	8-55946-B
fen mi xian	7-26547-S,16-44592-S
fen mian	8-50711-B,58-24136-S
fen miao bi zheng	8-56936-B
fen ming	8-53983-B
fen mo	48-47376-B
fen mu	8-55660-B,16-30647-B
fen nan she	67-11707-S
fen nei	8-50106-B
fen nu	5-14087-S,24-51519-B,25-56460-B
fen pai	8-56156-B
fen pei	8-59002-B,27-62089-S,27-63647-S
fen pei lu:	8-59071-B
fen pei qu	35-11644-S
fen pi	8-53309-B
fen pin	8-59857-B,30-20861-S
fen qi	8-54458-B,8-55533-B,18-18685-B
fen qi Mi ma	62-55151-S
fen qi dian	8-55588-B
fen qi fu kuan	8-54523-B
fen qi zhi zhui	18-18753-B
fen qian	1-3082-S,8-59368-B
fen qing	8-56280-B
fen qing hong zao bai	1-71812-S
fen qing you	1-71658-S
fen qiu	16-30607-B
fen qu	8-50530-B,11-2888-S,60-64014-S
fen quan	8-55478-B,63-41615-B
fen quan jiao	63-41713-B
fen r	4-44623-B,26-22028-S,36-25135-S
fen rou	48-45943-S
fen san	8-53600-B
fen san de ce lu:e	8-53783-B
fen san shi	8-53661-B
fen san shi zi liao jie mian	7-12360-S
fen san zhu yi	8-53717-B
fen se	8-57694-B,48-47747-B
fen se jing tou	8-57743-B
fen sen	37-3653-S
fen shao	40-45524-B
fen she	8-58328-B
fen shen	8-56820-B,8-58615-B
fen sheng fu	1-71419-S
fen sheng zu zhi	8-56526-B
fen shi	8-54144-B,40-45154-B,52-59289-S
fen shi duo gong	8-54190-B
fen shou	8-53251-B
fen shou ji	19-24558-S
fen shu	1-31178-S,3-47397-S,6-6833-S,8-51932-B,8-53865-B,44-51369-S,45-41234-S
fen shu keng ru	40-45301-B
fen shui ling	8-55718-B
fen shui xian	8-55787-B
fen shuo	8-58432-B
fen si	48-47599-B
fen song	8-58952-B
fen suan na	66-66935-S
fen sui	48-47425-B
fen tai	63-41566-B
