biao1 feng1	68-62247-B
biao1 gan1	34-53394-B,34-55578-B
biao1 gao1	34-56649-B
biao1 ge2	34-53584-B
biao1 hao4	34-55859-B
biao1 hui4	34-55773-B
biao1 ji4	34-55899-B
biao1 ji4 yu3 yan2	12-14179-S,60-21389-S
biao1 jia4	34-52319-B,34-53446-B
biao1 jie4	34-55151-B
biao1 jin1	34-56307-B
biao1 ke4	64-58439-B
biao1 kong1 jian1	22-64784-S
biao1 kou3 shui3	68-62063-B
biao1 liang4	34-56255-B
biao1 ling2	52-45494-S,70-49478-S,71-17462-S
biao1 ling2 he2 gan1 san1 lin2 suan1	52-45563-S
biao1 ma3	15-10233-S
biao1 mai4	34-56179-B
biao1 ming2	34-53193-B
biao1 pai2	34-55104-B
biao1 pi3 pei4 zuo4 ye4	45-17224-S
biao1 qi4	19-46323-S,71-49647-S
biao1 qian1	6-53469-S,12-57562-S,34-55672-B
biao1 qiang1	34-53724-B
biao1 sai4	64-45571-S
biao1 sheng1	68-62011-B
biao1 shi2	22-28558-S
biao1 shi4	34-55372-B
biao1 shi4 chang3	45-17409-S
biao1 shou4	34-52494-B
biao1 ti2	20-65632-S,34-56496-B
biao1 ti2 xin1 wen2	34-56568-B
biao1 tu2	34-52553-B
biao1 wu3	15-10292-S
biao1 xi4	22-64859-S,34-34945-S
biao1 xian4	34-55717-B
biao1 xin1 li4 yi4	34-52931-B
biao1 xin1 ling3 yi4	34-53088-B
biao1 xing2 da4 han4	23-56464-B
biao1 yin1 fa3	34-56392-B
biao1 yu3	34-56041-B
biao1 yu3 pai2	34-56088-B
biao1 zhang3	68-62126-B
biao1 zhi4	34-52730-B,34-55960-B,34-56140-B,48-5477-S,61-19478-S
biao1 zhi4 fu2	55-52274-S
biao1 zhou2	22-64929-S
biao1 zhu4	34-53499-B,34-53821-B
biao1 zhuan1	34-55300-B
biao1 zhuang1	34-53768-B
biao1 zhun3	15-17097-S,20-15514-S,26-63622-S,34-32761-S,34-53977-B,48-6289-S,67-1918-S,67-65820-S
biao1 zhun3 cha1	34-54241-B
biao1 zhun3 chi3 cun4	34-54178-B
biao1 zhun3 gan1	34-54476-B
biao1 zhun3 gui1 ge2	34-54847-B
biao1 zhun3 hua4	34-54116-B
biao1 zhun3 ma3	15-5884-S,51-5391-S
biao1 zhun3 pu3 er3	34-54379-B
biao1 zhun3 shi2	34-54319-B
biao1 zhun3 shi2 jian1	33-66764-S,33-67124-S
biao1 zhun3 xiang4	34-54050-B
biao1 zhun3 yin1	34-54980-B
biao1 zhun3 yu3	34-54917-B
biao1 zhun3 zhuang4 kuang4	34-54642-B
biao1 zhun3 zhuang4 tai4	34-54533-B
biao1 zhun3 zu3 zhi1	15-17311-S,34-54753-B
biao1 zi5	54-11517-S,71-32877-S
