per	1-506-B,1-554-B,1-618-B,1-685-B,2-8022-B
per antea	6-5413-B
per moenia urbis	16-3809-B
per sic quod	20-472-B
pera	41-706-B
peractio	8-5695-B
peracto	29-6630-B
peraeque	22-3375-B
peragito	1-6567-B
perago	1-8820-B,2-2929-B,38-4096-B
peragro	36-6417-B,39-735-B
percello	37-3023-B
percepi perceptum	32-5291-S
perceptum	32-5291-S
percipio percepi perceptum	32-5291-B
percontor percunctor	16-3609-B
perculsus	3-7685-B
percunctor	16-3609-S,33-5853-B
percussum)	37-6479-S
percutio (percussum)	37-6479-B
percuto	27-6155-B
perdignus	40-5824-B
perditio	17-5845-B,23-4294-B
perditus[adjective]	4-2206-S
perditus[noun]	4-2246-S
perdo	31-772-B,34-3808-B,36-4992-B
perduco	33-2165-B,34-861-B
perduco, perduxi, perductum	7-3646-B
perductum	7-3646-S
perduxi, perductum	7-3646-S
peregrinus	41-851-B
peremi peremptum	31-898-S
peremptum	31-898-S
perennis	12-822-B
pereo	35-941-B
pererro	35-7683-B
perfeci, perfectum	31-2770-S
perfectum	31-2770-S
perfectus	8-5636-B
perfero	28-7551-B
perfero, pertulit	31-5209-B
perficio	27-4874-B
perficio, perfeci, perfectum	31-2770-B
perfidia	39-5051-B,39-5086-B
perfidiosus	39-5015-B
perfidus	39-5154-B
perflo	29-2265-B
perfringo	29-2998-B
perfruor	31-7021-B
perfundo	31-3998-B
perfusus	25-4251-B
pergo	30-4102-B,35-5083-B
periclitatus	22-2606-B
periclitor	38-2677-B
periculosus	15-597-B
periculum	10-855-B,23-3122-B
periculum[noun]	10-832-B
perimo	37-2645-B
perimo peremi peremptum	31-898-B
peritus	24-5180-B,24-5253-B
periurium	21-143-B
perjuro	29-2749-B
perlabor	37-2795-B
perlustro	35-1202-B
permaneo	37-5562-B
permaximum	27-1117-B
permeo	35-1252-B,38-5169-B
permetior	34-6151-B
permissi, permissum	27-6680-S
permissum	27-6680-S
permitto	38-0-B
permitto, permissi, permissum	27-6680-B
permoveo	31-6851-B
perniciosus	21-248-B
perorno	33-1143-B
peroro	37-3631-B
perosus	15-105-B
perosus[adjective]	4-3477-B
perpendo	39-2006-B
perperam	42-3167-B
perpes	19-2564-B
perpetior	31-5247-B
perpetro	30-2133-B
perpetuus	21-401-B,40-127-B
perquiro	34-4207-B
perscitus	40-5446-B
perscribo	39-3307-B
perscrutor	36-6378-B
perseco	30-5587-B
persecutus	32-4050-S
persentio	32-2052-B
persequi persecutus	32-4050-S
persequor	35-1689-B
persequor persequi persecutus	32-4050-B
perseverantia	21-492-B,25-3953-B
persevero	35-1738-B,38-3661-B
persisto	35-1781-B
persolvo	36-2693-B,38-7393-B
persona	3-1396-B,4-5112-B
personam gero	27-5327-B
perspicax	20-7022-B
perspicuus	8-3674-B,39-4844-B
persto	35-1813-B
