tego, texi, tectum	30-4409-B
tela	4-1593-B
tellus	22-5849-B
telum	5-5678-B,16-6131-B
temerarius	3-95-B,7-1655-S
temerarus, temerarius	7-1655-B
temeritas	22-4075-B,22-4105-B
temero	35-5448-B
temperantia	18-5596-B
temperantia[noun]	9-2049-B
tempero	1-1793-B,1-2807-B,6-4340-B,34-6468-B
tempestas	25-4804-B
tempestuosus	25-4830-B
templovium	26-4203-B
templum	23-4792-B
temporalis-e	39-4819-B
tempore est[adjective]	9-853-S
